"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","1","1","1","1","1","1","1","1","1","1"
"2","1","1","1","1","1","1","1","1","1","1"
"3","1","1","1","1","1","1","1","1","1","1"
"4","1","1","1","1","1","1","1","1","1","1"
"5","1","1","1","1","1","1","1","1","1","1"
"6","1","1","1","1","1","1","1","1","3","1"
"7","1","1","1","1","1","1","1","1","1","3"
"8","1","1","1","1","1","1","1","1","1","1"
"9","1","1","1","1","1","1","1","1","1","1"
"10","1","1","1","1","1","1","1","1","1","1"
"11","1","1","1","1","1","1","1","1","1","1"
"12","1","1","1","1","1","1","1","1","1","1"
"13","1","1","1","1","1","1","1","1","1","1"
"14","1","1","1","1","1","1","1","1","1","1"
"15","1","1","1","1","1","1","1","1","1","1"
"16","1","1","1","1","1","1","1","1","1","1"
"17","1","1","1","1","1","1","1","1","1","1"
"18","1","1","1","1","1","1","1","1","1","1"
"19","1","1","1","1","1","1","1","1","1","1"
"20","1","1","1","1","1","1","1","1","1","1"
"21","1","1","1","1","1","1","1","1","1","1"
"22","1","1","1","1","1","1","1","1","1","1"
"23","1","1","1","1","1","1","1","1","1","1"
"24","1","1","1","1","1","1","1","1","1","1"
"25","1","1","1","1","1","1","3","1","1","1"
"26","1","1","1","1","1","3","1","1","1","1"
"27","1","1","1","1","1","1","1","1","1","1"
"28","1","1","1","1","1","1","1","1","1","1"
"29","1","1","1","1","1","1","1","1","1","1"
"30","3","1","1","1","1","1","1","1","1","1"
"31","1","1","1","1","1","1","1","1","1","1"
"32","1","1","1","1","1","1","1","1","1","1"
"33","1","1","1","1","1","1","1","1","1","1"
"34","1","1","1","1","1","1","1","1","1","1"
"35","1","1","1","1","1","1","1","1","1","1"
"36","1","1","1","1","1","1","1","1","1","1"
"37","1","1","1","1","1","1","1","1","1","1"
"38","1","1","1","1","1","1","1","1","1","1"
"39","1","1","1","2","1","1","2","1","1","1"
"40","1","2","2","1","1","1","1","1","1","1"
"41","1","1","1","1","1","1","1","1","2","1"
"42","1","1","1","1","1","1","1","1","1","1"
"43","1","1","1","1","1","1","1","1","1","1"
"44","1","1","1","1","1","1","1","1","1","1"
"45","1","1","1","1","1","1","1","1","1","1"
"46","1","1","1","1","1","1","1","1","1","1"
"47","2","2","2","2","2","2","2","2","2","2"
"48","1","2","2","2","2","2","2","2","2","2"
"49","2","2","2","2","2","2","2","2","2","2"
"50","2","2","2","2","2","1","2","2","2","2"
"51","2","2","2","2","2","1","2","1","2","1"
"52","2","1","2","2","1","1","2","2","2","2"
"53","3","3","3","3","3","3","3","3","3","3"
"54","3","3","3","3","3","3","3","3","3","3"
"55","1","3","1","3","1","3","3","1","3","3"
"56","3","1","3","3","1","3","3","3","3","3"
"57","1","1","1","3","3","1","1","3","3","3"
"58","3","3","3","3","3","3","3","3","1","3"
"59","3","3","3","3","3","3","3","3","3","3"
"60","4","4","4","4","4","4","4","4","4","4"
"61","4","4","4","4","4","4","4","4","4","4"
"62","4","4","4","4","4","4","4","4","4","4"
"63","4","4","4","4","4","4","4","4","4","4"
"64","4","4","4","4","4","4","4","4","4","4"
"65","4","4","4","4","4","4","4","4","4","4"
"66","4","4","4","4","4","4","4","4","4","4"
