ming1,ming2,ming3,ming4,ming5,ming6,ming7,ming8,ming9,ming10
FCER1G,FCER1G,SERPING1,FCER1G,FCER1G,FCER1G,FCER1G,FCER1G,FCER1G,FCER1G
GTF3C2,GTF3C2,GORASP2,GTF3C2,GTF3C2,GTF3C2,GTF3C2,GTF3C2,GTF3C2,GTF3C2
PSMC6,PHLDA2,FCER1G,PHLDA2,PHLDA2,PSMC6,PHLDA2,PHLDA2,PHLDA2,PSMC6
PHLDA2,ZWINT,GTF3C2,ZWINT,ZWINT,PHLDA2,ZWINT,CNPY2,ZWINT,PHLDA2
CNPY2,SSR1,PHLDA2,SPI1,SPI1,CNPY2,SSR1,ZWINT,SSR1,CNPY2
SPI1,TBCE,CNPY2,AFF3,AFF3,ZWINT,TBCE,SPI1,TBCE,SPI1
AFF3,MCM4,ZWINT,SSR1,SSR1,SSR1,B3GAT3,SSR1,RBMS1,AFF3
SSR1,RBMS1,AFF3,TBCE,TBCE,TBCE,RBMS1,TBCE,ARID4B,SSR1
TBCE,ARID4B,SSR1,RBMS1,RBMS1,RBMS1,ARID4B,RBMS1,RANBP9,TBCE
RBMS1,RANBP9,TBCE,RANBP9,RANBP9,RANBP9,RANBP9,RANBP9,RTCA,RBMS1
ARID4B,RTCA,RBMS1,RTCA,RTCA,RTCA,RTCA,RTCA,CCZ1,ARID4B
RTCA,CCZ1,ARID4B,CCZ1,CCZ1,CCZ1,CCZ1,CCZ1,CDYL,RTCA
CCZ1,CDYL,RTCA,CDYL,CDYL,CDYL,CDYL,TOX3,TOX3,CCZ1
CDYL,PRG2,CCZ1,TOX3,TOX3,PRG2,PRG2,PRG2,PRG2,CDYL
TOX3,H2BC4,CDYL,PRG2,PRG2,H2BC4,H2BC4,H2BC4,SEC13,TOX3
PRG2,SEC13,PRG2,H2BC4,H2BC4,SEC13,ZNF195,TTI1,TARBP1,PRG2
TTI1,NUDT21,H2BC4,TARBP1,TARBP1,USP10,PITPNB,PITPNB,UMPS,TTI1
UMPS,UMPS,SEC13,NUDT21,NUDT21,UMPS,UMPS,UMPS,H4C2,UMPS
H4C2,ZNF239,USP10,UMPS,UMPS,H4C2,KRT10,RNASE2CP,RNASE2CP,H4C2
RNASE2CP,KRT10,UMPS,KRT10,KRT10,RNASE2CP,RNASE2CP,MBNL1,MBNL1,RNASE2CP
MBNL1,H4C2,KRT10,H4C2,H4C2,MBNL1,MBNL1,ABCA8,ABCA8,MBNL1
ABCA8,RNASE2CP,RNASE2CP,RNASE2CP,RNASE2CP,ABCA8,ABCA8,STXBP2,STXBP2,ABCA8
NPEPPS,MBNL1,MBNL1,MBNL1,MBNL1,STXBP2,NPEPPS,NCOA4,NCOA4,NPEPPS
STXBP2,ABCA8,ABCA8,ABCA8,ABCA8,NCOA4,STXBP2,LYPLA1,LYPLA1,STXBP2
PER1,NPEPPS,NPEPPS,NPEPPS,NPEPPS,FSTL3,ALDH2,PPP1R14B,PPP1R14B,PER1
CDKN1A,STXBP2,STXBP2,STXBP2,STXBP2,LYPLA1,PER1,TRAP1,HNRNPC,CDKN1A
NCOA4,FCER1G,FCER1G,PER1,PER1,PPP1R14B,SDC4,FCGRT,TRAP1,NCOA4
LYPLA1,NCOA4,NCOA4,SDC4,SDC4,TRAP1,FOSB,NFKB1,FCGRT,LYPLA1
HNRNPC,LYPLA1,LYPLA1,FOSB,FOSB,FAP,CDKN1A,AHCY,NFKB1,HNRNPC
TRAP1,PPP1R14B,PPP1R14B,RAC3,RAC3,FCGRT,FCER1G,ERGIC3,AHCY,TRAP1
NFKB1,HNRNPC,HNRNPC,CDKN1A,CDKN1A,AHCY,NCOA4,SPINT1,ERGIC3,NFKB1
LCAT,TRAP1,TRAP1,FCER1G,FCER1G,SPINT1,LYPLA1,IER2,SPINT1,LCAT
AHCY,FAP,NFKB1,NCOA4,NCOA4,IER2,PPP1R14B,ITGA7,IER2,AHCY
ERGIC3,FCGRT,AHCY,LYPLA1,LYPLA1,ITGA7,HNRNPC,PSMB5,ITGA7,ERGIC3
SPINT1,AHCY,ERGIC3,PPP1R14B,PPP1R14B,LAGE3,FCGRT,NA,PSMB5,SPINT1
IER2,ERGIC3,SPINT1,HNRNPC,HNRNPC,PSMB5,STX1A,NA,NA,IER2
ITGA7,SPINT1,IER2,TRAP1,TRAP1,NA,LCAT,NA,NA,ITGA7
LAGE3,IER2,ITGA7,MT1A,MT1A,NA,AHCY,NA,NA,LAGE3
PSMB5,ITGA7,LAGE3,FCGRT,FCGRT,NA,ERGIC3,NA,NA,PSMB5
NA,PSMB5,PSMB5,NFKB1,NFKB1,NA,SPINT1,NA,NA,NA
NA,NA,NA,AHCY,AHCY,NA,IER2,NA,NA,NA
NA,NA,NA,SPINT1,SPINT1,NA,ITGA7,NA,NA,NA
NA,NA,NA,IER2,IER2,NA,RTN4,NA,NA,NA
NA,NA,NA,ITGA7,ITGA7,NA,PSMB5,NA,NA,NA
NA,NA,NA,RTN4,RTN4,NA,NA,NA,NA,NA
NA,NA,NA,LAGE3,LAGE3,NA,NA,NA,NA,NA
NA,NA,NA,PSMB5,PSMB5,NA,NA,NA,NA,NA
