1,1,1,1,1,1,1,1,1,1
1583,1583,1573,1583,1583,1583,1583,1583,1583,1583
1599,1599,1581,1599,1599,1599,1599,1599,1599,1599
1601,1617,1583,1617,1617,1601,1617,1617,1617,1601
1617,1662,1599,1662,1662,1617,1662,1618,1662,1617
1618,1697,1617,1663,1663,1618,1697,1662,1697,1618
1663,1719,1618,1692,1692,1662,1719,1663,1719,1663
1692,1751,1662,1697,1697,1697,1726,1697,1753,1692
1697,1753,1692,1719,1719,1719,1753,1719,1774,1697
1719,1774,1697,1753,1753,1753,1774,1753,1781,1719
1753,1781,1719,1781,1781,1781,1781,1781,1786,1753
1774,1786,1753,1786,1786,1786,1786,1786,1795,1774
1786,1795,1774,1795,1795,1795,1795,1795,1818,1786
1795,1818,1786,1818,1818,1818,1818,1828,1828,1795
1818,1859,1795,1828,1828,1859,1859,1859,1859,1818
1828,1885,1818,1859,1859,1885,1885,1885,1936,1828
1859,1936,1859,1885,1885,1936,1991,1933,2079,1859
1933,2091,1885,2079,2079,2037,2032,2032,2107,1933
2107,2107,1936,2091,2091,2107,2107,2107,2187,2107
2187,2140,2037,2107,2107,2187,2176,2192,2192,2187
2192,2176,2107,2176,2176,2192,2192,2306,2306,2192
2306,2187,2176,2187,2187,2306,2306,2307,2307,2306
2307,2192,2192,2192,2192,2307,2307,2314,2314,2307
2313,2306,2306,2306,2306,2314,2313,3735,3735,2313
2314,2307,2307,2307,2307,3735,2314,3767,3767,2314
2739,2313,2313,2313,2313,3754,2735,3773,3773,2739
2792,2314,2314,2314,2314,3767,2739,3805,3797,2792
3735,3689,3689,2739,2739,3773,2770,3844,3805,3735
3767,3735,3735,2770,2770,3805,2786,3853,3844,3767
3797,3767,3767,2786,2786,3818,2792,3868,3853,3797
3805,3773,3773,2789,2789,3844,3689,3878,3868,3805
3853,3797,3797,2792,2792,3868,3735,3893,3878,3853
3865,3805,3805,3689,3689,3893,3767,3896,3893,3865
3868,3818,3853,3735,3735,3896,3773,3910,3896,3868
3878,3844,3868,3767,3767,3910,3797,3945,3910,3878
3893,3868,3878,3773,3773,3920,3844,,3945,3893
3896,3878,3893,3797,3797,3945,3859,,,3896
3910,3893,3896,3805,3805,,3865,,,3910
3920,3896,3910,3813,3813,,3868,,,3920
3945,3910,3920,3844,3844,,3878,,,3945
,3945,3945,3853,3853,,3893,,,
,,,3868,3868,,3896,,,
,,,3893,3893,,3910,,,
,,,3896,3896,,3911,,,
,,,3910,3910,,3945,,,
,,,3911,3911,,,,,
,,,3920,3920,,,,,
,,,3945,3945,,,,,
