ming1,ming2,ming3,ming4,ming5,ming6,ming7,ming8,ming9,ming10
CD81,CRIM1,CRIM1,CRIM1,CD81,CRIM1,CRIM1,VAMP3,CRIM1,CRIM1
CRIM1,VAMP3,SASH1,VAMP3,CRIM1,VAMP3,VAMP3,GAPDH,VAMP3,SASH1
SASH1,FAM189A2,VAMP3,GAPDH,SASH1,GAPDH,TGFB1I1,CCND3,FAM189A2,VAMP3
VAMP3,GAPDH,GAPDH,CCND3,VAMP3,CCND3,FAM189A2,MYH9,GAPDH,FAM189A2
FAM189A2,CCND3,CCND3,ADGRF5,FAM189A2,ADGRF5,CALCOCO1,TPI1,CCND3,GAPDH
CCND3,MYH9,JTB,RPS2,CCND3,RPS2,CCND3,TNNC1,JTB,CCND3
LTBP2,KPNA2,MYH9,DDR1,LTBP2,DDR1,IMP4,DAB2,IMP4,IMP4
MYH9,TPI1,KPNA2,MYH9,MYH9,MYH9,HNRNPC,CNPY2,MYH9,LAPTM4B
KPNA2,THBD,DIAPH1,KPNA2,KPNA2,KPNA2,MYH9,STAM2,ENO1,TPI1
PTPRM,IFI30,TNNC1,TPI1,PTPRM,TPI1,KPNA2,NUP155,TPI1,CCT5
TPI1,ESYT1,GORASP2,CCT5,TPI1,CCT5,TPI1,RBMS1,CCT5,HCK
ESD,CCN5,DAB2,THBD,ESD,THBD,YWHAH,FCGR3A,ESYT1,CCN5
CCT5,RAB14,PMM2,ESYT1,CCT5,ESYT1,THBD,SEC13,CCN5,RAB14
THBD,NCOA4,CNPY2,CCN5,THBD,CCN5,ESYT1,FAM3C,RAB14,SEMA5A
ESYT1,SEMA5A,RBMS1,RAB14,ESYT1,RAB14,CCN5,AHNAK,NCOA4,PROS1
CCN5,BBC3,DDX39A,SEMA5A,CCN5,SEMA5A,RAB14,SPTBN2,SEMA5A,TNNC1
RAB14,MARCKSL1,SEC13,TNNC1,RAB14,TNNC1,NCOA4,SNRPG,PROS1,DAB2
NCOA4,TNNC1,LAPTM4A,GORASP2,NCOA4,GORASP2,TNNC1,IDI1,BBC3,CNPY2
BBC3,DAB2,SPTBN2,DAB2,BBC3,DAB2,DAB2,NSUN5P2,TNNC1,STAM2
TNNC1,CNPY2,PRDX4,SLCO2B1,TNNC1,SLCO2B1,CNPY2,MT2A,DAB2,NUP155
GORASP2,BCS1L,IDI1,CNPY2,GORASP2,CNPY2,NFYA,B2M,CNPY2,RBMS1
CNPY2,SSR1,NSUN5P2,STAM2,CNPY2,STAM2,NUP155,FAM107A,STAM2,DDX39A
NFYA,NUP155,ABCA3,NFYA,NFYA,NFYA,RBMS1,EMP3,SSR1,PRG2
SSR1,RBMS1,GPC3,RBMS1,SSR1,RBMS1,RAPGEF5,GNAI2,NUP155,SEC13
RBMS1,CASK,GNAI2,B3GNT3,RBMS1,B3GNT3,FCGR3A,STX12,RBMS1,CAV2
CASK,SEC13,STX12,DDX39A,CASK,DDX39A,SEC13,ALOX5,LINC00869,NCOA4
RAPGEF5,CTBS,ALOX5,SDHC,RAPGEF5,SDHC,NUP205,OLR1,CASK,SPTBN2
DDX39A,FAM3C,OLR1,TRAP1,DDX39A,TRAP1,EPPIN,RASSF2,RAPGEF5,IDI1
PRG2,GART,RASSF2,SPTBN2,PRG2,SPTBN2,NFIC,EPAS1,DDX39A,TARBP2
SEC13,SPTBN2,ACP5,PRDX4,SEC13,PRDX4,NME4,HNRNPU,COL8A1,NSUN5P2
