ming1,ming2,ming3,ming4,ming5,ming6,ming7,ming8,ming9,ming10
FCER1G,FCER1G,FCER1G,FCER1G,FCER1G,FCER1G,FCER1G,FCER1G,FCER1G,FCER1G
GTF3C2,TBCE,PHLDA2,AFF3,AFF3,TBCE,TBCE,PHLDA2,TBCE,GTF3C2
AFF3,MCM4,TBCE,TBCE,TBCE,RBMS1,B3GAT3,TBCE,RBMS1,AFF3
TBCE,RBMS1,RBMS1,RBMS1,RBMS1,RTCA,RBMS1,RBMS1,RTCA,TBCE
RBMS1,RTCA,RTCA,RTCA,RTCA,CCZ1,RTCA,RTCA,CCZ1,RBMS1
RTCA,CCZ1,CCZ1,CCZ1,CCZ1,H2BC4,CCZ1,CCZ1,PRG2,RTCA
CDYL,PRG2,UMPS,PRG2,PRG2,MBNL1,PRG2,PRG2,RNASE2CP,CDYL
PRG2,H2BC4,RNASE2CP,H2BC4,H2BC4,NCOA4,H2BC4,UMPS,MBNL1,PRG2
UMPS,UMPS,MBNL1,UMPS,UMPS,SPINT1,ZNF195,MBNL1,STXBP2,UMPS
RNASE2CP,KRT10,CDKN1A,KRT10,KRT10,IER2,UMPS,NCOA4,NCOA4,RNASE2CP
MBNL1,RNASE2CP,NCOA4,RNASE2CP,RNASE2CP,ITGA7,RNASE2CP,TRAP1,SPINT1,MBNL1
CDKN1A,MBNL1,TRAP1,MBNL1,MBNL1,NA,MBNL1,AHCY,ITGA7,CDKN1A
NCOA4,NPEPPS,AHCY,STXBP2,STXBP2,NA,NPEPPS,SPINT1,NA,NCOA4
NFKB1,STXBP2,ERGIC3,CDKN1A,CDKN1A,NA,STXBP2,IER2,NA,NFKB1
AHCY,PLPP2,SPINT1,CBX2,CBX2,NA,PER1,ITGA7,NA,AHCY
SPINT1,NCOA4,ITGA7,NCOA4,NCOA4,NA,CDKN1A,PSMB5,NA,SPINT1
IER2,HNRNPC,CLDN18,HNRNPC,HNRNPC,NA,NCOA4,NA,NA,IER2
ITGA7,AHCY,ADH1B,MT1A,MT1A,NA,HNRNPC,NA,NA,ITGA7
PSMB5,SPINT1,FAM107A,AHCY,AHCY,NA,AHCY,NA,NA,PSMB5
CLDN18,ITGA7,LDB2,SPINT1,SPINT1,NA,ERGIC3,NA,NA,CLDN18
ADH1B,PALM2AKAP2,VIPR1,IER2,IER2,NA,SPINT1,NA,NA,ADH1B
FAM107A,CLDN18,STX12,ITGA7,ITGA7,NA,ITGA7,NA,NA,FAM107A
LDB2,ADH1B,DOCK4,LAGE3,LAGE3,NA,PSMB5,NA,NA,LDB2
SLC39A8,FAM107A,ALOX5,PSMB5,PSMB5,NA,CLDN18,NA,NA,SLC39A8
VIPR1,LDB2,SH3BP5,CLDN18,CLDN18,NA,ADH1B,NA,NA,VIPR1
SMAD6,CAVIN1,TIE1,ADH1B,ADH1B,NA,FAM107A,NA,NA,SMAD6
STX12,SLC39A8,SYNE1,FAM107A,FAM107A,NA,LDB2,NA,NA,STX12
DOCK4,VIPR1,TPSAB1,LDB2,LDB2,NA,VIPR1,NA,NA,DOCK4
ALOX5,STX12,MYH10,VIPR1,VIPR1,NA,STX12,NA,NA,ALOX5
SH3BP5,DOCK4,KLHL9,STX12,STX12,NA,ALOX5,NA,NA,SH3BP5
TIE1,ALOX5,THBD,DOCK4,DOCK4,NA,SH3BP5,NA,NA,TIE1
SYNE1,SH3BP5,ACE,ALOX5,ALOX5,NA,TIE1,NA,NA,SYNE1
RASSF2,TIE1,TNXB,SH3BP5,SH3BP5,NA,SYNE1,NA,NA,RASSF2
TPSAB1,SYNE1,ESYT1,TIE1,TIE1,NA,RASSF2,NA,NA,TPSAB1
KLHL9,RASSF2,GREM1,SYNE1,SYNE1,NA,MYH10,NA,NA,KLHL9
THBD,TPSAB1,OPLAH,MYH10,MYH10,NA,THBD,NA,NA,THBD
ACE,MYH10,COASY,KLHL9,KLHL9,NA,ACE,NA,NA,ACE
TNXB,KLHL9,CDHR1,THBD,THBD,NA,TNXB,NA,NA,TNXB
ESYT1,THBD,PFDN4,ACE,ACE,NA,VSTM4,NA,NA,ESYT1
VSTM4,ACE,AKAP13,TNXB,TNXB,NA,CDHR1,NA,NA,VSTM4
