,index,kME_MM.blue,kME_MM.turquoise,kME_MM.grey
Gene.1,2,0.302944858,-0.143715474,0.557609228
Gene.2,1,0.606176291,0.022139508,0.70781663
Gene.3,2,0.378773844,-0.274855722,0.757369384
Gene.4,2,0.215138399,-0.195276212,0.290686057
Gene.5,2,0.253434023,-0.168941226,0.697161034
Gene.6,2,0.357445748,-0.031923855,0.771210021
Gene.7,2,-0.035045791,-0.118116568,0.314987069
Gene.8,2,0.280966976,0.062283983,0.5647286
Gene.9,2,0.183917021,0.176830119,0.401858144
Gene.10,2,0.44533535,0.132955374,0.569735882
Gene.11,2,0.447209598,-0.228101388,0.689232414
Gene.12,2,0.387370367,-0.158037412,0.70931008
Gene.13,2,0.287753097,0.190643425,0.603080261
Gene.14,1,0.576431838,-0.104175014,0.35367134
Gene.15,2,0.240200503,-0.166139745,0.47471787
Gene.16,2,0.060241783,-0.181100344,0.220348715
Gene.17,2,0.198643151,-0.05515,0.449974699
Gene.18,2,0.320785501,0.146830158,0.739280915
Gene.19,2,0.396295412,-0.229267684,0.796835709
Gene.20,2,0.316292096,-0.086383567,0.540911395
Gene.21,2,0.273343515,0.049984989,0.623189611
Gene.22,2,0.457386064,-0.216711427,0.560082672
Gene.23,2,0.229032809,0.210452886,0.440232074
Gene.24,3,0.209118076,0.469403674,0.283952402
Gene.25,2,0.456986105,-0.146833916,0.611138672
Gene.26,3,0.372470707,-0.349401808,0.562488117
Gene.27,2,0.392748276,-0.190838024,0.638228839
Gene.28,3,0.314615452,-0.341834348,0.73805373
Gene.29,1,0.677426363,-0.185779561,0.427457589
Gene.30,1,0.571515774,-0.180641172,0.584085945
Gene.31,3,0.295869275,-0.413367467,0.463527977
Gene.32,2,0.466569305,0.027323764,0.299958377
Gene.33,1,0.697961327,-0.273707195,0.280598128
Gene.34,2,0.305738245,-0.059896296,0.386192778
Gene.35,2,0.493881908,0.2077075,0.560404275
Gene.36,3,0.207588007,-0.44226912,0.465263145
Gene.37,2,0.071441369,0.235843276,0.230771672
Gene.38,2,0.257732677,-0.293365082,0.500027532
Gene.39,2,0.142919796,0.091248796,0.470332379
Gene.40,3,0.286110357,0.51638791,0.497239026
Gene.41,2,0.073100589,0.149739455,0.413708074
Gene.42,2,0.144620903,-0.15977366,0.478953145
Gene.43,3,0.235445267,0.595540797,0.443734022
Gene.44,1,0.677919958,-0.281121355,0.500868471
Gene.45,1,0.591073484,0.124460509,0.586592757
Gene.46,3,0.205913187,0.591851696,0.42996522
