,index,kME_MM.blue,kME_MM.brown,kME_MM.turquoise,kME_MM.grey
Gene.1,2,-0.411060118,0.850388819,0.262625211,-0.075572945
Gene.2,4,0.016225919,0.295532998,0.350296597,0.763183235
Gene.3,4,0.352799518,0.48320339,-0.36575114,0.03720886
Gene.4,3,0.0272188,0.298581983,-0.02569803,0.597392726
Gene.5,3,0.089701699,0.282426266,-0.069883801,0.777231308
Gene.6,4,-0.385750542,0.717619919,0.551285416,0.060626174
Gene.7,2,-0.525602276,0.664053017,0.285487718,0.200054818
Gene.8,3,0.115306513,0.255084539,-0.17147453,0.79443441
Gene.9,4,-0.121890266,0.493558053,0.439070721,0.01682313
Gene.10,4,0.035068307,0.347571197,0.479958681,0.447405185
Gene.11,3,-0.107410642,-0.045375846,0.209167087,0.68683003
Gene.12,1,0.845791323,-0.227621344,-0.298710831,0.103462403
Gene.13,4,-0.134264258,0.286652537,0.406540884,0.705272152
Gene.14,4,-0.520780122,-0.037203857,0.658214273,-0.112045486
Gene.15,4,-0.302891863,0.574538931,0.753097007,-0.21165619
Gene.16,1,0.679352486,0.015207855,-0.114026466,-0.046209649
Gene.17,4,-0.382063173,0.050974321,0.87899212,0.022633379
Gene.18,2,0.149943048,0.725029978,0.162582192,-0.050184432
Gene.19,3,-0.048423741,0.159122504,0.20345774,0.412752195
Gene.20,4,-0.022093719,0.550617283,0.478758968,0.011590649
Gene.21,4,-0.300131997,0.168207336,0.892272187,0.069179571
Gene.22,1,0.528370119,0.0733908,-0.388047119,0.639628904
Gene.23,4,0.486847401,0.041031517,0.339990787,-0.241278063
Gene.24,3,-0.094186172,0.321834666,0.294765073,-0.122494723
Gene.25,3,0.366969433,0.194948216,-0.010484206,0.561683018
Gene.26,4,0.359761528,0.069511191,-0.349661722,0.744477324
Gene.27,3,0.094586695,-0.404410765,0.092037468,0.367544778
Gene.28,3,0.187594497,-0.00258627,-0.001866416,0.202589038
Gene.29,4,-0.291374102,0.314499178,0.562040583,0.499550047
Gene.30,3,0.468886944,0.245275527,-0.337928458,0.735757094
Gene.31,3,-0.045253839,-0.210643522,-0.070553137,0.111085865
Gene.32,3,-0.379771034,0.652499806,0.210725436,0.074299837
Gene.33,3,0.153261273,0.137925884,0.181454501,-0.195723993
Gene.34,4,-0.309949095,-0.13160086,0.400118169,-0.036748606
Gene.35,4,-0.39368933,0.782145911,0.526690007,0.225702079
Gene.36,2,0.204120688,0.630498107,-0.304144746,0.49193377
Gene.37,2,-0.269301929,0.652281432,0.289602425,-0.190789149
Gene.38,4,0.526122493,-0.244113756,-0.39665918,-0.334074297
Gene.39,3,0.595991483,0.094449662,-0.223700108,0.196437802
Gene.40,4,-0.12077205,0.189502136,0.803718051,0.21064665
Gene.41,1,-0.632383981,0.24690478,0.366649279,0.360347824
Gene.42,3,0.426654654,-0.156263676,0.218601048,-0.08981508
Gene.43,4,-0.122106137,-0.081443339,0.7167657,0.178517233
Gene.44,4,0.075756295,0.382560586,0.542779804,0.512422195
Gene.45,4,0.22619866,0.221533696,0.390893188,-0.212957123
Gene.46,4,-0.029311365,0.174480553,0.613623699,0.329640152
