,index,kME_MM.brown,kME_MM.blue,kME_MM.turquoise,kME_MM.grey
Gene.1,3,0.388034787,-0.649771213,0.064161765,0.845138502
Gene.2,3,0.325173778,-0.551797033,-0.126725038,0.641124985
Gene.3,1,0.373453277,-0.746115614,-0.228674693,0.762187902
Gene.4,1,0.63415221,-0.734728884,0.254730467,0.865216011
Gene.5,3,0.469685977,-0.06160079,-0.299605874,0.167401226
Gene.6,2,0.735742008,-0.680013454,-0.041880711,0.788454973
Gene.7,3,0.332063622,-0.748912936,-0.188481258,0.84063633
Gene.8,3,0.288935395,-0.403637182,0.206274568,0.696948364
Gene.9,3,0.451784945,-0.489852413,0.269062337,0.662403846
Gene.10,1,0.577591632,-0.770793386,-0.123746406,0.848325883
Gene.11,3,0.188121584,-0.707138223,0.162556925,0.836627905
Gene.12,1,0.588282612,-0.752858794,-0.33005167,0.70434676
Gene.13,3,0.380933877,-0.331163048,0.155227968,0.53908836
Gene.14,3,-0.041727222,-0.285454445,-0.283326123,-0.028954834
Gene.15,3,0.344378243,-0.479837315,-0.200726256,0.511476805
Gene.16,3,0.162176401,-0.484314148,0.115812531,0.711660627
Gene.17,3,-0.016447705,-0.520075677,0.355176508,0.654546569
Gene.18,3,0.479767523,-0.668069388,-0.301706687,0.760927368
Gene.19,3,0.566438534,-0.671815678,-0.23441211,0.808782046
Gene.20,3,-0.149711696,-0.392895821,-0.076390124,0.456628725
Gene.21,3,-0.054813821,-0.348081761,0.066013185,0.383675215
Gene.22,4,0.368404584,-0.225988297,-0.347325189,0.223936722
Gene.23,2,0.661195059,-0.486735468,-0.040139811,0.5982784
Gene.24,3,0.45549445,-0.641033221,0.05681131,0.794638123
Gene.25,3,0.204997141,-0.648737835,-0.305435318,0.765605747
Gene.26,1,0.459087778,-0.845895282,-0.044662434,0.948855284
Gene.27,1,0.602363121,-0.78615235,-0.335204456,0.86060621
Gene.28,3,0.154825403,-0.389464932,0.067893529,0.509685326
Gene.29,3,0.086264742,-0.272688615,0.000591335,-0.104165591
Gene.30,3,0.504167792,-0.609735297,0.199212839,0.8262026
Gene.31,3,0.627434766,-0.585821982,-0.339045778,0.519846062
Gene.32,3,0.203229941,-0.410150228,-0.361962703,-0.072841335
Gene.33,3,-0.128174242,-0.251450041,-0.189012551,-0.094137993
Gene.34,3,0.053748132,-0.397707981,0.171840696,0.365322083
Gene.35,3,0.324068097,-0.509114474,0.24307351,0.656305251
