,index,kME_MM.green,kME_MM.yellow,kME_MM.red,kME_MM.blue,kME_MM.brown,kME_MM.black,kME_MM.turquoise,kME_MM.grey
Gene.1,7,-0.070037273,0.552069126,0.132985037,0.03746729,0.53430722,0.595084522,0.751019513,0.212349911
Gene.2,8,0.442178938,0.804184871,0.023370956,-0.378515448,0.050253617,0.320132646,0.444216415,0.125356507
Gene.3,8,0.171151137,0.637412655,-0.116344292,-0.23994271,-0.111347158,-0.011717814,0.149992269,0.026139146
Gene.4,6,0.021073962,0.2197969,0.426598932,-0.453982229,-0.434624163,-0.114434994,-0.157798313,-0.52256784
Gene.5,8,0.317897352,0.638899124,-0.048875283,-0.415642775,-0.211053917,-0.067452526,0.171499917,-0.061804266
Gene.6,8,0.307801656,0.701826049,0.034315182,-0.236029088,0.125913703,0.33591276,0.360924572,-0.213427844
Gene.7,2,0.027864561,0.190542409,0.231616132,-0.421548719,0.007172454,0.433826151,0.307207243,-0.04814613
Gene.8,8,0.112250882,0.734488167,0.003820552,-0.165122174,0.14231484,0.441150931,0.487181896,-0.055858551
Gene.9,6,0.038146204,0.236182348,0.861663508,-0.084692966,0.041837111,0.234829996,0.278205695,0.069158851
Gene.10,8,0.307052203,0.740987949,0.17837135,-0.070576158,0.43004237,0.542530287,0.584911621,0.124070237
Gene.11,8,0.493132379,0.738192855,-0.197290627,-0.487374847,-0.225623204,0.238066389,0.131200977,-0.15839078
Gene.12,6,0.340930567,0.260172209,0.614009978,-0.277918489,-0.311719756,-0.163012043,-0.076653704,0.062480654
Gene.13,8,0.073449514,0.810246728,0.243966353,-0.149536177,0.401259881,0.635760154,0.761622417,0.166895222
Gene.14,4,0.518699299,-0.029451526,-0.224136294,-0.152579704,-0.277775522,-0.315020781,-0.370820263,-0.174267353
Gene.15,5,0.01168648,0.33817657,0.498898444,-0.008000324,0.306257413,0.369331681,0.505324061,0.474370862
Gene.16,8,0.152571855,0.734205696,0.021310445,-0.242312998,0.264162301,0.447871494,0.559171584,0.211963746
Gene.17,7,0.194516146,0.602131514,0.027708267,-0.169287081,0.218633563,0.451090962,0.526830714,-0.095964873
Gene.18,8,0.139406575,0.802397314,-0.077551203,-0.370623399,-0.005463234,0.188572272,0.399130404,-0.060000327
Gene.19,8,0.377520342,0.666606909,-0.205877129,-0.352936797,-0.193037066,0.168241925,0.074276905,-0.040624135
Gene.20,8,0.287938742,0.502122587,-0.06089922,-0.235940405,-0.225742751,-0.16105738,-0.044647913,0.059759743
Gene.21,8,0.099651942,0.863143825,0.169465833,-0.160533435,0.191438884,0.422529957,0.550271246,0.083638796
Gene.22,8,0.596370887,0.588456434,-0.086864536,-0.399704219,-0.235534255,-0.076285175,0.065231343,-0.18541026
Gene.23,8,-0.072873294,0.634858312,0.408147111,-0.138094343,0.195002765,0.448694067,0.574789957,-0.040299566
Gene.24,2,-0.352720368,-0.288983905,-0.140409029,0.713459385,0.278638404,-0.08855349,-0.113533058,-0.075102593
Gene.25,5,0.145400077,0.426453422,-0.203711939,-0.423914765,-0.10028013,0.26936565,0.226367942,0.046946203
Gene.26,2,0.067599001,0.328648147,-0.122430258,-0.711306106,-0.50332235,-0.110088948,-0.133199115,-0.665629993
Gene.27,4,0.521555295,0.424652806,0.041622634,-0.439985702,-0.107389147,0.202941268,0.083874288,-0.435921145
Gene.28,8,0.169216395,0.544934569,-0.016140997,-0.383452894,-0.1582163,-0.078227102,0.090275582,0.224360185
Gene.29,4,0.540664679,0.48323592,-0.109663958,-0.314661762,-0.214611502,0.045175673,-0.059614727,-0.433496439
Gene.30,4,0.768951306,0.456119301,-0.059821845,-0.46515892,-0.175951538,0.220318015,-0.110575744,-0.37811393
Gene.31,5,0.15919531,0.395993416,-0.229602437,-0.262599898,-0.182928377,-0.045887586,0.017463874,-0.087489571
Gene.32,5,0.169304752,0.021106049,-0.254990193,-0.217274167,-0.170031981,-0.100483135,-0.099080751,-0.583800935
Gene.33,4,0.800517262,0.034480966,-0.050599992,-0.119350569,-0.076905537,-0.058207882,-0.197219161,0.035349325
Gene.34,5,-0.121279687,0.399119851,-0.129320234,-0.242644122,-0.084438076,0.129799294,0.112085467,-0.377072692
Gene.35,6,0.21746287,0.248714482,0.91258969,0.011136272,0.083621127,0.236947688,0.248323491,0.06278021
Gene.36,5,-0.060936263,-0.033890918,-0.344159148,-0.473330097,-0.557450692,-0.437478798,-0.445187655,-0.445050372
Gene.37,7,-0.139183891,0.414710438,0.055705892,0.382579973,0.647743932,0.508417966,0.620579639,0.227914818
Gene.38,4,0.714819565,0.386379013,0.051869963,-0.265776888,0.022711092,0.1848876,0.131070643,0.161331188
Gene.39,5,-0.012729372,0.32623675,-0.04003246,-0.194825535,0.175951675,0.438556652,0.461675705,0.184573802
Gene.40,7,0.006006444,0.588106248,0.300416197,0.047841902,0.483749613,0.700986097,0.733064616,0.138116961
Gene.41,8,0.144854052,0.513971981,-0.168203992,-0.081121227,0.15416378,0.245382236,0.197503295,-0.111171372
Gene.42,8,0.149327163,0.811954202,-0.115264802,-0.259983912,0.022437778,0.127974021,0.392355977,0.017420736
Gene.43,1,-0.047725919,0.379184188,0.116932401,0.261287183,0.635665925,0.724441944,0.706158374,0.395264515
Gene.44,4,0.507924674,0.346602562,-0.288111424,-0.318789306,-0.252142355,-0.235726838,-0.093105443,-0.071806582
Gene.45,8,0.66062582,0.777507512,0.067051407,-0.392968416,0.075248976,0.340993059,0.454156281,0.08759201
Gene.46,8,0.311065285,0.733822255,0.04959962,-0.216831506,0.237121616,0.550066086,0.624842888,0.009648325
Gene.47,8,-0.332439939,0.381603062,0.037712043,-0.22746946,-0.112377357,0.107577999,0.293941259,-0.166833143
Gene.48,5,-0.379285707,-0.082832906,-0.200099126,-0.225852675,-0.291537459,-0.198384098,-0.23135081,-0.483893192
Gene.49,8,0.24310401,0.615124336,0.285117682,-0.278102058,-0.152008564,0.193791156,0.226245358,-0.19954311
Gene.50,8,0.288164895,0.525503093,0.00705553,-0.038961223,0.336497939,0.584366467,0.58372893,0.076826738
Gene.51,5,-0.339946424,0.007576986,-0.210361077,-0.231126563,-0.283908348,-0.168108058,-0.20311833,-0.451491275
Gene.52,8,0.026465441,0.73528495,0.080046019,-0.160472507,0.270931558,0.353519687,0.545180627,0.019696451
Gene.53,5,0.173756311,0.521927558,-0.282503317,0.018268574,0.199450812,0.248532123,0.431482037,0.100602039
Gene.54,6,0.029757376,0.168386999,0.809689435,0.007980093,0.012513485,0.109632309,0.15407802,0.059935852
Gene.55,4,0.751799563,0.488418471,0.075624517,-0.369504441,-0.234581455,0.022514881,-0.072581866,-0.163764875
Gene.56,8,0.478097607,0.564645057,-0.230489043,-0.601982947,-0.520828461,-0.290831726,-0.199577082,-0.31710386
Gene.57,8,0.060340249,0.755183361,0.1170598,-0.336553347,0.080776211,0.262503161,0.536202221,0.082239356
Gene.58,8,0.009759064,0.541032516,-0.102151522,-0.358952088,-0.238211067,-0.122751757,0.055136987,0.124806049
Gene.59,8,0.332210487,0.464707142,-0.185843855,-0.227867134,-0.105053304,-0.080938236,0.132540374,-0.013915434
Gene.60,2,0.183951945,0.362419565,-0.111931229,-0.572605171,-0.402056013,-0.202472193,-0.110591369,-0.384093534
Gene.61,5,-0.12378311,-0.337021826,0.084577597,0.212751451,-0.059814831,-0.307135116,-0.331873816,-0.11525783
Gene.62,4,0.494467117,0.11470173,0.069266459,0.085697415,0.269371174,0.345734188,0.235526735,0.166854509
Gene.63,8,0.070068614,0.715025479,-0.035017489,-0.294664703,-0.111367594,0.052489591,0.27260408,0.010862435
Gene.64,4,0.547909376,0.156368522,-0.048608176,-0.109059975,0.0037689,0.14679996,0.043681854,0.102769525
Gene.65,8,0.049610504,0.774135867,0.125820139,0.024065881,0.344291074,0.486017156,0.621286965,0.050987772
Gene.66,8,-0.025634815,0.530940097,0.192183746,-0.37430382,-0.012229812,0.111925323,0.276002331,-0.163226023
Gene.67,2,0.199511502,0.202661934,-0.013749311,0.396077162,0.398778888,0.300909448,0.211569427,0.010160501
