MEblue,MEturquoise,MEgrey
X1,X3,X2
-0.07893811,0.023322783,-0.017607674
-0.007027873,0.038816364,-0.032218791
-0.010571402,-0.024642479,-0.009591223
0.005718639,0.049955818,-0.071690433
0.113131482,-0.03711276,-0.017106016
0.092824841,-0.066753623,0.077951598
-0.009601212,0.019270517,-0.017864468
0.100062008,-0.003458341,0.067877512
0.09351285,-0.025719133,0.005048954
0.090754119,0.0553002,0.102247213
-0.129539024,-0.008733926,-0.05762957
-0.076295091,0.096075802,-0.100670858
0.157861413,0.016279369,-0.015467125
0.074154958,0.01388983,-0.033055862
-0.039961068,0.025912265,0.013943632
-0.030886821,0.006464824,-0.019154637
-0.059182907,-0.051209252,-0.042967351
-0.078971086,0.081045319,-0.011522525
0.071593471,-0.072393579,-0.050452276
-0.057059895,-0.059117896,0.015334558
-0.033925501,-0.028511614,-0.056200603
-0.108392137,-0.076531088,-0.07609914
0.024901796,0.058760265,0.007744741
-0.052137012,0.136069694,-0.033512468
0.042969794,0.036679324,-0.018003537
-0.107507715,0.005190882,-0.014018567
-0.065593082,0.07524771,-0.012253273
-0.123445556,-0.086990217,-0.102357302
-0.122472688,-0.027460059,-0.113122261
-0.121415859,0.153507984,-0.161228046
-0.004289571,-0.038546119,-0.095409786
-0.098219174,0.035581622,-0.025930143
-0.129432775,-0.097187488,-0.032610752
0.017218509,0.084288386,0.109282253
-0.02546729,0.063609282,-0.030389966
-0.064696397,-0.035742118,0.016482682
-0.023808708,0.001984261,0.017068425
0.038242224,0.088702813,0.009341298
0.126404626,-0.061625394,-0.01903615
-0.068787439,0.001411435,-0.028920783
-0.034630387,0.031367346,-0.015773862
0.008391194,0.090989663,0.024727928
-0.097422313,0.022508334,-0.05521174
0.149430177,-0.048643446,0.0889853
0.071239569,0.130270667,0.089649217
-0.030258053,0.042278491,-0.035954607
-0.001283028,0.026519906,-0.021533085
-0.000588037,-0.017499197,0.121975469
-0.020253212,0.004754509,0.05680808
-0.097422648,-0.029194422,-0.097857983
0.05594318,-0.005414968,0.008082517
-0.106845157,-0.051139064,-0.005270706
0.010438783,0.007082291,0.046994746
-0.013546175,-0.071707041,0.017236623
0.062567907,0.045177761,0.118333957
0.102356641,-0.108508666,-0.000981782
-0.085583828,-0.012612416,-0.082002689
-0.046561086,-0.061311946,0.066774805
0.001261725,-0.045708285,-0.106008255
0.064066914,-0.031349866,-0.014562316
-0.037496691,-0.113643229,0.001615215
-0.047289499,-0.049967744,-0.072881896
0.173688013,-0.084729892,0.223550893
0.162257479,-0.166521105,0.058844691
0.065305799,-0.119920901,0.168277461
0.2357895,-0.039433353,0.113370161
0.1243822,0.058871207,0.129428408
0.136243217,-0.026895926,0.036697103
-0.093281465,0.021562812,-0.122366426
0.202127735,0.120247031,0.06865334
-0.067084452,-0.05383183,-0.107849003
-0.003792669,0.004530797,-0.064561276
-0.02865754,0.053080403,-0.08500921
0.069052333,0.058813605,0.012236377
-0.005376356,0.099901076,0.00972673
0.039877044,-0.016364678,-0.084513887
0.133877616,0.025641351,0.049837706
-0.118674188,-0.075397118,-0.084407742
-0.01998178,0.067985103,-0.050146984
-0.014938549,-0.04813968,-0.106594632
-0.058602042,0.029656125,-0.114576821
-0.086486131,-0.100430729,-0.01402645
-0.036606053,-0.048601058,-0.0205904
0.01489577,-0.102715748,0.096939718
0.015453603,-0.05389885,-0.034263459
-0.003374953,0.057188557,0.054919641
0.126465459,0.063309754,0.087816689
-0.037378056,-0.041027373,-0.037930215
0.02313713,0.038129646,-0.029479717
0.046439637,0.113430772,0.098013918
-0.002679462,-0.006529449,0.110477614
0.048423507,0.000530091,0.019425753
-0.101842941,0.047015753,-0.110469697
0.112684624,-0.064966468,0.119212795
-0.090702285,-0.067113033,0.035290267
0.053673024,0.009260496,-0.064570886
-0.146718763,-0.126235902,-0.034140938
-0.04829488,0.015896811,-0.04195985
-0.019682959,0.002664174,-0.045969776
-0.11345102,-0.067888382,-0.120142274
0.027345439,-0.018002802,-0.062424786
0.105825866,0.030512877,-0.121338754
0.043236864,0.309998696,0.029878715
0.019955165,0.195703858,0.067721911
-0.107610547,0.015626647,-0.066099774
0.08435715,0.027760417,0.131507013
0.020237959,0.126389583,0.03923264
0.076891094,0.11886014,0.085927879
-0.041709157,0.322837576,-0.049919391
0.040632683,0.117065629,-0.04798153
-0.055392918,0.105010724,0.024484054
0.054777185,-0.146080758,-0.010162806
0.071952717,-0.164205339,0.211239528
0.13433276,0.07805859,0.030936817
-0.065538561,-0.098957668,0.030148806
-0.148065783,-0.040534744,-0.056956699
0.147838257,-0.175906191,0.383809864
-0.109757869,-0.045050028,-0.016481657
-0.068995741,0.152518754,-0.055928048
-0.035868045,-0.053975466,-0.076099998
-0.041728772,-0.058098875,0.227380898
-0.018275572,-0.05967201,-0.188278877
-0.088984747,-0.027276686,0.029995836
-0.048570157,0.035975368,-0.037465316
-0.052250488,0.15280791,-0.100314152
-0.084018143,0.009905417,-0.055452977
-0.077284767,0.082757606,-0.067121043
-0.063520516,-0.026943553,0.02359234
0.037935241,-0.10259898,-0.024838169
0.021122501,-0.126267448,0.062179601
0.065213591,-0.022019751,-0.000233137
0.061914352,-0.028784166,0.120107272
0.210807808,-0.060180657,0.210143577
-0.118666691,-0.066683541,-0.123220735
0.031532369,-0.082043083,0.044765845
-0.0293072,-0.063821552,-0.031372303
0.208328289,-0.185876965,0.128499692
-0.075743115,0.189656458,-0.053658427
-0.047356958,-0.115420418,-0.014729542
