MEblue,MEbrown,MEturquoise,MEgrey
X16,X17,X19,X18
0.272446436,-0.045209606,-0.057443339,0.062144008
-0.054471427,0.099479446,0.515374994,-0.133822096
0.54422427,-0.045617855,-0.19464547,0.042050625
-0.246351176,-0.115564411,-0.098255247,-0.046972598
-0.096518211,0.022977038,0.392009784,0.222237159
-0.05431263,0.049691938,0.362988474,-0.126547404
-0.293074519,-0.16267324,-0.131349703,-0.087341864
0.143947136,0.088629894,-0.125477605,0.443873214
-0.191027062,0.74400982,-0.175602656,-0.151930218
-0.247086105,-0.077985269,-0.089595612,-0.134498712
-0.170697309,-0.116334769,0.119149807,0.193721072
0.047696335,-0.02587974,-0.008742187,-0.280715303
0.331723224,-0.141841636,-0.170545437,-0.167204251
0.24403969,-0.163405897,-0.056596263,-0.133748831
0.14051372,-0.225875093,-0.178744671,-0.299422285
-0.151362872,-0.055631185,0.322462826,0.019009624
-0.002430052,0.086446683,-0.289438107,0.566550435
-0.20692397,-0.113682173,-0.04951631,0.168771092
-0.182614965,0.431232204,0.12104664,0.07873784
0.172279487,-0.232766148,-0.207079918,-0.234891508
