MEgreen,MEyellow,MEred,MEblue,MEbrown,MEblack,MEturquoise,MEgrey
X11,X15,X13,X9,X10,X8,X14,X12
-0.009297914,0.011746734,-0.056509855,-0.058216371,0.004402817,-0.075864131,0.040749087,0.269448109
-0.122876865,-0.227021464,-0.183471249,-0.111295279,-0.159282704,-0.146594329,-0.164036246,-0.095167939
-0.037289932,0.149562625,0.06347217,-0.148810688,-0.074701673,-0.024113847,0.081800096,-0.192113903
0.030586958,-0.075883361,0.914141749,0.038448366,-0.020592954,0.048610465,0.032204405,0.076457883
-0.014679223,-0.129520042,-0.166461178,-0.091597755,-0.190976678,-0.249713974,-0.219844023,-0.226248599
0.201828378,0.384341352,0.016947834,-0.206757755,-0.158288746,0.034774863,0.029988223,-0.343709549
0.045564597,0.138409185,0.09221804,0.058520626,0.103882858,0.050235243,0.193144583,0.127124239
-0.087663453,-0.044680355,0.015920448,-0.018011962,-0.019534582,0.053461703,0.06647082,0.302900228
0.350549001,0.26094755,-0.099959034,-0.167838657,-0.123580313,0.152140772,-0.16540252,-0.143354264
-0.208596279,0.006865869,-0.007433438,0.003746547,0.13768044,0.450105732,0.250988373,-0.008762245
0.533774941,-0.148515033,-0.036300186,0.016053804,-0.01147061,0.027484481,-0.156954283,0.072967944
-0.110383727,-0.01550022,0.016855704,0.161568356,0.183185354,0.211117673,0.29732336,0.13957703
0.368688343,0.018817625,-0.088347721,-0.140613808,-0.200498087,-0.237013583,-0.238117348,-0.139343707
-0.052839356,0.207751614,0.026847786,0.251489955,0.778536116,0.623094546,0.573138064,0.122245143
-0.152166043,-0.052769825,-0.111844353,-0.141871631,-0.122173323,-0.072963955,-0.004427076,-0.21290066
-0.074202368,0.184538202,-0.009851224,0.025797661,0.072692201,-0.001032883,0.238463274,0.262057137
-0.324887155,-0.36420622,-0.141888874,-0.099295164,-0.216561431,-0.170972822,-0.315715031,-0.494382088
-0.071144027,0.41113747,-0.075109481,-0.068152241,-0.051739616,-0.025155234,0.064886364,0.063375465
0.221161462,-0.00579369,-0.166348058,-0.103951976,-0.141838613,-0.18533728,-0.175899954,-0.077734312
-0.350793104,-0.42522679,-0.016866534,0.848397288,0.291889905,-0.164090932,-0.19788357,0.134105944
-0.135334234,-0.285001227,0.013987453,-0.047609316,-0.081030362,-0.298172508,-0.2308766,0.363458146
