"","ming1","ming2","ming3","ming4","ming5","ming6","ming7","ming8","ming9","ming10"
"1","CD81","TNNC1","TNNC1","CD81","CD81","CD81","MYO1C","CRIM1","CRIM1","TNNC1"
"2","TLN1","GORASP2","GORASP2","CRIM1","TLN1","CRIM1","CRIM1","VAMP3","VAMP3","GORASP2"
"3","CRIM1","DAB2","DAB2","VAMP3","CRIM1","VAMP3","PYCR1","TGFB1I1","TGFB1I1","DAB2"
"4","SASH1","CNPY2","SLCO2B1","TGFB1I1","SASH1","TGFB1I1","VAMP3","GAPDH","CYB5R3","ABCB6"
"5","VAMP3","CDHR1","PMM2","CYB5R3","VAMP3","CYB5R3","TGFB1I1","CCND3","FAM189A2","CNPY2"
"6","CYB5R3","BCS1L","ABCB6","GAPDH","CYB5R3","GAPDH","CYB5R3","LTBP2","KAZN","SLC22A18AS"
"7","FAM189A2","STK39","CNPY2","CCND3","FAM189A2","CCND3","FAM189A2","LAPTM4B","GAPDH","CDHR1"
"8","GAPDH","NFYA","CDHR1","JTB","GAPDH","JTB","CALCOCO1","MYH9","FBXO7","STAM2"
"9","FBXO7","SSR1","B2M","LTBP2","FBXO7","LTBP2","FBXO7","KPNA2","CCND3","B2M"
"10","CCND3","NUP155","GALNT3","NME4","CCND3","NME4","CCND3","TPI1","JTB","SSR1"
"11","LTBP2","GALNT3","RBMS1","DNASE1L3","LTBP2","DNASE1L3","JTB","TNNC1","IMP4","NUP155"
"12","NME4","RBMS1","TCERG1","ADGRF5","NME4","ADGRF5","LTBP2","DAB2","NME4","GSPT1"
"13","ADGRF5","RANBP9","B3GNT3","RPS2","ADGRF5","RPS2","IMP4","CNPY2","DNASE1L3","GALNT3"
"14","MDK","CASK","FCGR3A","DDR1","MDK","DDR1","HNRNPC","CDHR1","LAPTM4B","RBMS1"
"15","RPS2","RAPGEF5","DDX39A","MYH9","RPS2","MYH9","NME4","LY86","DDR1","LINC00869"
"16","MYH9","FCGR3A","PPP2R5E","ENO1","MYH9","ENO1","RPS2","STAM2","MYH9","TCERG1"
"17","ENO1","DDX39A","SEC13","KPNA2","ENO1","KPNA2","MYH9","B2M","ENO1","MFNG"
"18","KPNA2","PRG2","SDHC","TPI1","KPNA2","TPI1","KPNA2","PAPOLA","KPNA2","DDX39A"
"19","PTPRM","PPP2R5E","GPR37","CCT5","PTPRM","CCT5","TPI1","NUP155","TPI1","PRG2"
"20","TPI1","DLEU1","RPP38","TNNC1","TPI1","TNNC1","YWHAH","GALNT3","ESD","GTF2F1"
"21","ESD","SEC13","HTATIP2","GORASP2","ESD","GORASP2","TNNC1","RBMS1","CCT5","SEC13"
"22","YWHAH","GPR37","EIF2S2","DAB2","YWHAH","DAB2","GORASP2","TCERG1","TNNC1","SDHC"
"23","CCT5","COL8A1","GART","SLCO2B1","CCT5","SLCO2B1","HYAL1","FCGR3A","DAB2","GPR37"
"24","TNNC1","NEU3","PYCR1","CNPY2","TNNC1","CNPY2","DAB2","DLAT","ABCB6","HTATIP2"
"25","GORASP2","CTBS","NCOA4","CDHR1","GORASP2","CDHR1","CNPY2","SEC13","CNPY2","FAM3C"
"26","DAB2","FAM3C","LAPTM4A","STAM2","DAB2","STAM2","SLC22A18AS","SDHC","CDHR1","NUP205"
"27","SLCO2B1","NDC80","ARAP1","SKIV2L","SLCO2B1","SKIV2L","STAM2","GPR37","SPI1","CAV2"
"28","CNPY2","EIF2S2","NME4","NFYA","CNPY2","NFYA","NFYA","FAM3C","STAM2","PCDHGC3"
"29","CDHR1","H4C2","SPTBN2","SSR1","CDHR1","SSR1","NUP155","NAPG","B2M","NCOA4"
"30","NFYA","GART","PRDX4","RBMS1","NFYA","RBMS1","GALNT3","AHNAK","SSR1","EPCAM"
"31","SSR1","MSN","SNRPG","TCERG1","SSR1","TCERG1","RBMS1","EPCAM","NUP155","LAPTM4A"
"32","GALNT3","NCOA4","IDI1","B3GNT3","GALNT3","B3GNT3","CASK","LAPTM4A","GSPT1","ARAP1"
"33","RBMS1","LAPTM4A","NSUN5P2","RANBP9","RBMS1","RANBP9","RAPGEF5","IRAK1","GALNT3","TRAP1"
"34","LINC00869","NFIC","ABI1","CASK","LINC00869","CASK","FCGR3A","ARAP1","RBMS1","SPTBN2"
"35","TCERG1","CDRT15P3","NDUFB3","DDX39A","TCERG1","DDX39A","DLAT","SPTBN2","LINC00869","PRDX4"
"36","B3GNT3","ARAP1","CFD","PPP2R5E","B3GNT3","PPP2R5E","GDE1","PRDX4","ACBD3","IDI1"
"37","CASK","SPTBN2","ABCA3","SEC13","CASK","SEC13","SEC13","VRK1","CASK","TUBG1"
"38","RAPGEF5","PRDX4","LAMP3","SDHC","RAPGEF5","SDHC","GPR37","SNRPG","RAPGEF5","TARBP2"
"39","FCGR3A","IDI1","GPC3","GPR37","FCGR3A","GPR37","HOXD8","IDI1","FCGR3A","NSUN5P2"
"40","DDX39A","TARBP2","EMP3","HOXD8","DDX39A","HOXD8","NUP205","NSUN5P2","DDX39A","FAM114A1"
"41","PRG2","NSUN5P2","GNAI2","HTATIP2","PRG2","HTATIP2","DSG2","ABI1","PRG2","ABCA3"
"42","GDE1","CFD","STX12","FAM3C","GDE1","FAM3C","EPPIN","FAM107A","GTF2F1","GPC3"
"43","TDG","FAM107A","ALOX5","EHMT2","TDG","EHMT2","MSN","EMP3","DLEU1","EMP3"
"44","SEC13","ABCA3","OLR1","CBS","SEC13","CBS","PAFAH1B3","GNAI2","SEC13","SMAD6"
"45","LMNB1","LAMP3","RASSF2","FAM30A","LMNB1","FAM30A","NCOA4","STX12","GPR37","GNAI2"
"46","GPR37","GPC3","KLHL9","TRIP12","GPR37","TRIP12","LAPTM4A","ALOX5","COL8A1","STX12"
"47","HOXD8","EMP3","GORASP2","NCOA4","HOXD8","NCOA4","NFIC","OLR1","HOXD8","ALOX5"
"48","HTATIP2","GNAI2","ACP5","EPCAM","HTATIP2","EPCAM","CDRT15P3","RASSF2","EBNA1BP2","OLR1"
"49","DSG2","STX12","MSN","LAPTM4A","DSG2","LAPTM4A","IMP4","SUN2","FAM3C","RASSF2"
"50","CBS","ALOX5","EPAS1","CDRT15P3","CBS","CDRT15P3","ARAP1","SRPK1","NUP205","SUN2"
"51","PYCR1","ADRB2","GREM1","ARAP1","PYCR1","ARAP1","NME4","SECISBP2L","GART","KLHL9"
"52","PAFAH1B3","OLR1","ABCB6","TRAP1","PAFAH1B3","TRAP1","SPTBN2","EPAS1","CAV2","ACTG2"
"53","NCOA4","RASSF2","MRPL12","NME4","NCOA4","NME4","PRDX4","GTF3C2","PCDHGC3","CNN1"
"54","EPCAM","SUN2","ARL1","SPTBN2","EPCAM","SPTBN2","IDI1","GREM1","NCOA4","GNG11"
"55","LAPTM4A","KLHL9","ECM2","PRDX4","LAPTM4A","PRDX4","NSUN5P2","MRPL12","LAPTM4A","TNXB"
"56","ARAP1","ACTG2","ARID1A","IDI1","ARAP1","IDI1","NDUFB3","HNRNPU","IMP4","SRPK1"
"57","HNRNPC","GNG11","CDHR1","TARBP2","HNRNPC","TARBP2","FAM107A","ARL1","ARAP1","EPAS1"
"58","NME4","SRPK1","ZWINT","HMOX1","NME4","HMOX1","ABCA3","ECM2","NME4","GTF3C2"
"59","SPTBN2","EPAS1","AKAP13","NSUN5P2","SPTBN2","NSUN5P2","GMFG","ARID1A","SPTBN2","GREM1"
"60","PRDX4","CD302","PSMD14","NDUFB3","PRDX4","NDUFB3","GPC3","TNFRSF11A","PRDX4","ILK"
"61","IDI1","GTF3C2","SRGN","PSMG1","IDI1","PSMG1","EMP3","CDHR1","IDI1","ABCB6"
"62","TARBP2","GREM1","AFF3","FAM107A","TARBP2","FAM107A","GNAI2","ZWINT","TARBP2","HNRNPU"
"63","NSUN5P2","ILK","COL10A1","ABCA3","NSUN5P2","ABCA3","STX12","SPI1","NSUN5P2","ARL1"
"64","ABI1","ARL1","EDRF1","GMFG","ABI1","GMFG","ALOX5","PSMD14","NDUFB3","ECM2"
"65","NDUFB3","ECM2","TSPO","GPC3","NDUFB3","GPC3","OLR1","SRGN","CFD","ARID1A"
"66","FAM114A1","ARID1A","TBCE","EMP3","FAM114A1","EMP3","KLHL9","AFF3","TCF21","CDHR1"
"67","FAM107A","CDHR1","SRPK2","SMAD6","FAM107A","SMAD6","ACTG2","DES","MRC1","ZWINT"
"68","LAMP3","DEFA3","SRPX2","GNAI2","LAMP3","GNAI2","GNG11","EDRF1","ABCA3","SPI1"
"69","GPC3","ZWINT","GALNT3","STX12","GPC3","STX12","ACP5","MAPK13","ANOS1","AKAP13"
"70","EMP3","IMP4","HLTF","ALOX5","EMP3","ALOX5","MSN","TSPO","GMFG","SEC24D"
"71","SMAD6","AFF3","BEAN1","OLR1","SMAD6","OLR1","HCK","TBCE","GNAI2","PSMD14"
