"","x"
"1",1
"2",1171
"3",1172
"4",1174
"5",1176
"6",1181
"7",1184
"8",1185
"9",1189
"10",1191
"11",1192
"12",1203
"13",1211
"14",1216
"15",1226
"16",1227
"17",1231
"18",1232
"19",1235
"20",1241
"21",1246
"22",1257
"23",1261
"24",1263
"25",1682
"26",1684
"27",1699
"28",1704
"29",1722
"30",1742
"31",1792
"32",1795
"33",1837
"34",1852
"35",1854
"36",1859
"37",1861
"38",1904
"39",1908
"40",1912
"41",1923
"42",1953
"43",1984
"44",1995
"45",2027
"46",2043
"47",2064
"48",2141
"49",2155
"50",2188
"51",2189
"52",2385
"53",2391
"54",2396
"55",2399
"56",2404
"57",2427
"58",2428
"59",2439
"60",2441
"61",2442
"62",2455
"63",2474
"64",2496
"65",2503
"66",2511
"67",2528
"68",3824
"69",3840
"70",3851
"71",3853
"72",3859
"73",3862
"74",3869
"75",3870
"76",3876
"77",3877
"78",3886
"79",3892
"80",3899
"81",3910
"82",3921
"83",3929
"84",3939
"85",3962
"86",3967
"87",3971
"88",3982
"89",3996
"90",4006
"91",4019
"92",4040
"93",4051
"94",4054
"95",4065
"96",4075
"97",4090
"98",4094
"99",4115
"100",4138
"101",4163
"102",4170
"103",4174
"104",4205
"105",4222
"106",4234
"107",4247
"108",4272
"109",4282
"110",4284
"111",4286
"112",4293
"113",4300
"114",4307
"115",4322
"116",4324
"117",4345
"118",4356
"119",4367
"120",4375
"121",4448
"122",4463
"123",4472
"124",4496
"125",4498
"126",4500
"127",4517
"128",4549
"129",4571
"130",1
"131",1682
"132",1684
"133",1699
"134",1722
"135",1742
"136",1759
"137",1760
"138",1792
"139",1795
"140",1801
"141",1837
"142",1852
"143",1879
"144",1904
"145",1908
"146",1912
"147",1923
"148",1953
"149",2009
"150",2025
"151",2027
"152",2064
"153",2066
"154",2104
"155",2168
"156",2169
"157",2205
"158",2207
"159",2266
"160",2281
"161",2386
"162",2396
"163",2404
"164",2407
"165",2421
"166",2427
"167",2441
"168",2442
"169",2455
"170",2474
"171",2496
"172",3822
"173",3824
"174",3837
"175",3840
"176",3851
"177",3853
"178",3860
"179",3862
"180",3869
"181",3874
"182",3876
"183",3877
"184",3885
"185",3886
"186",3901
"187",3904
"188",3921
"189",3929
"190",3934
"191",3939
"192",3954
"193",3956
"194",3967
"195",3971
"196",3982
"197",3996
"198",3999
"199",4019
"200",4047
"201",4054
"202",4065
"203",4067
"204",4069
"205",4075
"206",4084
"207",4090
"208",4094
"209",4109
"210",4115
"211",4138
"212",4170
"213",4190
"214",4210
"215",4214
"216",4222
"217",4246
"218",4259
"219",4272
"220",4282
"221",4284
"222",4286
"223",4293
"224",4307
"225",4324
"226",4367
"227",4372
"228",4375
"229",4384
"230",4463
"231",4472
"232",4495
"233",4500
"234",4517
"235",4549
"236",4555
"237",4610
"238",4629
"239",1
"240",1682
"241",1684
"242",1699
"243",1704
"244",1709
"245",1711
"246",1722
"247",1742
"248",1794
"249",1837
"250",1852
"251",1859
"252",1861
"253",1912
"254",1923
"255",2009
"256",2027
"257",2055
"258",2064
"259",2138
"260",2155
"261",2207
"262",2281
"263",2385
"264",2396
"265",2404
"266",2427
"267",2439
"268",2441
"269",2442
"270",2453
"271",2455
"272",2496
"273",2503
"274",2511
"275",3822
"276",3837
"277",3840
"278",3851
"279",3853
"280",3860
"281",3862
"282",3869
"283",3876
"284",3877
"285",3886
"286",3899
"287",3907
"288",3910
"289",3929
"290",3954
