"","x"
"1",1
"2",1171
"3",1174
"4",1176
"5",1181
"6",1185
"7",1192
"8",1203
"9",1231
"10",1235
"11",1241
"12",1246
"13",1257
"14",1263
"15",1421
"16",1462
"17",1468
"18",1482
"19",1483
"20",1534
"21",1682
"22",1684
"23",1722
"24",1792
"25",1795
"26",1852
"27",1904
"28",1908
"29",1923
"30",1953
"31",2027
"32",2189
"33",2396
"34",2439
"35",2441
"36",2442
"37",2455
"38",2474
"39",2496
"40",2511
"41",3840
"42",3853
"43",3859
"44",3862
"45",3869
"46",3870
"47",3877
"48",3921
"49",3962
"50",3967
"51",3971
"52",3982
"53",3996
"54",4051
"55",4054
"56",4065
"57",4075
"58",4090
"59",4094
"60",4115
"61",4138
"62",4163
"63",4205
"64",4222
"65",4272
"66",4282
"67",4286
"68",4293
"69",4324
"70",4367
"71",4448
"72",4463
"73",4472
"74",4549
"75",1
"76",1174
"77",1181
"78",1185
"79",1189
"80",1192
"81",1231
"82",1235
"83",1246
"84",1421
"85",1448
"86",1462
"87",1468
"88",1482
"89",1483
"90",1520
"91",1534
"92",1548
"93",1682
"94",1699
"95",1722
"96",1759
"97",1795
"98",1801
"99",1852
"100",1904
"101",2027
"102",2168
"103",2169
"104",2281
"105",2441
"106",2442
"107",2496
"108",3822
"109",3824
"110",3837
"111",3840
"112",3851
"113",3860
"114",3862
"115",3869
"116",3901
"117",3904
"118",3921
"119",3929
"120",3939
"121",3956
"122",3967
"123",3971
"124",3982
"125",3996
"126",3999
"127",4019
"128",4054
"129",4065
"130",4075
"131",4084
"132",4094
"133",4109
"134",4115
"135",4170
"136",4214
"137",4222
"138",4259
"139",4272
"140",4282
"141",4286
"142",4293
"143",4307
"144",4324
"145",4367
"146",4463
"147",4472
"148",4495
"149",4500
"150",4517
"151",4549
"152",1
"153",1174
"154",1176
"155",1181
"156",1189
"157",1192
"158",1201
"159",1231
"160",1235
"161",1260
"162",1682
"163",1684
"164",1699
"165",1709
"166",1722
"167",1852
"168",1923
"169",2027
"170",2404
"171",2441
"172",2442
"173",2455
"174",2496
"175",3837
"176",3851
"177",3860
"178",3862
"179",3869
"180",3876
"181",3877
"182",3907
"183",3929
"184",3958
"185",3967
"186",3971
"187",3982
"188",3996
"189",4019
"190",4040
"191",4051
"192",4054
"193",4075
"194",4090
"195",4094
"196",4109
"197",4115
"198",4138
"199",4163
"200",4170
"201",4215
"202",4259
"203",4272
"204",4293
"205",4307
"206",4367
"207",4448
"208",4463
"209",4472
"210",4495
"211",4517
"212",4549
"213",1
"214",1174
"215",1181
"216",1189
"217",1192
"218",1216
"219",1227
"220",1230
"221",1231
"222",1235
"223",1246
"224",1263
"225",1421
"226",1462
"227",1468
"228",1482
"229",1520
"230",1682
"231",1684
"232",1699
"233",1704
"234",1722
"235",1785
"236",1792
"237",1852
"238",1861
"239",1923
"240",2055
"241",2434
"242",2441
"243",2442
"244",2455
"245",2474
"246",2476
"247",2496
"248",2511
"249",3837
"250",3851
"251",3853
"252",3860
"253",3862
"254",3869
"255",3876
"256",3901
"257",3929
"258",3939
"259",3962
"260",3967
"261",3971
"262",3982
"263",3996
"264",4019
"265",4020
"266",4054
"267",4075
"268",4090
"269",4094
"270",4109
"271",4196
"272",4247
"273",4259
"274",4272
"275",4282
"276",4286
"277",4293
"278",4307
"279",4324
"280",4367
"281",4406
"282",4460
"283",4463
"284",4472
"285",4549
"286",4556
"287",1
"288",1171
"289",1174
"290",1176
