"","V1","V2","V3"
"1",0.2963,0.0040358,0.032308
"2",0.30172,0.0047497,0.033477
"3",0.27827,0.0052834,0.031691
"4",0.2995,0.01089,0.038809
"5",0.28915,0.0074237,0.034676
"6",0.29478,0.0054131,0.033406
"7",0.33147,0.013004,0.043811
"8",0.25261,0.0018957,0.026149
"9",0.27591,0.0047868,0.031014
"10",0.28603,0.0064766,0.033519
"11",0.34213,0.024853,0.055545
"12",0.3075,0.012078,0.040656
"13",0.39897,0.042415,0.076907
"14",0.31695,0.0094977,0.03924
"15",0.30219,0.0076673,0.036158
"16",0.33308,0.012955,0.043923
"17",0.24944,0.0045284,0.02822
"18",0.32566,0.011713,0.042082
"19",0.32049,0.010021,0.040054
"20",0.22046,0.0024887,0.023574
"21",0.27844,0.0054683,0.031875
"22",0.33808,0.018821,0.049704
"23",0.25183,0.0067357,0.030445
"24",0.27738,0.0063326,0.032552
"25",0.28276,0.0088885,0.035381
"26",0.35106,0.019952,0.051982
"27",0.2363,0.0033511,0.025885
"28",0.24298,0.0027376,0.025977
"29",0.30214,0.007788,0.036263
"30",0.28678,0.0052645,0.032498
"31",0.28496,0.011456,0.037913
"32",0.30097,0.01094,0.038996
"33",0.33969,0.01575,0.047087
"34",0.31501,0.012411,0.041683
"35",0.28681,0.0096103,0.036425
"36",0.29176,0.0084097,0.035819
"37",0.35492,0.018622,0.051154
"38",0.25703,0.0041849,0.028644
"39",0.3286,0.010837,0.041576
"40",0.26473,0.0054991,0.030576
"41",0.35923,0.025188,0.057502
"42",0.39229,0.036066,0.070526
"43",0.26606,0.0069225,0.03199
"44",0.25463,0.0049,0.029058
"45",0.38173,0.031876,0.065719
"46",0.32736,0.011593,0.042139
"47",0.33993,0.016127,0.047451
"48",0.32802,0.016996,0.047082
"49",0.36186,0.023021,0.055799
"50",0.33102,0.011478,0.042389
"51",0.40259,0.042306,0.077159
"52",0.35438,0.017065,0.049696
"53",0.34864,0.023805,0.055228
"54",0.40806,0.043702,0.078949
"55",0.27931,0.0051896,0.031706
"56",0.30607,0.013847,0.042116
"57",0.39188,0.0331,0.067807
"58",0.17213,0.030437,0.076745
"59",0.1838,0.039289,0.086516
"60",0.17875,0.034425,0.081592
"61",0.19582,0.047472,0.095955
"62",0.18249,0.038864,0.085804
"63",0.18695,0.041529,0.089053
"64",0.20304,0.054496,0.10304
"65",0.20585,0.054721,0.10411
"66",0.19777,0.04991,0.098231
"67",0.22069,0.07234,0.12082
"68",0.22412,0.072526,0.12207
"69",0.1943,0.046778,0.094991
"70",0.16298,0.022298,0.068273
"71",0.21945,0.067306,0.11703
"72",0.20294,0.051554,0.10103
"73",0.1896,0.04412,0.091666
"74",0.18549,0.039588,0.087269
"75",0.20828,0.056838,0.10633
"76",0.20109,0.050859,0.099958
"77",0.23297,0.079302,0.12952
"78",0.2103,0.061238,0.10995
"79",0.23458,0.082339,0.13209
"80",0.21812,0.068445,0.11736
"81",0.24348,0.08793,0.13877
"82",0.18581,0.037914,0.086249
"83",0.23852,0.086359,0.13609
"84",0.20758,0.054999,0.10487
"85",0.25659,0.1013,0.15205
"86",0.1908,0.041864,0.090537
"87",0.23409,0.08204,0.13173
"88",0.26171,0.10549,0.15654
"89",0.24289,0.088501,0.13896
"90",0.22419,0.069153,0.11982
"91",0.24446,0.090423,0.14076
"92",0.23901,0.086921,0.13663
"93",0.22079,0.066899,0.11719
"94",0.25417,0.098699,0.14951
"95",0.26031,0.10532,0.15597
"96",0.23735,0.081624,0.13252
"97",0.25756,0.10185,0.15274
"98",0.24651,0.092615,0.14291
"99",0.22896,0.073185,0.12409
"100",0.22684,0.074705,0.12442
"101",0.24556,0.092272,0.14237
"102",0.24357,0.087962,0.13882
"103",0.21768,0.062198,0.11301
"104",0.23205,0.07931,0.12923
