"","x"
"1",0.606176291
"2",0.576431838
"3",0.677426363
"4",0.571515774
"5",0.697961327
"6",0.677919958
"7",0.591073484
"8",0.69552849
"9",0.764916427
"10",0.742366868
"11",0.590237903
"12",0.687815169
"13",0.601175673
"14",0.705431141
"15",0.695180135
"16",0.683017127
"17",0.80325822
"18",0.620056462
"19",0.682592752
"20",0.894505947
"21",0.768359291
"22",0.641285806
"23",0.851542916
"24",0.730831345
"25",0.75539052
"26",0.581557557
"27",0.81794877
"28",0.690582948
"29",0.74762108
"30",0.771266086
"31",0.778683296
"32",0.667205872
"33",0.560163623
"34",0.604185933
"35",0.66737709
"36",0.76366437
"37",0.692356266
"38",0.834728064
"39",0.664670237
"40",0.67905595
"41",0.554575862
"42",0.675287093
"43",0.873388923
"44",0.761640747
"45",0.569578783
"46",0.699045929
"47",0.753339702
"48",0.640902064
"49",0.560341355
"50",0.775180316
"51",0.64201996
"52",0.61897753
"53",0.671458937
"54",0.526398992
"55",0.70722359
"56",0.720535828
"57",0.714986989
"58",0.557609228
"59",0.757369384
"60",0.290686057
"61",0.697161034
"62",0.771210021
"63",0.314987069
"64",0.5647286
"65",0.401858144
"66",0.569735882
"67",0.689232414
"68",0.70931008
"69",0.603080261
"70",0.47471787
"71",0.220348715
"72",0.449974699
"73",0.739280915
"74",0.796835709
"75",0.540911395
"76",0.623189611
"77",0.560082672
"78",0.440232074
"79",0.611138672
"80",0.638228839
"81",0.299958377
"82",0.386192778
"83",0.560404275
"84",0.230771672
"85",0.500027532
"86",0.470332379
"87",0.413708074
"88",0.478953145
"89",0.242905062
"90",0.570998074
"91",0.453134537
"92",0.565434582
"93",0.551578893
"94",0.376055039
"95",0.471552856
"96",0.342376946
"97",0.525390975
"98",0.470653245
"99",0.454515731
"100",0.567250545
"101",0.459857896
"102",0.606849721
"103",0.506501567
"104",0.544713411
"105",0.506510035
"106",0.383800061
"107",0.216277864
"108",0.349816512
"109",0.337180196
"110",0.474976743
"111",0.296315533
"112",0.071224261
"113",0.312301391
"114",0.511185678
"115",0.333113783
"116",0.443389953
"117",0.272313311
"118",0.249399598
"119",0.260405257
"120",0.256787097
"121",0.43571196
"122",0.349255665
"123",0.222758735
"124",0.050133763
"125",0.29855415
"126",0.477587839
"127",0.406760136
"128",0.188924077
"129",0.22442932
"130",0.382355741
"131",0.053246855
"132",0.441589586
"133",0.628190861
"134",0.498456787
"135",0.416743715
"136",0.477885335
"137",0.58246392
"138",0.458566019
"139",0.482808585
"140",0.481982241
"141",0.534977681
"142",0.618750083
"143",0.518341062
"144",0.425280818
"145",0.68431199
"146",0.474523495
"147",0.422946879
"148",0.093268952
"149",0.579647712
"150",0.334167018
"151",0.285939372
"152",0.468199628
"153",0.54421272
"154",0.496154895
"155",0.197865316
"156",0.216243689
"157",0.634767537
"158",0.17640686
"159",0.430124295
"160",0.616672856
"161",0.038714684
"162",0.459000332
"163",0.364535772
"164",0.250535322
"165",-0.321143685
"166",0.413687904
"167",0.462364814
"168",-0.276591705
"169",0.265338499
"170",0.326339294
"171",0.153942095
"172",0.084984436
"173",0.291390283
"174",-0.448258305
"175",0.287722882
"176",0.530693319
"177",0.48530841
"178",0.108288469
"179",0.489996564
"180",0.44972034
"181",0.211766943
"182",0.286989023
"183",-0.092702353
"184",0.402669864
"185",0.349760389
"186",0.21402026
"187",0.023155534
"188",0.411935473
"189",0.394584252
"190",0.166386246
"191",0.335621488
"192",0.289457929
"193",0.27875186
"194",-0.05450285
"195",0.365695919
"196",0.101004921
"197",0.349150218
"198",0.061769966
"199",0.432938542
"200",0.362503981
"201",0.390010932
"202",-0.496803124
"203",0.363111218
"204",0.364912887
"205",-0.520999304
"206",-0.569420661
"207",0.17802317
"208",0.099909677
"209",0.36654527
"210",0.521018185
"211",-0.485600354
"212",-0.30608377
"213",0.307340236
"214",0.230665012
"215",0.158557346
"216",0.330080783
"217",-0.297716631
"218",-0.267510084
"219",0.537325949
"220",-0.323361683
"221",0.369647155
"222",0.375268351
"223",-0.223988547
"224",0.493114265
"225",0.354994179
"226",0.187374694
"227",-0.258308209
"228",-0.165658191
"229",0.54387427
"230",0.376451072
"231",-0.444834322
"232",-0.406384382
"233",0.240697487
"234",0.505984144
"235",0.115329634
"236",0.333583999
"237",0.165559148
"238",0.190271472
"239",-0.070663309
"240",-0.412171482
"241",0.250942707
"242",0.11299047
"243",-0.250388281
"244",0.172233496
"245",0.047557498
"246",0.371635095
"247",-0.245777535
"248",-0.600076262
"249",0.431786616
"250",0.135584285
"251",0.235967953
"252",-0.211488166
"253",-0.481177156
"254",0.57414744
"255",-0.217817396
"256",-0.320320597
"257",-0.259944012
"258",-0.323498357
"259",0.564537301
"260",0.222627197
"261",0.243564521
"262",0.27423207
"263",-0.452137229
"264",0.40185109
"265",0.488326341
"266",0.167198499
"267",-0.242143473
"268",-0.046119167
"269",0.208944928
"270",-0.590752311
"271",0.466561232
"272",-0.316938036
"273",0.405273665
"274",-0.44657265
"275",-0.206331101
"276",-0.409155726
"277",0.049046754
"278",-0.516900109
"279",0.339567759
"280",0.216688797
"281",0.426925567
"282",-0.308586896
"283",-0.119658787
"284",-0.294557773
"285",-0.302968133
"286",0.350698253
"287",-0.464723237
"288",0.592156684
"289",0.315322897
"290",-0.406035467
"291",-0.356146529
"292",0.288112738
"293",0.079765089
"294",-0.189668721
"295",-0.120750698
"296",0.248479257
"297",0.41559041
"298",-0.435374776
"299",-0.383243435
"300",-0.24314476
"301",-0.335699246
"302",0.513801049
"303",0.145270616
"304",0.220295256
"305",0.141776659
"306",0.009910315
"307",0.33507722
"308",0.208605126
"309",-0.184808376
"310",-0.352996498
"311",0.438036051
"312",0.363912898
"313",0.379428526
"314",0.073791592
"315",0.321721878
"316",-0.086526987
"317",-0.382665987
"318",-0.074217872
"319",-0.33867111
"320",-0.406068678
"321",-0.255461645
"322",-0.014142438
"323",0.119574807
"324",-0.378321552
"325",-0.351526006
"326",0.2940188
"327",0.434143269
"328",0.04697127
"329",0.136184099
"330",-0.207291641
"331",0.247895372
"332",-0.443285484
"333",-0.005522125
"334",0.071078095
"335",0.242069357
"336",-0.270360446
"337",0.427729396
"338",0.161890894
"339",-0.525975699
"340",-0.402166074
"341",-0.069027285
"342",0.343923624
"343",-0.310904653
"344",0.177898702
"345",-0.197362328
"346",0.315862386
"347",0.204064896
"348",-0.408542295
"349",-0.45542004
"350",-0.286544907
"351",-0.242940881
"352",0.223114992
"353",-0.286758962
"354",-0.041278765
"355",0.382254107
"356",-0.083999393
"357",-0.028680743
"358",-0.293724363
"359",0.325187627
"360",0.226060348
"361",0.103939343
"362",0.078814359
"363",-0.312777009
"364",-0.572239795
"365",-0.360078962
"366",-0.426182374
"367",-0.041294079
"368",-0.17696717
"369",0.381547605
"370",-0.340008588
"371",-0.06540094
"372",-0.357399994
"373",-0.197576797
"374",0.006118369
"375",-0.19626197
"376",0.193477812
"377",-0.413353325
"378",0.201772011
"379",-0.172525536
"380",0.219529969
"381",-0.444468754
"382",0.402423482
"383",-0.183669714
"384",-0.377841101
"385",0.133633921
"386",-0.338585113
"387",-0.171388291
"388",0.216804621
"389",0.227401379
"390",-0.089545337
"391",-0.106376755
"392",-0.033016552
"393",0.235718275
"394",0.189568265
"395",0.203875459
"396",0.176799354
"397",-0.242740062
"398",-0.302478097
"399",0.320230775
"400",-0.13504646
"401",0.210506149
"402",-0.381175276
"403",-0.033020765
"404",-0.100164891
"405",-0.298818006
"406",-0.354621256
"407",-0.469340647
"408",-0.157376837
"409",0.385770251
"410",0.293546794
"411",0.202067229
"412",0.390942723
"413",-0.292763514
"414",-0.028554847
"415",-0.211921504
"416",0.208115993
"417",0.067776367
"418",-0.279448711
"419",0.452662391
"420",0.576237693
"421",-0.047660977
"422",-0.204565274
"423",0.398231785
"424",-0.374317283
"425",0.390131239
"426",-0.32256959
"427",-0.432550547
"428",0.022672168
"429",-0.123446702
"430",0.119161092
"431",-0.383573832
"432",0.10189944
"433",-0.027546873
"434",0.450699148
"435",0.016779633
"436",-0.361371412
"437",-0.319084965
"438",-0.154372324
"439",-0.290210634
"440",0.410119008
"441",0.392261805
"442",-0.160773142
"443",-0.296251482
"444",-0.482587638
"445",-0.322090612
"446",-0.185279634
"447",0.155168364
"448",0.060947375
"449",-0.366861445
"450",0.141367708
"451",-0.268049218
"452",0.303162103
"453",-0.062416571
"454",-0.361027172
"455",0.33679369
"456",-0.168479933
"457",-0.362431397
"458",-0.425808978
"459",-0.520116747
"460",-0.237659307
"461",-0.227192175
"462",-0.444721888
"463",-0.055503114
"464",-0.106390799
"465",-0.109912847
"466",-0.352146234
"467",0.392786911
"468",0.210806203
"469",-0.060429425
"470",-0.279602757
"471",0.504726281
"472",0.261513911
"473",-0.348605242
"474",-0.206979983
"475",-0.371477726
"476",-0.12789937
"477",-0.222030406
"478",-0.429714447
"479",-0.301685997
"480",0.043216541
"481",-0.241628219
"482",-0.076915405
"483",-0.414116718
"484",-0.173845782
"485",-0.194566158
"486",-0.086467012
"487",-0.057085824
"488",-0.325232875
"489",-0.230357506
"490",-0.321643785
"491",0.059438906
"492",-0.347037142
"493",0.574922495
"494",-0.320595915
"495",0.257500629
"496",-0.149654078
"497",-0.454108172
"498",-0.121770931
"499",0.273746618
"500",-0.136874602
"501",0.122297065
"502",-0.205348027
"503",-0.192681603
"504",-0.257549888
"505",-0.257531533
"506",0.130349418
"507",-0.001514312
"508",-0.27108354
"509",-0.304925239
"510",-0.128789671
"511",-0.214502934
"512",-0.349879655
"513",-0.273143193
"514",0.138108801
"515",-0.463773799
"516",-0.366464438
"517",-0.303460474
"518",0.075409988
"519",-0.335133272
"520",-0.205445072
"521",-0.181832719
"522",0.491730376
"523",0.035098464
"524",-0.301299658
"525",-0.134111806
"526",-0.074480133
"527",-0.401307119
"528",0.259745094
"529",-0.300795568
"530",-0.114464084
"531",-0.147457914
"532",-0.284364223
"533",0.046037123
"534",-0.250006494
"535",-0.379480566
"536",0.034250128
"537",-0.290403023
"538",0.115288126
"539",0.088664939
"540",-0.280352997
"541",-0.0051484
"542",-0.164459725
"543",0.469403674
"544",-0.349401808
"545",-0.341834348
"546",-0.413367467
"547",-0.44226912
"548",0.51638791
"549",0.595540797
"550",0.591851696
"551",-0.301158353
"552",0.548424126
"553",0.519236311
"554",0.460454671
"555",0.484222416
"556",0.464686197
"557",0.460433528
"558",0.69325937
"559",0.333445743
"560",0.330475154
"561",0.407158618
"562",0.355547922
"563",-0.418951967
"564",0.671125464
"565",0.520916623
"566",0.399749767
"567",0.471300661
"568",0.849921033
"569",0.336365206
"570",0.692941104
"571",0.485847157
"572",0.705420186
"573",0.313428661
"574",0.328113935
"575",0.843015057
"576",0.304005404
"577",0.83607471
"578",-0.376537589
"579",0.591088591
"580",-0.400563232
"581",0.393016956
"582",0.562130408
"583",0.580226039
"584",-0.463727936
"585",0.439618623
"586",-0.384704094
"587",-0.460036342
"588",0.541390805
"589",0.537343766
"590",0.317930746
"591",0.71719813
"592",0.32338579
"593",0.512648994
"594",0.561560291
