"","x"
"1",0.845791323
"2",0.679352486
"3",0.528370119
"4",-0.632383981
"5",0.5839198
"6",0.611786851
"7",0.682689678
"8",0.911293385
"9",-0.645329488
"10",0.736423516
"11",0.864555172
"12",0.661454092
"13",0.709610515
"14",0.682362228
"15",0.812521074
"16",0.64880669
"17",0.657638026
"18",-0.655912772
"19",0.504922478
"20",0.671723756
"21",0.811049758
"22",0.72489495
"23",0.725406118
"24",0.645927655
"25",0.576180155
"26",0.729653203
"27",-0.52359266
"28",0.768063693
"29",0.625440477
"30",-0.668520542
"31",0.925090916
"32",0.856926564
"33",0.537297934
"34",0.932050983
"35",0.721108254
"36",0.634857058
"37",0.495799271
"38",0.834233025
"39",0.94446166
"40",0.765955184
"41",0.609109224
"42",0.642948382
"43",0.797858016
"44",0.397147791
"45",0.622862903
"46",0.767479868
"47",0.822915209
"48",0.739452575
"49",0.803474763
"50",0.690042127
"51",0.75958672
"52",0.791370995
"53",0.684367858
"54",0.651424978
"55",0.850388819
"56",0.664053017
"57",0.725029978
"58",0.630498107
"59",0.652281432
"60",0.61915347
"61",0.747413668
"62",0.679036646
"63",0.907104464
"64",0.721261737
"65",0.796202402
"66",0.741849059
"67",0.376715191
"68",0.743817159
"69",0.856876868
"70",0.864188388
"71",0.866739675
"72",0.489286474
"73",0.851584102
"74",0.846431723
"75",0.6517614
"76",0.608946755
"77",0.916538146
"78",0.726952608
"79",0.814900872
"80",0.580939905
"81",0.790326852
"82",0.563115969
"83",0.534776633
"84",0.667464564
"85",0.545124703
"86",0.935231043
"87",0.860560548
"88",0.889306287
"89",0.709706072
"90",-0.64235361
"91",0.933592413
"92",0.870582044
"93",0.570404389
"94",0.564235187
"95",0.788678114
"96",0.658448564
"97",0.597392726
"98",0.777231308
"99",0.79443441
"100",0.68683003
"101",0.412752195
"102",-0.122494723
"103",0.561683018
"104",0.367544778
"105",0.202589038
"106",0.735757094
"107",0.111085865
"108",0.074299837
"109",-0.195723993
"110",0.196437802
"111",-0.08981508
"112",0.349221164
"113",-0.001665323
"114",0.374651791
"115",0.6770999
"116",0.580676017
"117",0.387899505
"118",0.209377697
"119",0.042538106
"120",-0.119515841
"121",0.073401135
"122",-0.393630252
"123",-0.055651845
"124",-0.121486711
"125",0.494815653
"126",0.12831549
"127",-0.066880297
"128",0.423005345
"129",-0.026525214
"130",0.607105626
"131",-0.272334667
"132",-0.321844807
"133",0.608144937
"134",0.687465749
"135",0.31910721
"136",-0.068886797
"137",0.657626022
"138",-0.333401608
"139",0.396648087
"140",-0.104300361
"141",0.676171694
"142",-0.076764055
"143",0.49983825
"144",0.591360425
"145",0.648483514
"146",0.127145435
"147",0.548415833
"148",0.816793586
"149",0.037264161
"150",0.45422823
"151",-0.034966496
"152",0.435663442
"153",-0.121900075
"154",-0.144346489
"155",-0.24449399
"156",0.522384243
"157",0.445931609
"158",-0.450726433
"159",0.073462017
"160",0.663039186
"161",0.110284383
"162",-0.145446176
"163",-0.187321291
"164",0.366470801
"165",0.343838566
"166",-0.199768858
"167",0.638773978
"168",-0.102611269
"169",0.282120285
"170",0.335517697
"171",-0.241391677
"172",-0.096559092
"173",-0.208228677
"174",-0.43042752
"175",-0.356696084
"176",0.390442249
"177",0.116092673
"178",0.069622027
"179",0.724868875
"180",-0.302247344
"181",-0.036517711
"182",0.295163251
"183",0.097182934
"184",0.218493647
"185",0.429263778
"186",0.454065834
"187",-0.107564829
"188",-0.106050373
"189",-0.054446373
"190",-0.052475435
"191",0.288335912
"192",0.051520743
"193",0.305336732
"194",-0.079610942
"195",0.453790991
"196",-0.15500384
"197",-0.004388463
"198",0.607323094
"199",0.582509797
"200",0.410910406
"201",-0.25543849
"202",0.731371431
"203",-0.440663991
"204",0.49581925
"205",0.060370899
"206",-0.053962388
"207",0.235556475
"208",0.131445523
"209",0.032857773
"210",0.615213599
"211",-0.110134288
"212",0.038975261
"213",0.610309881
"214",-0.45496432
"215",0.517600583
"216",0.57495531
"217",0.242814578
"218",-0.283203951
"219",0.002509964
"220",-0.116845163
"221",-0.145602137
"222",-0.508487157
"223",-0.40226048
"224",0.278540476
"225",-0.182209533
"226",-0.129370327
"227",0.546267861
"228",-0.31327034
"229",-0.068191351
"230",-0.161192872
"231",0.413236981
"232",0.46464892
"233",-0.540736346
"234",0.622529918
"235",0.298056934
"236",-0.188982332
"237",0.017968001
"238",0.441768441
"239",-0.407630989
"240",0.176568295
"241",0.028770732
"242",-0.014080283
"243",0.275024809
"244",-0.270223598
"245",-0.559030601
"246",-0.443252608
"247",-0.619981077
"248",0.784554489
"249",0.261704441
"250",0.240752338
"251",-0.520425171
"252",-0.345623315
"253",0.166996847
"254",0.464367663
"255",0.599084872
"256",0.104889355
"257",-0.427371008
"258",0.307396083
"259",-0.494305075
"260",0.661835146
"261",0.119913086
"262",-0.156002798
"263",0.462917128
"264",-0.643547625
"265",0.211665582
"266",0.680883257
"267",-0.331635869
"268",-0.205398525
"269",-0.352839134
"270",0.194054936
"271",-0.350909684
"272",-0.289662934
"273",0.02600455
"274",0.225255095
"275",0.111470508
"276",0.015721413
"277",0.276586639
"278",0.119184036
"279",0.263768242
"280",0.168422723
"281",0.089907705
"282",-0.513078439
"283",-0.502853505
"284",-0.372360253
"285",-0.318727351
"286",0.284189888
"287",-0.188704672
"288",-0.012615032
"289",-0.31393642
"290",0.339208378
"291",0.06824978
"292",-0.256548637
"293",-0.015571723
"294",-0.334353551
"295",-0.4314804
"296",-0.482091877
"297",-0.241396428
"298",0.00257435
"299",0.23318844
"300",-0.271344607
"301",-0.077730957
"302",0.39839456
"303",-0.212777634
"304",-0.412172128
"305",0.541135914
"306",-0.589751981
"307",0.228233291
"308",-0.38455541
"309",0.319180911
"310",-0.012771665
"311",-0.604202569
"312",-0.407991583
"313",-0.597664806
"314",-0.22245579
"315",0.043453997
"316",-0.609161411
"317",-0.468629034
"318",-0.030140832
"319",0.347065758
"320",0.52864154
"321",-0.353015924
"322",0.375161384
"323",-0.448406306
"324",-0.239021899
"325",-0.295143925
"326",0.518875787
"327",-0.075760587
"328",-0.248502134
"329",-0.337728347
"330",-0.565267406
"331",-0.261078879
"332",-0.510421172
"333",0.231350638
"334",-0.056061057
"335",-0.370275759
"336",-0.012871467
"337",-0.469888519
"338",-0.513326179
"339",-0.232016842
"340",-0.120250425
"341",-0.111065468
"342",0.350296597
"343",-0.36575114
