"","x"
"1",-0.746115614
"2",-0.734728884
"3",-0.770793386
"4",-0.752858794
"5",-0.845895282
"6",-0.78615235
"7",-0.729377382
"8",-0.745792923
"9",-0.634281412
"10",-0.709237116
"11",-0.660951165
"12",0.722609601
"13",-0.820667978
"14",-0.841255247
"15",-0.613394751
"16",-0.864988698
"17",-0.648056936
"18",-0.845501744
"19",-0.839113433
"20",-0.796308658
"21",-0.693102767
"22",0.726554678
"23",0.903877277
"24",-0.794345147
"25",-0.700436424
"26",-0.562956446
"27",-0.765697465
"28",-0.805408183
"29",0.819510353
"30",0.903351303
"31",-0.751148127
"32",0.732450324
"33",-0.828982242
"34",-0.747984872
"35",-0.666060597
"36",0.915341716
"37",0.469047308
"38",0.720585652
"39",0.760920125
"40",0.871770671
"41",0.906446504
"42",0.848388097
"43",0.641109919
"44",0.500053165
"45",0.704076685
"46",-0.586436375
"47",0.694140679
"48",0.781336944
"49",0.746699969
"50",0.646642239
"51",0.534842075
"52",-0.561463814
"53",0.688956837
"54",0.599224241
"55",0.814572554
"56",0.51899751
"57",0.798309254
"58",0.72474752
"59",-0.781766146
"60",0.882326283
"61",-0.790470637
"62",0.780516278
"63",0.884569056
"64",-0.495538753
"65",0.742636486
"66",0.722923537
"67",0.436330093
"68",0.613757085
"69",0.785276498
"70",0.643921459
"71",0.698540486
"72",0.759825262
"73",-0.71488343
"74",-0.806046024
"75",0.489052267
"76",0.858359229
"77",-0.683484144
"78",0.835064163
"79",0.590200345
"80",0.85516464
"81",0.704106355
"82",0.843365562
"83",0.795869183
"84",-0.54308485
"85",0.81552715
"86",0.776674878
"87",-0.70861502
"88",-0.789463715
"89",0.524535629
"90",0.731091702
"91",0.778327186
"92",0.555713508
"93",0.708513581
"94",0.717115855
"95",0.874453737
"96",0.674871434
"97",0.633252141
"98",0.784369774
"99",0.839049701
"100",-0.629591229
"101",0.79037903
"102",-0.694384322
"103",-0.739031237
"104",-0.680259977
"105",0.750314422
"106",0.71661953
"107",0.727096137
"108",0.9164541
"109",0.735742008
"110",0.661195059
"111",0.752629665
"112",0.648788425
"113",0.613421976
"114",0.649968791
"115",0.523232752
"116",0.629148212
"117",0.800471214
"118",0.700718698
"119",0.843345743
"120",0.899239625
"121",0.887367164
"122",0.572864869
"123",0.623008842
"124",0.917551132
"125",0.652595269
"126",0.660535465
"127",0.351582693
"128",0.723574577
"129",0.656559243
"130",0.33731691
"131",0.8470776
"132",0.310794048
"133",0.881588405
"134",0.810341641
"135",0.666672756
"136",0.859952554
"137",0.745926054
"138",0.675743948
"139",0.698887047
"140",0.811433593
"141",-0.780113406
"142",0.632431829
"143",0.889818407
"144",0.625509156
"145",0.880167232
"146",0.764491186
"147",0.671905302
"148",0.684671754
"149",0.708697713
"150",0.826690624
"151",0.860731651
"152",-0.762793241
"153",0.87640161
"154",0.654210189
"155",0.658878935
"156",0.912081807
"157",0.534789556
"158",0.882735298
"159",0.818795082
"160",0.882050954
"161",0.564302783
"162",0.583112062
"163",0.93888004
"164",0.746126948
"165",0.755131463
