"","x"
"1",0.724441944
"2",0.754558011
"3",0.700097672
"4",0.799517565
"5",0.870055837
"6",0.556311293
"7",0.798407849
"8",0.542714651
"9",0.687084713
"10",0.706015257
"11",0.82557651
"12",0.809395418
"13",0.803889414
"14",0.859788803
"15",0.613814148
"16",0.554242378
"17",0.876304475
"18",0.811522387
"19",0.670547653
"20",0.803879414
"21",0.666895989
"22",0.588212576
"23",0.787595346
"24",0.684648845
"25",0.580299945
"26",0.705565345
"27",0.672349348
"28",0.642694339
"29",0.753075335
"30",0.667875596
"31",0.690426006
"32",0.914418134
"33",0.782451687
"34",0.782117078
"35",0.574998406
"36",0.903616174
"37",0.548089605
"38",-0.546528844
"39",0.722615213
"40",0.81653063
"41",0.866577205
"42",0.857004609
"43",0.526169205
"44",0.871868839
"45",0.857701914
"46",0.759697691
"47",0.918325142
"48",0.873403087
"49",0.899043446
"50",0.672768457
"51",0.69798235
"52",0.693613137
"53",0.609299292
"54",0.612041009
"55",0.833889293
"56",-0.421548719
"57",0.713459385
"58",-0.711306106
"59",-0.572605171
"60",0.396077162
"61",-0.382457677
"62",0.463572689
"63",0.487076921
"64",0.439169782
"65",-0.515491689
"66",-0.561326604
"67",-0.445743374
"68",-0.576286134
"69",-0.660629737
"70",0.737909557
"71",0.58639938
"72",-0.485728409
"73",0.881988076
"74",-0.60064926
"75",0.46264912
"76",-0.541124773
"77",0.836572561
"78",-0.469063223
"79",0.743454871
"80",0.821280781
"81",-0.609635592
"82",-0.393384516
"83",0.661101614
"84",0.692766578
"85",0.488461752
"86",-0.429779525
"87",-0.640276836
"88",0.419290141
"89",0.599586702
"90",-0.423405813
"91",-0.420211695
"92",0.559600181
"93",-0.387596902
"94",-0.451305434
"95",-0.334328971
"96",0.70597016
"97",-0.481258937
"98",0.668075081
"99",0.370736904
"100",0.496213431
"101",0.425884008
"102",0.665941198
"103",0.446703567
"104",-0.571271602
"105",0.42550736
"106",0.653730945
"107",0.692146031
"108",0.5005438
"109",0.607271731
"110",0.892053931
"111",0.527716026
"112",0.74170631
"113",0.556039558
"114",0.694945117
"115",0.378150802
"116",-0.345588445
"117",0.617211885
"118",0.639875051
"119",0.886642489
"120",0.655018731
"121",-0.454700063
"122",0.743326443
"123",0.631921453
"124",0.888208007
"125",0.362698912
"126",0.83505449
"127",0.803904967
"128",0.548996183
"129",0.617819227
"130",0.663195979
"131",-0.579155181
"132",0.724597644
"133",0.748782797
"134",0.42414343
"135",0.521632864
"136",-0.407334632
"137",0.616688353
"138",0.819808988
"139",0.516498007
"140",0.852102889
"141",0.557390097
"142",0.67954507
"143",0.683539933
"144",0.684939969
"145",0.837618471
"146",0.546272833
"147",0.538601283
"148",-0.468751222
"149",-0.352068195
"150",-0.525218307
"151",0.746462286
"152",0.529812485
"153",0.578373019
"154",-0.320837116
"155",0.569414244
"156",-0.44123062
"157",0.326231559
"158",-0.612254225
"159",0.740700565
"160",0.703259484
"161",0.790561419
"162",0.388741783
"163",0.474602923
"164",0.45720212
"165",0.637541587
"166",0.656182323
"167",0.656516448
"168",0.515995821
"169",0.569648864
"170",0.57450494
"171",0.836738367
"172",0.739034471
"173",0.753671144
"174",-0.522167422
"175",0.888213365
"176",0.761446757
"177",0.31341335
"178",-0.597575395
"179",0.558255375
"180",0.6441276
"181",0.867176974
"182",0.623895175
"183",0.376598164
"184",0.670615092
"185",0.856073089
"186",0.742624467
"187",0.903828976
"188",0.629889976
"189",-0.453228156
"190",0.729865588
"191",-0.515585423
"192",0.792727689
"193",0.692212105
"194",0.68242143
"195",0.917149912
"196",0.689766897
"197",0.441570351
"198",0.697809695
"199",0.774060351
"200",0.852572189
"201",0.714717405
"202",0.580178361
"203",0.884401126
"204",0.546207809
"205",0.684839018
"206",-0.480113054
"207",0.389699459
"208",0.680428849
"209",-0.504361185
"210",0.90537187
"211",0.688864596
"212",0.394480254
"213",0.906907716
"214",-0.474010287
"215",0.434158349
"216",0.655885066
"217",0.837292256
"218",-0.543426696
"219",0.795482481
"220",-0.308807619
"221",0.855182966
"222",0.307429017
"223",0.531478086
"224",0.670813397
"225",0.5802697
"226",0.571940924
"227",0.862948615
"228",0.857342349
"229",0.633993271
"230",0.718584963
"231",-0.517806049
"232",0.78134771
"233",0.605663348
"234",0.729661526
"235",0.586907233
"236",0.812733643
"237",0.528489604
"238",0.83604222
"239",0.572506423
"240",-0.550057577
"241",0.768983905
"242",0.754408823
"243",0.6522582
"244",0.782805671
"245",0.563612176
"246",0.653831716
"247",0.760578266
"248",0.797501087
"249",0.565513905
"250",0.647453594
"251",0.572899793
"252",0.644301786
"253",0.607916679
"254",0.821700856
"255",0.646403275
"256",0.736118783
"257",0.900752175
"258",0.797117651
"259",0.742781227
"260",0.804217439
"261",0.675261693
"262",0.644634705
"263",0.888004037
"264",0.698509727
"265",0.408645525
"266",0.532717054
"267",0.872951565
"268",0.685066414
"269",0.54898973
"270",0.462579479
"271",0.774623776
"272",0.874990631
"273",0.85000104
"274",0.614683935
"275",0.64380643
"276",0.603336966
"277",0.723538173
"278",0.854804179
"279",0.633243693
"280",0.858221932
"281",0.68339881
"282",0.586614691
"283",0.627292721
"284",0.728261077
"285",0.643905182
"286",0.600061331
"287",0.553304134
"288",0.714768606
"289",0.624477105
"290",0.750668149
"291",0.850209197
"292",0.629290287
"293",0.803652638
"294",-0.572325685
"295",0.835162555
"296",0.635927796
"297",0.785272039
"298",0.82893207
"299",0.53844659
"300",0.561086292
"301",0.520318714
"302",0.760033333
"303",0.527444055
"304",0.769298316
"305",0.567245584
"306",0.796524567
"307",0.824970114
"308",0.539889644
"309",0.811326178
"310",0.649345309
"311",0.922367124
"312",0.593281191
"313",0.671526574
"314",0.823471418
"315",0.731621257
"316",0.846732889
"317",0.653419548
"318",0.655322688
"319",0.720903205
"320",0.651585284
"321",0.631223775
"322",0.513840976
"323",0.74879018
"324",0.613191036
"325",0.687140618
"326",0.528283632
"327",0.731703724
"328",0.790175249
"329",0.580984351
"330",0.463196354
"331",0.829504482
"332",0.738151756
"333",0.729665645
"334",0.621100713
"335",0.527837994
"336",0.537300302
"337",0.650903147
"338",0.72422677
"339",0.692979968
"340",0.730376829
"341",0.811035752
"342",0.858026859
"343",0.610670603
"344",0.784101236
"345",0.601811921
"346",0.790955385
"347",0.705943662
"348",0.748243875
"349",0.844047067
"350",0.758639655
"351",0.855761134
"352",0.727704797
"353",0.537546133
"354",0.579231338
"355",0.508305189
"356",0.55678234
"357",0.679833558
"358",0.455412711
"359",0.853911568
"360",0.839241745
"361",0.786854197
"362",0.624519269
"363",0.518699299
"364",0.521555295
"365",0.540664679
"366",0.768951306
"367",0.800517262
"368",0.714819565
"369",0.507924674
"370",0.751799563
"371",0.494467117
"372",0.547909376
"373",0.909356108
"374",0.552233099
