x,
1,1
2,1
3,1
4,1
5,1
6,1
7,3
8,1
9,1
10,1
11,1
12,1
13,1
14,2
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,2
23,1
24,1
25,5
26,1
27,1
28,1
29,2
30,2
31,1
32,2
33,2
34,1
35,1
36,3
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,2
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,3
55,2
56,5
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,2
68,2
69,1
70,1
71,2
72,1
73,1
74,5
75,1
76,1
77,5
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,4
87,5
88,1
89,2
90,1
91,2
92,1
93,2
94,2
95,1
96,5
97,2
98,1
99,1
100,2
101,3
102,2
103,1
104,2
105,5
106,2
107,2
108,1
109,1
110,2
111,3
112,4
113,1
114,2
115,3
116,2
117,5
118,1
119,1
120,5
121,1
122,2
123,1
124,1
125,2
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,5
134,1
135,1
136,2
137,4
138,1
139,1
140,2
141,1
142,1
143,5
144,1
145,1
146,5
147,2
148,1
149,1
150,1
151,2
152,1
153,2
154,1
155,4
156,1
157,1
158,1
159,3
160,6
161,4
162,2
163,4
164,6
165,5
166,1
167,6
168,1
169,1
170,1
171,4
172,1
173,3
174,2
175,2
176,2
177,3
178,2
179,6
180,4
181,3
182,5
183,2
184,5
185,2
186,1
187,1
188,1
189,2
190,2
191,1
192,1
193,1
194,1
195,4
196,1
197,1
198,2
199,2
200,2
201,5
202,4
203,3
204,5
205,1
206,4
207,3
208,2
209,3
210,2
211,4
212,3
213,4
214,2
215,5
216,1
217,2
218,4
219,1
220,3
221,1
222,2
223,5
224,2
225,2
226,2
227,3
228,1
229,1
230,4
231,6
232,2
233,1
234,4
235,2
236,1
237,2
238,2
239,4
240,4
241,1
242,1
243,6
244,4
245,6
246,1
247,3
248,1
249,6
250,5
251,1
252,2
253,1
254,1
255,4
256,6
257,6
258,1
259,1
260,4
261,1
262,2
263,4
264,2
265,4
266,6
267,6
268,5
269,4
270,6
271,2
272,4
273,5
274,6
275,1
276,2
277,2
278,4
279,3
280,4
281,6
282,4
283,3
284,6
285,1
286,1
287,6
288,4
289,2
290,6
291,4
292,4
293,4
294,2
295,1
296,2
297,4
298,1
299,4
300,1
301,2
302,2
303,4
304,5
305,4
306,6
307,1
308,1
309,1
310,4
311,4
312,6
313,2
314,3
315,1
316,5
317,6
318,4
319,4
320,4
321,2
322,6
323,4
324,1
325,1
326,2
327,4
328,6
329,6
330,2
331,4
332,1
333,4
334,4
335,6
336,6
337,6
338,6
339,2
340,6
341,4
342,1
343,2
344,5
345,1
346,6
347,5
348,4
349,5
350,1
351,6
352,4
353,1
354,6
355,4
356,1
357,6
358,4
359,5
360,4
361,4
362,6
363,4
364,6
365,4
366,5
367,6
368,3
369,6
370,2
371,2
372,1
373,2
374,4
375,1
376,4
377,1
378,6
379,4
380,4
381,4
382,4
383,4
384,6
385,4
386,4
387,6
388,6
389,4
390,6
391,6
392,4
393,1
394,4
395,4
396,5
397,4
398,6
399,2
400,4
401,4
402,4
403,6
404,6
405,1
406,4
407,5
408,6
409,6
410,4
411,4
412,6
413,2
414,4
415,5
416,1
417,2
418,4
419,6
420,6
421,3
422,4
423,6
424,4
425,1
426,1
427,6
428,6
429,4
430,6
431,2
432,4
433,6
434,6
435,1
436,5
437,5
438,1
439,6
440,4
441,1
442,4
443,2
444,4
445,4
446,1
447,4
448,4
449,4
450,4
451,1
452,6
453,6
454,4
455,4
456,2
457,1
458,4
459,1
460,4
461,4
462,4
463,4
464,3
465,4
466,2
467,1
468,4
469,4
470,3
471,4
472,4
473,6
474,1
475,4
476,3
477,4
478,6
479,6
480,6
481,4
482,4
483,4
484,4
485,6
486,4
487,6
488,6
489,1
490,4
491,4
492,6
493,4
494,6
495,4
496,1
497,3
498,4
499,4
500,4
501,4
502,4
503,4
504,4
505,1
506,4
507,5
508,6
509,4
510,6
511,4
512,4
513,3
514,4
515,4
516,6
517,6
518,4
519,6
520,2
521,6
522,1
523,4
524,3
525,1
526,6
527,4
528,4
529,4
530,4
531,4
532,4
533,6
534,4
535,4
536,4
537,6
538,1
539,4
540,4
541,2
542,4
543,1
544,4
545,4
546,4
547,4
548,1
549,4
550,4
551,6
552,4
553,1
554,4
555,4
556,6
557,6
558,6
559,1
560,2
561,4
562,4
563,6
564,6
565,6
566,4
567,2
568,4
569,6
570,3
571,4
572,4
573,6
574,4
575,4
576,6
577,6
578,4
579,5
580,4
581,6
582,6
583,4
584,4
585,4
586,4
587,4
588,3
589,4
590,4
591,6
592,4
593,1
594,4
595,4
596,4
597,4
598,3
599,4
600,3
601,4
602,4
