x,
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,1
12,2
13,5
14,5
15,5
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,1
27,5
28,5
29,1
30,1
31,5
32,4
33,1
34,5
35,5
36,1
37,4
38,2
39,5
40,5
41,5
42,2
43,4
44,1
45,5
46,5
47,5
48,5
49,5
50,5
51,5
52,2
53,5
54,5
55,1
56,1
57,5
58,1
59,5
60,5
61,2
62,4
63,5
64,5
65,5
66,2
67,1
68,5
69,5
70,5
71,1
72,5
73,4
74,1
75,3
76,5
77,1
78,5
79,1
80,4
81,2
82,5
83,5
84,2
85,5
86,5
87,2
88,5
89,5
90,3
91,1
92,5
93,5
94,1
95,4
96,1
97,1
98,4
99,4
100,1
101,2
102,5
103,3
104,1
105,1
106,5
107,5
108,5
109,5
110,1
111,5
112,4
113,4
114,1
115,5
116,5
117,5
118,5
119,5
120,5
121,5
122,1
123,2
124,5
125,1
126,5
127,5
128,5
129,5
130,5
131,5
132,1
133,5
134,1
135,5
136,1
137,4
138,5
139,4
140,1
141,5
142,1
143,5
144,4
145,5
146,5
147,5
148,5
149,5
150,5
151,1
152,4
153,1
154,5
155,4
156,3
157,5
158,2
159,2
160,5
161,5
162,1
163,4
164,1
165,1
166,2
167,5
168,3
169,5
170,5
171,4
172,5
173,2
174,1
175,1
176,1
177,4
178,5
179,1
180,4
181,3
182,5
183,1
184,1
185,5
186,4
187,5
188,4
189,5
190,2
191,5
192,4
193,4
194,5
195,4
196,2
197,2
198,1
199,5
200,5
201,5
202,4
203,5
204,5
205,2
206,4
207,5
208,5
209,5
210,1
211,4
212,4
213,4
214,1
215,1
216,4
217,1
218,5
219,5
220,3
221,3
222,5
223,1
224,5
225,5
226,1
227,5
228,3
229,5
230,5
231,5
232,5
233,5
234,4
235,5
236,5
237,1
238,5
239,4
240,4
241,5
242,5
243,1
244,3
245,5
246,4
247,5
248,4
249,4
250,5
251,4
252,1
253,5
254,4
255,4
256,2
257,5
258,2
259,3
260,4
261,3
262,2
263,5
264,1
265,3
266,5
267,5
268,1
269,3
270,2
271,5
272,4
273,1
274,5
275,5
276,5
277,5
278,5
279,5
280,4
281,5
282,5
283,1
284,1
285,5
286,3
287,4
288,4
289,1
290,5
291,4
292,4
293,3
294,5
295,5
296,4
297,4
298,5
299,4
300,3
301,4
302,1
303,5
304,5
305,5
306,4
307,5
308,5
309,5
310,4
311,4
312,3
313,2
314,5
315,4
316,1
317,4
318,4
319,4
320,4
321,1
322,5
323,4
324,5
325,3
326,2
327,4
328,5
329,2
330,5
331,4
332,5
333,4
334,4
335,3
336,5
337,1
338,4
339,5
340,5
341,4
342,5
343,5
344,1
345,3
346,5
347,1
348,4
349,2
350,1
351,3
352,5
353,5
354,5
355,4
356,1
357,5
358,4
359,5
360,3
361,4
362,1
363,3
364,5
365,3
366,1
367,4
368,5
369,5
370,5
371,5
372,5
373,5
374,4
375,5
376,4
377,4
378,5
379,4
380,4
381,4
382,4
383,4
384,4
385,4
386,5
387,4
388,5
389,4
390,2
391,3
392,5
393,4
394,4
395,4
396,5
397,4
398,5
399,4
400,4
401,3
402,4
403,5
404,4
405,1
406,4
407,5
408,5
409,5
410,4
411,4
412,1
413,1
414,4
415,5
416,3
417,1
418,4
419,5
420,5
421,3
422,3
423,5
424,4
425,4
426,5
427,5
428,5
429,5
430,3
431,1
432,4
433,5
434,4
435,5
436,5
437,1
438,2
439,5
440,4
441,2
442,5
443,5
444,4
445,5
446,3
447,5
448,3
449,4
450,4
451,4
452,4
453,2
454,4
455,4
456,5
457,5
458,4
459,1
460,4
461,4
462,4
463,4
464,1
465,3
466,1
467,4
468,4
469,4
470,1
471,4
472,4
473,5
474,4
475,5
476,5
477,4
478,4
479,4
480,5
481,3
482,5
483,4
484,4
485,5
486,4
487,2
488,1
489,2
490,4
491,3
492,5
493,3
494,5
495,4
496,5
497,1
498,4
499,5
500,5
501,4
502,4
503,4
504,4
505,2
506,4
507,1
508,4
509,3
510,5
511,4
512,4
513,1
514,4
515,4
516,5
517,5
518,4
519,5
520,1
521,5
522,3
523,3
524,1
525,2
526,5
527,4
528,4
529,4
530,4
531,3
532,4
533,5
534,4
535,4
536,5
537,5
538,2
539,4
540,5
541,1
542,4
543,5
544,4
545,4
546,4
547,4
548,4
549,4
550,4
551,5
552,4
553,2
554,4
555,4
556,5
557,5
558,5
559,5
560,5
561,4
562,4
563,5
564,5
565,5
566,4
567,4
568,4
569,5
570,4
571,3
572,4
573,5
574,4
575,4
576,4
577,5
578,4
579,1
580,4
581,5
582,5
583,4
584,4
585,4
586,4
587,4
588,2
589,5
590,4
591,1
592,5
593,4
594,4
595,3
596,4
597,4
598,1
599,3
600,5
601,5
602,4
603,1
604,3
605,5
606,5
607,5
608,4
609,4
610,4
611,4
612,4
613,4
614,4
615,3
616,1
617,4
618,2
619,1
620,4
621,5
622,4
623,5
624,5
625,3
626,4
627,5
628,5
629,4
630,4
631,3
632,1
633,4
634,4
635,1
636,4
637,1
638,4
639,4
640,4
641,3
642,3
643,4
