x,
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,7
34,1
35,1
36,1
37,6
38,1
39,7
40,1
41,1
42,1
43,1
44,1
45,1
46,2
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,2
63,1
64,2
65,1
66,1
67,1
68,1
69,2
70,2
71,7
72,1
73,1
74,1
75,6
76,2
77,7
78,6
79,1
80,2
81,2
82,1
83,6
84,6
85,7
86,2
87,1
88,1
89,1
90,2
91,7
92,1
93,7
94,1
95,1
96,1
97,7
98,2
99,1
100,1
101,7
102,2
103,6
104,1
105,1
106,1
107,7
108,1
109,1
110,7
111,1
112,2
113,2
114,7
115,1
116,7
117,1
118,1
119,1
120,1
121,7
122,7
123,6
124,1
125,7
126,6
127,6
128,6
129,6
130,6
131,2
132,7
133,7
134,1
135,6
136,7
137,2
138,1
139,3
140,7
141,6
142,1
143,6
144,6
145,6
146,7
147,7
148,3
149,7
150,6
151,7
152,6
153,6
154,6
155,2
156,3
157,7
158,6
159,7
160,5
161,3
162,7
163,3
164,5
165,7
166,6
167,5
168,3
169,6
170,6
171,2
172,2
173,6
174,2
175,7
176,7
177,2
178,6
179,5
180,2
181,6
182,7
183,7
184,7
185,7
186,3
187,6
188,6
189,2
190,7
191,6
192,2
193,2
194,6
195,4
196,6
197,6
198,7
199,7
200,7
201,6
202,5
203,6
204,7
205,6
206,4
207,6
208,7
209,7
210,6
211,5
212,2
213,3
214,7
215,7
216,2
217,7
218,4
219,2
220,3
221,6
222,6
223,7
224,3
225,2
226,7
227,2
228,3
229,6
230,2
231,5
232,2
233,6
234,4
235,2
236,2
237,7
238,7
239,4
240,2
241,3
242,2
243,5
244,4
245,5
246,3
247,2
248,6
249,5
250,6
251,6
252,7
253,6
254,3
255,5
256,5
257,5
258,6
259,3
260,4
261,3
262,7
263,5
264,7
265,3
266,5
267,5
268,6
269,4
270,5
271,7
272,4
273,6
274,5
275,6
276,6
277,7
278,2
279,6
280,4
281,5
282,3
283,6
284,5
285,2
286,3
287,5
288,4
289,7
290,5
291,5
292,5
293,4
294,7
295,6
296,6
297,4
298,6
299,3
300,3
301,2
302,7
303,4
304,6
305,5
306,5
307,6
308,3
309,2
310,4
311,4
312,5
313,6
314,6
315,3
316,6
317,4
318,4
319,4
320,4
321,7
322,5
323,4
324,6
325,3
326,2
327,4
328,5
329,5
330,2
331,3
332,6
333,4
334,4
335,5
336,5
337,5
338,5
339,7
340,5
341,8
342,6
343,6
344,6
345,3
346,5
347,6
348,8
349,6
350,6
351,5
352,5
353,6
354,5
355,4
356,6
357,5
358,5
359,6
360,4
361,4
362,5
363,4
364,4
365,5
366,6
367,5
368,8
369,5
370,3
371,2
372,2
373,3
374,4
375,6
376,4
377,3
378,5
379,4
380,4
381,2
382,4
383,4
384,8
385,3
386,2
387,4
388,5
389,4
390,5
391,5
392,4
393,2
394,5
395,4
396,6
397,2
398,5
399,2
400,3
401,4
402,5
403,5
404,5
405,6
406,5
407,3
408,5
409,5
410,4
411,2
412,5
413,7
414,4
415,8
416,3
417,7
418,4
419,5
420,5
421,6
422,8
423,5
424,8
425,2
426,6
427,5
428,5
429,4
430,5
431,7
432,4
433,5
434,5
435,3
436,5
437,6
438,6
439,5
440,4
441,3
442,3
443,7
444,4
445,4
446,3
447,4
448,8
449,4
450,4
451,2
452,5
453,5
454,4
455,4
456,3
457,6
458,4
459,3
460,8
461,3
462,4
463,4
464,2
465,2
466,6
467,6
468,4
469,4
470,8
471,4
472,4
473,5
474,2
475,4
476,6
477,4
478,5
479,8
480,5
481,4
482,4
483,4
484,4
485,5
486,2
487,5
488,5
489,3
490,3
491,4
492,5
493,4
494,5
495,4
496,6
497,7
498,4
499,5
500,8
501,4
502,4
503,4
504,4
505,3
506,4
507,5
508,5
509,4
510,5
511,4
512,8
513,6
514,4
515,4
516,5
517,8
518,5
519,8
520,6
521,5
522,6
523,4
524,6
525,3
526,5
527,4
528,4
529,4
530,4
531,4
532,4
533,5
534,4
535,4
536,4
537,5
538,6
539,2
540,4
541,6
542,4
543,3
544,4
545,4
546,4
547,4
548,3
549,4
550,4
551,5
552,4
553,3
554,4
555,4
556,8
557,5
558,4
559,3
560,6
561,4
562,4
563,5
564,5
565,5
566,4
567,2
568,4
569,5
570,3
571,4
572,4
573,5
574,4
575,3
576,5
577,8
578,4
579,6
580,4
581,5
582,5
583,4
584,4
585,4
586,4
587,4
588,3
589,4
590,4
591,5
592,4
593,2
594,4
595,4
596,4
597,4
598,6
599,4
600,3
601,5
602,4
