gene,index,AD.043T2.A7.1,AD.111T2.A8.1,AD.114T1.A9.1..,AD.115T1.A12.1..,AD.118t1.A13.1,AD.119t3.A195.8,AD.120t1.A226.8..,AD.122t3.A197.8,AD.123T1.A25.1..,AD.127T1.A14.1,AD.130T1.A1.1,AD.131T1.A15.A200.1.,AD.136t2.A201.8,AD.157T1.A246.10..,AD.158t1.A247.10..,AD.159t1.A229.8,AD.162t2.A230.8,AD.163t1.A203.8..,AD.164t1a.A206.8..,AD.167t1..d.dup..A210.8..,AD.169t2.A211.8..,AD.170t1.A251.10...,AD.172t2.A213.8..,AD.173T1a.A23.1,AD.177T1.A21.1,AD.178T2.A22.1..,AD.179t1.d.dup..A214.8..,AD.183t1.A215.8..,AD.185t2.A232.8,AD.186T1.A27.1,AD.187T1.A11.1..,AD.188t1.A216.8,AD.201t1.A138.4,AD.202t2.A139.4,AD.203t1.A140.4..,AD.207t1.A142.4,AD.208t1.A143.4,AD.210t1.A144.4,AD.212t1.A145.4,AD.213t1.A146.4,AD.218t1.A147.4,AD.221t1.A148.4,AD.224t1.A149.4,AD.225t1.A150.4,AD.226t2.A151.4,AD.228t2.A152.4..,AD.230t1.A153.4,AD.232t1.A154.4,AD.234t1.dup..A155.4,AD.236t1.A156.4,AD.238t2x.A157.4,AD.239t1.A158.4,AD.240t1.A159.4,AD.241t1x.A160.4,AD.243t1x.A161.4..,AD.247t1.A164.4,AD.249t1x..d..A165.4,AD.250t1.A166.4,AD.252t1.A167.4,AD.253t1.A168.4,AD.255t1a.A169.4...,AD.258t1a.A170.4....,AD.259t1.A171.4,AD.260t1a.A172.4..,AD.261t1b.A173.4,AD.262t1a.A259.10..,AD.266t1.A90.3,AD.267t1.A91.3,AD.268t1.dup.b4..A93.3...,AD.269t1.A94.3,AD.275t1.A95.3,AD.276t1.dup.b4..A96.3..,AD.277t1.A97.3,AD.283t1.A99.3,AD.285t2c.A263.10,AD.287t1.A101.3,AD.294t1.dup.b4..A104.3..,AD.295t1.A105.3,AD.296t21.A106.03..,AD.299t1.A235.8..,AD.301t1.A237.8..,AD.302t3.A238.8..,AD.304t1.A240.8,AD.305t1.A415.7,AD.308t1.A241.8,AD.309t1.A242.8,AD.311t1.A266.10..,AD.313t1.A268.10,AD.314t1.A269.10,AD.315t1.A270.10,AD.317t1.A271.10,AD.318t3.A107.3,AD.320t1.A272.10,AD.323t1.A273.10,AD.327t1.A276.10..,AD.330t2.A279.10,AD.331t1.A219.8,AD.332t1.A220.8,AD.334t1..d.dup..A221.8..,AD.335t1.A222.8..,AD.336t1.A223.8,AD.337t1.A224.8,AD.338t1a.A121.3..,AD.340t1a.A122.3..,AD.341t1a.A123.3..,AD.346t1a.A124.3..,AD.347t1a.A125.3..,AD.350t1a.A126.3..,AD.351t1.A127.3,AD.352t1.A128.3,AD.353t1.A129.3,AD.355t2.A174.4,AD.356t1.A175.4,AD.360t1.A176.A406,AD.361t1.A177.4,AD.362t1.A282.10,AD.363t1.A283.10,AD.366t1.A109.3,AD.367t1.A110.3,AD.368t2.A285.10,AD.370t1x.A112.3,AD.374t1.A114.3,AD.375t1.A115.3..,AD.379t1.A116.3..,AD.382t1.A117.3..,AD.383t1.A118.3..,AD.384t1.A120.3..,AD.AD10T1.A389.7,AD.AD15T1.A390.7,AD.AD16T2.A391.7,AD.AD18T1.A392.7,AD.AD19T1.A393.7,AD.AD1T1.A383.7,AD.AD2T1.A384.7,AD.AD31.A289.10,AD.AD3T1.A385.7,AD.AD4T1.A386.7,AD.AD5T1.A387.7,AD.AD7T1.A388.7,NL.1179.A408.7,NL.1675.A409.7,NL.1698.A410.7,NL.1884.A411.7,NL.2378.A412.7,NL.2562.A413.7,NL.268n1.A92.3,NL.279n1.A98.3,NL.3104.A331.6,NL.3681.A332.6,NL.4083.A333.6,NL.4353.A334.6,NL.504.A407..7,NL.6084.A335.6,NL.6853.A336.6,NL.6943.A337.6,NL.7530.A338.6,SQ.1174.A317.5,SQ.1670.A318.5,SQ.2557.A320.5,SQ.2572.A321.5,SQ.2921.A322.5,SQ.3197.A323.5,SQ.3529.A324.5,SQ.3624.A325.5,SQ.4172.A326.5,SQ.4389.A327.5,SQ.5897.A328.5,SQ.6147.A329.5,SQ.7324.A416.7,SQ.SQ10t1.A362.6,SQ.SQ13t1.A364.6,SQ.SQ14t1.A365.6,SQ.SQ20t1.A366.6,SQ.SQ4t1.A358.6,SQ.SQ5t1.A359.6,SQ.SQ6t1.A360.6,SQ.SQ8t1.A361.6,COID.1429.A303.5,COID.2260.A304.5,COID.3580.A302.5,COID.4385.A301.5,COID.4518.A305.5,COID.9794.A300.5,COID.COID10t1.A347.6,COID.COID11t1.A348.6,COID.COID12t1.A349.6,COID.COID13t1.A350.6,COID.COID14t1.A351.6,COID.COID16t1.A352.6,COID.COID18t1.A353.6,COID.COID3t1.A340.6,COID.COID4t1.A341.6,COID.COID5t1.A342.6,COID.COID6t1.A343.6,COID.COID7t1.A344.6,COID.COID8t1.A345.6,COID.COID9t1.A346.6
TGFBR2,1,0,-0.166697873,0,0.034025697,0,0,-0.267052556,0.374274858,0,0,0.275505838,-0.005858858,0.34141812,-0.029876221,0,-0.002459195,0,-0.435475446,0.719901613,-0.199058442,1.585875097,0,0,0,0,0.257877117,0,-0.15364136,-0.253185726,1.523827242,0.70379168,0.156941329,0,0.003605051,-0.209191446,0.026753767,-0.092345104,-0.011526103,0.574721625,-0.067832494,-0.039423579,-0.229452585,0,0.199930209,0,-0.010779201,0,0.270277118,0.243158006,0.155175523,0.514301745,0.275466009,-0.001108998,0.040683961,-0.384021843,0.155777706,0.001737963,-0.081457481,0.08021709,0,0,0.009872606,0.301661329,-0.616409402,0.18191739,0,0,0,0.044561411,-0.117095581,-0.271723886,0.31290678,0,0.394768699,0,0,-0.008678016,-0.185889314,0.149859019,0.153801165,0.194310137,-0.304316736,0.161058133,0.217752553,0,0.818831608,-0.004705641,0.220203846,-0.09990073,0.04119866,0,-0.113994434,0.026970536,-0.106577612,-0.382155901,-0.182432178,0.180392895,0.459299091,0.158474739,0.00114849,0.013102794,0,0,-0.215709928,0,0,0,0.145690773,0,-0.020677583,0.135556549,0.42763648,0,0.348309176,0.024535441,-0.473352248,0.211753653,0.077965286,0,0,0.45896821,-0.016501609,0.014678465,-0.17204304,-0.136028882,-0.235366871,0.318687326,-0.02689412,-0.136785258,0.188295057,-0.129254511,0.493002095,-0.220006909,-0.171603788,-0.397651858,0,-0.2164271,0.313363438,0.461053002,0.210541803,-0.433378439,1.246831216,0,0,0.582856976,-0.237420686,0.120269254,0,0.676481677,-0.025832964,0.192812413,0.56397661,1.486739585,0.222861738,0.077904544,0.414675795,-0.121140007,0,-0.213899583,-0.110174124,0,-0.049396296,0,0,0,0.333255777,-0.035015911,-0.152030485,-0.07755486,0,-0.083795037,0,-0.27397401,0.224785001,-0.249074228,0,-0.00626418,0.100240485,0,0,0,0.565992963,0,-0.292975096,-0.027327459,-0.181981369,-0.055607651,0.645680791,-0.232729264,-0.096211196,0,0,-0.135459109,0,1.337417912,0,-0.120571478
AHNAK,1,0,-0.145886288,0,0.109559174,0.415519477,0,-0.296221502,0.166059771,-0.248058426,-0.165526738,0.713634284,0.319046733,-0.371964838,0.095226451,0,-0.276381744,1.097933349,1.425795061,0.447678679,-0.091774584,0.628071289,0.129697125,0.065215054,0,0.285353615,0.309296227,-0.017420232,-0.369580757,0,-0.141922117,-0.236096565,-0.284746291,-0.416080985,0,0,-0.227053479,0.087632661,-0.168793172,0,-0.078636765,0.000536838,0.271344554,-0.057181195,-0.129904811,0.228963578,0.501590691,0.155729812,-0.093518915,0,-0.006063227,-0.182728096,-0.01663811,-0.199809844,0.143790096,0.348287306,-0.428702665,-0.020517337,0.345563657,-0.031302069,-0.201086956,0,0.029002198,0,0.028733067,-0.076164176,0.054995874,0.124647892,-0.039368812,0,0,-0.328104485,0,0.969346309,0,-0.065260301,0,0.028076744,-0.045061684,0.381678956,-0.174056754,0.158067418,0.430177067,0,0,0,0,0,-0.156997195,-0.002529387,0.2136057,-0.228853718,-0.00032388,-0.018305031,-0.384014938,-0.180960424,-0.090295701,0.322166496,0.164467051,-0.074687031,-0.10890243,-0.31966244,0.345417953,-0.019438361,-0.004788591,0.813202231,-0.183546362,0.18141385,-0.01245109,0.025797581,0,0.035507997,0.317915093,-0.307057317,1.001761203,-0.550916861,0.115744872,0,0,0,0.233781211,0.028140051,0,-0.164729468,-0.078367832,0,0.26350439,-0.055718386,-0.250734641,-0.365424332,-0.084358793,-0.116851768,-0.130025421,0,-0.113529294,0,-0.046724147,0.066321446,0,-0.022998604,0.262413767,-0.183685839,1.598089995,0,0.34201254,1.451804072,-0.313035598,-0.359776883,0.403382208,0.26722458,0.06840689,0.880080542,-0.422793551,0.70006819,0.129358151,0.555283379,-0.386957762,0.189921248,0,0.595191179,0.361954517,0.034345249,0,0.34403988,-0.404576784,0.211819373,0.323370853,-0.427976987,0.466918616,0.347003028,0.356282949,0.426904014,0.367749652,1.23421255,0.260944126,-0.024358332,-0.499727572,0,-0.131064936,-0.096545269,0,-0.489693749,0.367738211,-0.234529347,-0.240233642,0.035737953,-0.172502938,0,0.308858232,-0.512661067,0.086160687,-0.301725372,-0.151156961,0,0.497988714,-0.379649774,0,0
ALOX5AP,1,-0.579622054,0.27260298,0.485417218,0.110768326,0.054421965,1.036870825,0.260878622,0,0.019205201,-0.296843967,-0.15933352,0,0.400272202,1.462244044,-0.012147173,0.14981598,-0.191923577,0.011555483,-0.182586447,0,0.087690491,0.009500049,0.023985464,0.021315449,-0.256603073,-0.312303945,-0.124030366,0.148806621,0,0,-0.016276899,-0.001233292,-0.289211741,-0.076627721,-0.185583683,0.05138803,0,0,0.225584161,-0.13989429,0,0.097224035,0.184291731,-0.14188205,0.271733944,0,-0.178736438,-0.20288827,-0.185580937,0.268803232,0.128803746,-0.087975262,0.072736284,0.544187785,0.290831579,0.142567638,0.019301334,-0.168854315,0.085868663,-0.155686891,-0.006728378,-0.4500532,-0.892505704,1.069747211,0,-0.170204139,0.189787982,-0.014148448,0.265760994,0.525004399,0.032384487,0,-0.189402891,0,-0.055587901,-0.369871693,0.242159015,0.100336388,0,-0.332814914,0.015646161,0,0.018980882,-0.447378862,0,-0.137487294,-0.348036215,-0.088893891,-0.469970018,0.079904627,-0.101483137,-0.172606021,0.004139898,1.46260771,-0.027925178,-0.262474982,-0.204338928,0,0.128640582,0,-0.142448075,0.637105777,0.142073692,-0.131850253,0,0.451430311,0,-0.291108603,0.163399417,0,-0.092150509,1.141620616,0.545674681,-0.450325923,-0.084555499,0.211873617,0.526177796,-0.135148521,-0.105185569,-0.040640098,-0.425873,0.07148761,0,-0.025174362,0.016902793,-0.199940485,0,-0.074724038,0.619668303,0.075590228,-0.624946571,-0.240665759,-0.317831709,0,1.284355905,0.367285706,1.230226278,0.002419089,-0.341395319,0.479164999,0.935063039,0.471898901,1.915428742,0,-0.625399382,0,0.155525009,1.754560181,1.084126229,1.080559461,0.213812931,0,0.898220777,-0.484068927,0,3.91854695,-0.294002897,0,-0.101749469,0,0,0.224689503,-0.220146747,0,-0.086471094,0,-0.305721777,-0.081466586,-0.142404445,0,0,0.085553249,-0.043097282,0,0,0.021305443,-0.172334144,-0.087890268,0,0,-0.166828986,0,-0.43683239,-0.006260016,-0.036202935,-0.393342904,0,-0.306118372,-0.152040914,0.005121172,-0.00015771,-0.235035721,0.070484811,0,0.06682371,0.005719448,0
HLA-E,1,0.013738227,0.048451676,-0.325440885,-0.079127923,0,0.011489871,0,0.016478393,-0.116120434,0,-0.385731639,0,0,0,-0.194010288,-0.042337322,1.004304556,0,0,-0.198941117,0.028044623,0,-0.121162563,0.332730846,0,-0.10823455,-0.096544981,-0.092779531,0.130570411,-0.055961422,-0.456917001,-0.239484452,0,-0.31264944,0,0.386330374,0,-0.190403551,0.12314418,0.385075802,0.682417375,-0.358059798,0,0,0.2587013,0,-0.125952914,-0.330470316,0.106157825,-0.215507668,0.073468977,-0.014104821,0.226857047,0.015244367,0.269204771,0.049258483,0,-0.024191663,-0.024177437,0.680018263,0.349256246,0,-0.255592429,-0.176534917,0.089602421,0.096752278,0,0.202804025,0,1.120584773,-0.255859843,0,-0.073149102,0.184731833,0.552806,1.117000527,-0.142085168,-0.220654502,0,0.015344246,0,1.072827737,-0.111616794,0.280114882,0.160654423,0.090608462,0,-0.19666717,-0.20603557,-0.159035204,-0.079421326,-0.241431476,0,-0.498731512,-0.018647968,-0.056499287,0.376008603,0,0,0.349586476,1.219469206,0,0.289751073,0.133731514,0.433210666,-0.188760655,0.485789963,0,-0.189438521,0,0.153145069,-0.361509853,-0.140772877,-0.173038194,-0.40012118,0,0.691529656,-0.057495646,0.169159507,-0.124993393,-0.324147879,0,-0.202270827,0,0,0.861928656,0.533122119,0,-0.209784615,0,0.526878917,0.677768618,0.317393329,-0.103708202,0.528394073,0,-0.173724621,0.308722434,-0.335233688,-0.0551458,-0.540394165,1.456976041,-0.380578559,0.580621005,1.258123758,0,0.701073118,1.696707787,0.273119157,0,0.034910031,-0.594265081,0.532347414,2.814375776,2.099580136,-0.194724832,0,0,-0.257441241,0,-0.070566763,0,0,0,0.638928805,-0.000558691,0.117232063,0,0.006531014,0.452864842,0.148376855,-0.05525227,0,-0.046728548,0.027028749,0,0,0,-0.004326078,0.062744219,-0.121831972,-0.081934687,0,-0.05160376,0.174791074,-0.039056579,0,-0.040718602,0,-0.091664824,-0.086862799,0,-0.265640276,0,0,-0.119238714,-0.194864974
VSIG4,1,0.20295413,-0.08129597,-0.193489228,0.147736518,1.107105804,-0.5135909,0,0,0.689923722,0,0.192306365,-0.32926403,0.682289903,0.451813663,0.038799219,0.168509164,0.027869455,0,0,-0.275694106,0.14531092,0.360526753,0.548301228,-0.07502947,0.483462748,-0.667277377,0,-0.175449952,0.499973667,-0.156556547,0.062612752,0.11093555,-0.54942928,-0.030798786,0.15330975,-0.186332012,0,0.295263331,0.24249148,-0.170935487,0,0,0,-0.017269885,0.401697759,-0.075750033,0.122163592,0,-0.303569091,-0.037392452,-0.139011896,0.046025354,0.05638083,-0.06729505,-0.418966943,-0.492827558,0,-0.079750991,0.641781449,0.71337458,-0.007415706,-0.030096033,-0.408062276,-0.023435359,0.102140818,0,-0.549296368,0,-0.183130889,0,0,0.139385074,-0.189665335,0,0.212736839,0.187561222,0.125854696,-0.503882581,0.056543814,0,-0.039212477,-0.592855913,0.892603495,-0.484083159,-1.086830938,-0.039217731,0.503525123,0.394506517,-0.326090385,0.055634551,0,0.476923632,0,0.960213695,-0.386946567,0.202073159,0,-0.206570774,0.075436255,0,0.152689008,0.227625107,0,0.150493824,-0.26842344,-0.400097513,0.163936245,-0.045702509,0,0,-0.011807822,0.316843612,0.398356452,0.639429295,0.048731816,-0.113727056,0,0,0.18459909,-0.466098993,0.03684871,0.064135708,-0.275107838,-0.332477479,-0.270397533,-0.490853164,-0.179852997,0,0.39385289,-0.604889957,0,-0.220264192,-0.169703997,0,0,-0.135272021,1.702773385,0,0.361870918,1.749600718,1.471870245,0.259685717,-0.055298076,0.676668059,-0.453045643,0.150300765,0.349889725,1.040259297,1.736125738,1.152876469,0,0.975925754,2.251531304,0,0.171224393,2.053384306,0,0,0.01292445,-0.219756272,0.012594601,-0.196680912,-0.074516425,-0.035987426,-0.465870149,0.155556691,0.869640887,0,0.087591769,0,-0.590625369,0.135453988,-0.129200747,-0.501030793,-0.011352203,0,-0.007898134,-0.137492287,0.32079088,0.380695517,0,-0.382088986,0,0,-0.465072524,-0.561073576,0.007487082,-0.453118284,-0.113161413,0,-0.497229895,-0.646964073,-0.305786761,-0.263094056,0.170131041,0.072651716,0.014304821
STOM,1,-0.300802378,0.277989312,0,0,0.265509875,-0.561568925,0.677057016,-0.07735507,0.352095791,0.390530568,0.459067526,0,0.337811282,-0.401806818,0,0,0.404734595,1.530911951,-0.112882455,0.160814237,0.373998435,0.878517841,0,-0.017035913,-0.480334026,0.227821279,-0.152118625,-0.443633547,-0.024575353,0.91449807,-0.165324645,0.104110907,0.488627699,0,0.637904365,-0.505657226,-0.264216132,0.177453053,-0.366525005,1.000161724,0.523686173,-0.407141494,-0.130416924,0,-0.056845391,0,-0.146710172,0.193465548,0,-0.384934154,-0.166255172,0.471214828,0.863452566,-0.471704997,0.037370966,0,-0.029202871,0.189811094,0.015429248,0.435206724,0,-0.017323543,0,-0.208130239,0.555163434,-0.57796915,-0.117466128,0.430833276,0,-0.133346717,-0.412152561,0.334885867,0,0,-0.231117918,-0.119623852,-0.380338449,0.059550398,0.173425987,0.072943043,-0.055904324,1.425211932,-0.004059715,0.842277102,-0.339762362,1.340572738,0,-0.338499321,0.145246712,0.174185705,-0.567395575,0.185841435,-0.329332196,0.510550966,1.237778961,0.262620156,-0.201796687,-0.261947265,0.281099013,-0.334579571,0.56157969,-0.234316587,0.763702118,0.143601045,0.392737307,-0.160314122,0.363620264,-0.063577063,-0.132702523,0,-0.276498,0.167117109,-0.812861024,0,0.400168745,-0.04047314,-0.231456322,0.633045568,-0.068659131,0.459041748,0,0,-0.006216789,0.447607915,0,-0.478859828,0,0.272396668,-0.400563951,-0.499040409,0.426182425,-0.369240447,-0.161245307,0.519842744,-0.102221558,-0.268382474,0.10664509,0,-0.094607866,0.483806292,0.256149735,0.069258375,0.22204647,0,0,0,0.047309546,0.147979427,0.015029756,0.204072059,0.14108399,0.309496164,0,0,-1.154404457,0.112276367,-0.077539363,-0.12120132,-0.008270259,-0.648253386,0,-0.198738004,0,-0.125892027,0.28289618,0,0,0,0.229611285,0,0.435549506,0.682806206,1.361359679,0,-0.091144268,0.11571479,0.752615656,0,0.207316739,-0.091725794,-0.347413857,-0.046657955,0.176765678,0,0.210627923,0.387159438,-0.389562155,0,0,0,-0.055390034,-0.105234934,0,0.602742876,-0.207224576,0.22247008,0
MRC1,1,-0.273388966,-0.15926648,-0.316248645,0.299009519,0.114762787,1.034292677,0,0.231283724,-0.128901662,0.06188181,-0.441938866,-0.020968778,-0.197423104,1.053271006,0.130481353,0,-0.371073321,0,0.300697576,-0.121389871,0.115407108,0,0.15872495,0,-0.046216145,0.069044018,0,-0.066880967,0,0,0,0,-0.406979958,-0.361449219,-0.044340642,0,-0.119225229,0.160411954,0.283233826,-0.195811433,0,0.219317676,0,0.166789277,0.472772548,0.154450312,0,0,0,-0.196142913,0,-0.178141542,0,0.108156665,-0.386904353,-0.502661043,0,-0.061700614,0.104651639,-0.170703902,0.208043552,0.018722466,0,0.261860157,0.346339281,-0.618055512,0.154596768,-0.204341837,0.08374248,0,-0.000141915,-0.313415078,-0.041710911,-0.068259164,0,0,0.504738362,0.006913253,0.578584231,0,0,0,0.387497653,-0.306195802,0.183096758,-0.061465051,-0.257307089,-0.344507158,0,0,-0.219952855,-0.196470202,0,2.006469893,-0.01660221,0,0,0.269029423,-0.334116113,0,-0.486244621,2.012835533,0.050409536,-0.234539487,0,0.787674109,0,-0.309588045,0.008382359,0.478165914,0,0.28825354,1.097309352,0,0,-0.160144606,0,0,0.036992535,0.12835864,-0.469691618,-0.219386052,-0.237520095,0,-0.005610007,-0.30716979,-0.139874743,0,0.003041933,-0.261614478,0.279651869,0.327269403,0,0.085704913,-0.718103536,-0.1151647,0.302377842,0,0.354686195,0.48454025,0.876473843,-0.200371786,2.504904764,0.298526676,-0.872091764,1.92903771,-0.017967899,0.055314002,0,0.611257077,0.974105813,1.04227415,0.81211273,-0.513145971,-0.155891693,1.971146805,-0.164061075,0.058032474,-0.170850555,-0.182505534,0,-0.087489296,0,0,-0.738211413,-0.001221198,-0.217811372,0,0.36648359,0.03101139,-0.129139391,0.354961904,-0.216437198,-0.024487226,0.962110138,0,-0.15232576,0.024488826,0,0,0,-0.077821158,-0.075476659,0.052749196,0.019313887,-0.168420787,-0.013616421,0,0,-0.171275183,0,-0.030546797,0,0,0,-0.120323154,-0.048445116
CD52,1,0,0.046740615,0.223170682,-0.020933905,0,0.871487067,-0.062818471,-0.305054279,-0.240309311,-0.146786717,-0.012111189,0,0.091476013,0,-0.189870961,0,0,0.128500916,-0.196259475,0,0,0,-0.174245928,-0.28170905,-0.172855958,-0.081880526,0,0,0,0,-0.045591035,-0.007473149,0,-0.039008977,0,0,-0.117694959,0.230125049,0.010297458,0,0,0.246347249,-0.063691319,-0.21305945,-0.004078558,0,0.496222609,-0.142909887,-0.092312827,0,0,0.026083804,-0.088315662,-0.039208433,1.285821492,0.106121834,0,0.035378298,0.072256638,-0.189414707,-0.110291344,0.247015894,-0.118858428,0.153800851,0,4.254924807,-0.023068576,0,0.146450122,1.028066265,-0.052143478,-0.169704741,0.247751411,0,0.290201462,0,0.016149856,0,-0.229917065,-0.143298908,0,-0.129836429,0,0.253214667,0.021346298,0,0.546630386,-0.10273324,-0.039602039,0,0,0,0.181681439,-0.096138666,0,0.360005645,-0.069754992,0.088495615,-0.05055088,0,-0.006812344,0,-0.267201351,-0.081256586,0,0.078601636,0,0.06778369,0.251743033,0.169178718,-0.044474637,0,-0.24293507,-0.301329967,0.106842782,0.035598358,0.286776424,-0.107106491,0,0.238272211,-0.163613545,-0.061371336,-0.019552218,0.032588963,0.090082949,0,0,0,-0.120548092,0.335560357,0,0.079128002,0,0.023245382,0,-0.039626188,3.595776061,-0.102272948,-0.092337001,0.368227017,0.770310605,1.332002548,0.556036723,-0.349411354,-0.537867322,-0.124359578,0.383928931,-0.039609681,0.883352295,0,0,0.122676213,1.091111235,-0.394365723,0.601050297,2.825321779,0,0,0,0,-0.243664856,0.316424428,0.468738519,0.050090643,0.124242569,-0.103063847,-0.033671877,-0.063024549,0,-0.043719788,0,-0.295353888,-0.300233076,-0.175235766,0.396393959,-0.078416795,0,-0.042830958,0.151595236,0,0,-0.265823906,0.065942349,0,-0.320964301,-0.388376281,-0.078556563,0.054873585,-0.028818868,0.023482879,-0.189926093,-0.037620874,-0.085725496,-0.192426414,0.043574039,-0.052934269,0.107243253
PMP22,1,0.298770427,0.140853091,0.444657312,0.161621799,0.31175104,-0.186621952,0,0.542296557,0.122465081,0.481807523,-0.37981492,0.19083387,0.016102457,-0.097845461,0.694040412,-0.369169126,0,1.137706851,0,0,0,-0.241519789,0.126824748,-0.166961818,0,0,0.029801387,0,3.34695139,0.945872983,0.244260864,-0.205884547,0,0,-0.329237533,-0.009186683,-0.121238835,0.17915772,-0.187931387,0,-0.097362786,0.224511722,-0.316852724,-0.047498577,0.189818139,0,0,0,0,-0.02382077,-0.171655543,-0.450082185,0,0.236402467,0.349404659,-0.222294631,-0.126520453,0.059924995,0,-0.41011667,0,-0.205168102,0.834437731,0.641732446,-0.107318048,-0.069238556,-0.095908222,0.38687222,1.237733001,-0.074844714,0,-0.29293988,0.093687664,-0.306671724,0.320665077,0.016739488,0.008085163,-0.335931809,0.33571345,-0.075011648,0.230600945,0.144575969,0.231978055,-0.391553601,-0.381526422,-0.215050328,0.821808799,0,-0.100419589,-0.449583596,-0.165597847,0.100789014,-0.033596303,1.124284642,-0.250592006,-0.081043599,-0.372389792,0,0.059757411,0.367793291,-0.050570131,-0.305535163,-0.033809204,0,0,-0.103115601,0.551331205,0,0,0.637460918,-0.118551753,-0.141193768,0.470224275,0,0,0,0.162048791,0,0.212577053,-0.333720674,1.308079267,-0.374036982,0.826082933,-0.160725007,0.129391195,0.120695811,0,-0.316571765,0,-0.19200434,0.246654845,0.011585601,1.166916176,-0.111823105,-0.793054872,0.060435247,0,-0.133302016,0.110892205,0.325328093,-0.378864255,-0.582522935,-0.011108937,0.673487922,0,0.959349176,1.659094342,-0.93998617,0.064623624,0.465194174,1.705059487,1.009710723,0.524408876,-0.175599503,0.587802248,0.280272856,-0.420021671,0.236727851,0.19327797,0,0.095300818,0,-0.026356361,0,-0.056974819,-0.187517832,-0.168057571,-0.161244702,0.018052303,-0.020944263,-0.22839052,-0.005144492,-0.24310575,0.146119537,-0.155149769,0,0.215227049,-0.11338506,-0.570470685,0.243968987,0.44598086,0,0,-0.023113111,0.229345368,0.054719665,0.438497057,-0.041512885,-0.189005398,-0.121111023,-0.076336009,-0.215082111,0.009024958,-0.340860956,-0.127412946,0.559221761,0
LAMP3,1,-0.02300189,0,0,-0.271172609,0.19586568,-0.065872459,0.058183026,-0.010069989,-0.080792143,1.779434234,-0.020390635,-0.19278731,0,0,0.25955652,-0.098020811,0.483862084,0,-0.026953976,-0.136072713,-0.137395576,0.254092577,0,1.057277422,0,0,0,-0.215617414,0,-0.091510916,0.135873077,-0.273976585,-0.00356973,0.02740362,0,0,0.031243481,-0.040704516,0.021393049,-0.067152615,0,0,-0.089709654,0.332437956,-0.164666915,-0.1012144,0.128383315,0.370582084,0,-0.117903942,-0.123975513,-0.030813029,0.029418677,-0.194711749,-0.180938198,-0.03770826,-0.030548477,0.100777034,0,0,0.331087295,0.258074174,0,-0.277960897,-0.474146152,-0.310379479,-0.000714174,3.021805725,0.084187987,0,0.141815519,-0.072690472,0,-0.170195516,0,-0.169558343,-0.120708724,-0.218578353,0.197340307,0.137058737,0,0,0,0,0,0,-0.058634554,0,0,0.633314979,1.236600192,0.515481794,-0.042298528,0.371791049,0,0,-0.129576637,-0.138234974,-0.08869245,0,1.479891915,-0.094509252,-0.22126843,0,0,2.085344302,0.02351441,-0.001974901,0.094834418,-0.084467703,-0.055783213,-0.09575206,-0.042642939,-0.229479241,-0.00559427,-0.070449493,1.089762095,0,0.193098918,-0.078601329,-0.265462043,0,0.080693344,0,0.451718392,0,0.073308025,0,-0.458381258,-0.045657971,0.332160557,1.305077373,0.026464124,0,2.903022374,-0.267082494,1.470157166,0,0.3762473,0,-0.439648116,0,-0.34116762,0.264790616,0.074385987,-0.199959186,-0.306317174,0.416571303,1.385569343,1.340203641,1.974878805,0.101795052,0.516376687,0,-0.309641517,2.081667165,0.92862743,0,0,0,0.122141189,0.407554884,-0.323315192,0,-0.050779098,0.066228497,-0.395498446,-0.047277859,-0.051769395,0,0,0,0,1.593439919,0.041466566,-0.0863896,0.104913281,-0.018244084,0,0,0,-0.003574831,0,0.04289197,-0.355674082,-0.079372161,0.010194067,0,0,-0.133504953,0,0.012407694,-0.042892724,-0.141566594,-0.004826235,-0.136030841,-0.065499295
