V1,index,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198
AGER,6,-0.382677887,-0.357079255,-0.310044074,-0.41375314,-0.241852185,-0.403594671,-0.416733875,-0.440909457,-0.412789633,-0.205590718,-0.403257286,-0.363107205,-0.194339517,-0.406996514,0.118115289,-0.190666641,-0.241677747,-0.295100486,-0.304677493,-0.214549156,-0.310618686,-0.328421597,-0.362397704,-0.152900406,-0.410682081,-0.07455485,-0.16098831,-0.416242238,-0.423640369,-0.401557425,-0.396915967,-0.400870378,-0.421159206,-0.148561245,-0.085122027,-0.312446558,-0.175725143,-0.314440848,-0.076722947,-0.342350653,-0.065567174,-0.270447335,-0.295569292,0.14408719,-0.188672179,-0.160620735,-0.032338216,-0.130634882,-0.263916799,-0.488151209,-0.404724247,-0.266441477,-0.121969374,-0.27685244,-0.313149692,-0.251039959,-0.427546014,-0.270273911,-0.43458696,-0.365718387,-0.161368856,-0.247332005,-0.376660038,-0.109763811,-0.211887243,-0.185626919,-0.253579982,-0.054684264,-0.432520192,-0.28575762,-0.415411192,-0.404719383,-0.396139312,-0.356724965,-0.23156701,-0.423074478,-0.353984857,-0.445850074,-0.221808473,-0.365256107,-0.343944514,-0.411912104,-0.394078119,-0.241828377,-0.287927147,0.021965121,-0.315095319,-0.258236515,-0.094867695,0.004405545,-0.030760518,-0.031607189,-0.295272208,-0.128314606,-0.149152218,-0.28994081,-0.207146401,-0.360390945,-0.460200132,-0.49005164,-0.387070975,-0.406385428,-0.263861968,0.003389699,-0.431140965,0.000850948,-0.091932108,0.101611702,-0.244712486,-0.371853244,-0.275870127,-0.261560721,0.257788273,-0.373050381,-0.130196436,-0.361347955,1.848344696,-0.362040917,-0.39921758,-0.464219159,-0.158100618,-0.476269121,-0.415744159,-0.368420089,-0.309656263,-0.419731239,-0.37116712,-0.15903565,-0.372739274,-0.348507519,-0.028586518,0.234288578,0.154421165,-0.403549864,-0.40197701,-0.332470532,0.560019418,-0.344852524,0.154790837,2.228328985,1.266560157,1.672293081,1.450909883,1.357003171,2.429698371,0.314375382,1.697623342,2.254142684,2.333889112,1.967835782,2.322733637,1.124301893,2.034343031,2.014767867,2.017231813,1.17195702,-0.448337485,-0.45677645,-0.334224012,-0.427827509,-0.408784101,-0.277804536,-0.312667955,-0.381268043,-0.394291861,-0.383774277,-0.452966881,-0.437218909,-0.484928983,-0.212883264,-0.426874431,-0.280465874,-0.465060726,-0.340723261,-0.456307767,-0.465304305,-0.435490087,-0.363725181,-0.212073746,-0.362032237,-0.348906064,-0.272111344,-0.23821141,-0.383649619,-0.116519945,-0.129420722,-0.34201472,-0.279333573,-0.380359985,-0.416797805,-0.300619609,-0.421447005,-0.237646727,-0.292452893,-0.354377165,-0.20814317,-0.350544981
CAV1,6,-0.435751261,-0.527244718,-0.19505537,-0.524037603,-0.318641323,-0.471013913,-0.502874397,-0.364996648,-0.307863695,0.058034029,-0.473019319,-0.475921846,-0.126658994,-0.332162145,-0.060213177,-0.290419345,0.000731766,-0.591063081,0.069634171,-0.326128017,-0.334943412,-0.388329538,-0.444986861,-0.213490368,-0.451744839,-0.101875964,-0.181901417,-0.519134965,-0.632150265,-0.447294073,-0.472221462,-0.587299746,-0.323376732,-0.216651747,-0.398530609,-0.478165533,-0.288549853,-0.421821334,-0.130937169,-0.532650348,-0.371625158,-0.445702735,-0.468340563,0.085028983,-0.386209548,-0.266735317,-0.173623841,-0.210567446,-0.242436645,-0.439838491,-0.42832797,-0.44228837,-0.44633817,-0.399106298,-0.310534097,-0.282538916,-0.575083358,-0.111765199,-0.562479624,-0.254642318,-0.201255458,-0.371561291,0.113358979,0.019730357,0.185219535,-0.00311883,-0.069732429,-0.170640368,-0.555700484,-0.267377736,-0.404911082,-0.283652905,-0.483149542,-0.29967697,-0.417798567,-0.286479626,-0.183972263,-0.174294589,-0.116208957,-0.626332872,-0.624378779,-0.452416118,-0.004569168,-0.066198765,-0.281962234,-0.433812315,-0.165579194,-0.300431602,-0.320704918,-0.068649271,-0.020883373,-0.234323418,-0.618050855,0.041700919,0.067161237,-0.493489301,-0.29990561,-0.250932473,-0.630026076,-0.542699109,-0.430685199,-0.286852549,-0.444421097,-0.102794344,-0.416279753,0.112851769,-0.280433021,-0.027167934,-0.525107023,-0.460168778,-0.555030074,-0.291064282,0.343769891,-0.213467881,0.011840128,-0.642914,2.178334431,-0.542369848,-0.552578147,-0.624714782,0.2967783,-0.748062059,-0.352371401,-0.454619972,-0.53202147,-0.422978418,-0.602044454,-0.192780033,-0.341574983,-0.189822266,-0.076039442,0.536191793,0.334164267,-0.624341948,-0.32566336,-0.330983246,0.831323565,-0.625500285,0.023504964,2.719019594,1.893013706,1.985363236,2.197284429,1.975422487,2.986867729,0.678033584,2.064081407,2.59459548,2.680482474,2.37417734,2.821787808,1.297500706,2.379185456,2.318918277,2.481268614,1.334338391,-0.455893707,-0.102488395,-0.113818953,-0.274274488,-0.335475879,0.17280199,-0.231739872,-0.425358023,0.009259541,-0.354745725,-0.460195831,-0.422073371,-0.372976245,-0.510679375,-0.347431452,-0.075189926,-0.273132631,-0.071983744,-0.206258842,-0.673220964,-0.368073113,-0.478160794,-0.40073072,-0.373510876,-0.571655645,-0.443541009,-0.319228095,-0.651117925,-0.137437247,-0.327092714,-0.571459008,-0.586995953,-0.535007422,-0.581920281,-0.625890622,-0.683106936,-0.490468494,-0.139347157,-0.581370798,-0.490910438,-0.610947265
EMP2,6,-0.455428286,-0.33061564,-0.424205071,-0.327706089,-0.296281436,-0.321994921,-0.567323212,-0.367734395,-0.706678749,-0.236075471,0.187836203,-0.49459491,-0.286739148,-0.503278081,0.069536073,-0.046837598,0.265128621,-0.221244197,-0.47088755,0.046742188,-0.303126663,-0.125382009,-0.131034893,0.254906355,-0.599507728,0.264139313,-0.015551497,-0.275737268,-0.2935103,-0.450589735,-0.196876367,0.034728198,-0.444623505,-0.393475081,0.151897645,-0.250670663,-0.141117434,-0.375577914,-0.174157657,-0.174038477,-0.378549294,-0.570058276,-0.435398049,-0.206112076,-0.254958282,-0.124815412,-0.241720011,0.106193582,-0.592989784,-0.601606042,-0.172985002,-0.018253003,0.24841041,-0.533260637,0.068634039,-0.20217426,-0.298320356,-0.20849261,-0.171407464,-0.584728515,0.311255367,-0.325243988,-0.701547874,0.101236617,0.088627284,-0.054763048,-0.290732374,0.093233959,-0.21493221,-0.298904439,-0.374694761,-0.004679377,-0.594694369,-0.428428019,-0.560426697,-0.674850865,-0.357405618,-0.338985027,-0.195635141,-0.300398682,-0.473488787,-0.037724283,-0.491533591,-0.035581825,0.015916542,0.543070485,-0.491225112,-0.288873758,-0.454503421,0.016567663,-0.023013109,0.179054123,-0.47188364,-0.614362799,0.028366965,-0.374694574,0.073753469,-0.006524264,-0.398169947,-0.578148988,-0.297959486,-0.254572892,-0.065123271,-0.171902689,-0.390436944,-0.134414667,0.412624675,0.217862465,-0.033995045,-0.559915774,-0.036254513,0.009151703,0.700349472,-0.544491432,0.05651927,0.083191748,1.955362316,-0.136446688,-0.477467973,-0.681036796,-0.298624129,-0.52423846,-0.431762292,-0.277260569,-0.365395855,-0.488021634,-0.624366694,0.274409862,-0.496522694,-0.323054725,0.039428905,0.515977801,0.122838975,-0.31795182,-0.351200285,-0.394676698,0.388785828,-0.310656467,-0.03881865,2.263437958,1.195093538,1.721433715,1.307296078,1.528087377,2.711198224,0.144860467,1.538025343,2.238841239,2.45008352,2.188578762,2.648135519,1.034197662,2.132549526,2.221295323,2.219217875,1.093568026,-0.492334892,-0.47668552,-0.432258139,-0.26794258,-0.320636115,-0.275894485,-0.563456276,-0.357460581,-0.34330627,-0.127008883,-0.427793992,-0.303711756,-0.57766606,-0.252713049,-0.481554219,-0.340056242,-0.157504618,-0.417468778,-0.381273417,-0.662423029,-0.412115051,-0.703512498,-0.4840441,-0.644109327,-0.707845285,-0.392188211,-0.372739103,-0.744764219,-0.416453536,-0.16798557,-0.505386677,-0.462704717,-0.672010286,-0.792650104,-0.80731855,-0.942673948,-0.548657722,-0.638349019,-0.438336074,-0.202458049,-0.866322542
RAMP2,6,-0.394663913,-0.149783217,0.043705579,-0.19188993,-0.242231508,-0.14155219,-0.559611645,-0.593719093,-0.375292153,0.078398232,-0.509373022,-0.35283697,-0.518913923,-0.033539681,0.405702744,-0.280601814,-0.555293906,-0.100121894,-0.3163966,-0.180719101,-0.69822887,-0.629006645,-0.296933616,-0.164866006,-0.394791807,-0.052818688,0.273870025,-0.403414768,-0.227382318,-0.36121433,-0.639110419,-0.411539074,-0.326068869,-0.0699904,-0.204758682,-0.641299184,-0.150267244,-0.08480254,-0.136318807,-0.518780397,-0.350837535,-0.090903953,-0.400932568,0.203817132,-0.119562575,-0.287063548,-0.281715776,-0.145638852,-0.440905774,-0.65034618,-0.60907169,-0.204550255,-0.342560582,-0.27576814,-0.238850344,-0.353505422,-0.35670293,-0.221134999,-0.558236948,-0.414519565,-0.388128523,-0.516141593,-0.373866725,-0.560238326,-0.525573746,-0.107120129,0.274929937,-0.110113131,-0.543479832,-0.044776262,-0.583328309,-0.50730064,-0.210399112,-0.026722294,0.133825473,-0.599746855,-0.177518638,-0.081572778,-0.202150157,-0.646688579,-0.412441244,-0.588777505,-0.584210807,-0.052615465,-0.509471707,-0.189521921,0.106270942,-0.139498358,-0.165712749,0.242621321,0.037510997,0.073594391,-0.609195088,0.04239333,0.233606045,-0.436407253,-0.16733105,-0.411564355,-0.645591031,-0.647672086,-0.441348077,-0.670989504,0.055695006,0.507452848,-0.350395585,0.266698275,-0.099845157,0.188829584,0.073131159,-0.273744013,-0.019298974,-0.556146476,-0.057271385,-0.249575131,-0.156037849,-0.569035795,1.780418017,-0.427936651,-0.036497152,-0.440127811,0.743546117,-0.74500496,-0.154914419,-0.076179669,-0.186009766,-0.390518346,-0.188427463,-0.051308376,-0.438771028,-0.189407632,-0.366178655,0.367243547,0.287944954,-0.612196045,0.072404537,-0.361737222,0.313823032,-0.264490627,-0.197246472,2.001620825,1.443347671,1.817351546,1.806807928,1.421989569,2.561380434,0.817554273,1.777001385,2.125776094,2.143433172,1.864511716,2.23484238,1.116326689,1.685080935,2.169298299,2.252008612,1.089150285,-0.428410691,-0.621023074,-0.545226153,-0.581754238,-0.425077734,-0.076797744,-0.468584042,-0.387475165,-0.389826699,-0.462505813,-0.562318073,-0.358384095,-0.609928009,-0.370621246,-0.602005447,-0.326199758,-0.570414708,-0.259828125,-0.469915013,-0.676868836,-0.715672382,0.15818002,-0.184717781,0.103252546,-0.268086045,0.255687035,-0.314603864,-0.395444786,0.623459393,-0.025275385,-0.446271587,0.031655756,-0.232130589,-0.297191689,-0.047580723,-0.457950775,-0.059618345,0.446772943,-0.057074194,-0.040726817,-0.34090824
CLDN5,6,-0.380831949,-0.309307458,-0.101474501,-0.261400921,-0.113567514,-0.387646321,-0.008272572,-0.489351045,-0.435241288,0.185794367,-0.51546194,-0.634833443,-0.257678963,-0.613772432,0.138367052,-0.258515846,-0.221963932,-0.327119933,-0.42428279,-0.223797616,-0.194992161,-0.445713996,-0.392986685,0.019769095,-0.187323145,-0.057292396,0.284878055,-0.386548167,-0.390764257,-0.5713645,-0.517159562,-0.240950693,-0.461002959,0.033296677,-0.070576615,-0.160541619,0.008801238,-0.118557084,-0.181761078,-0.341720698,-0.10453528,-0.436216312,-0.283134499,0.066493517,-0.040953589,-0.201533176,-0.262579291,0.158091363,-0.134587271,-0.520279181,-0.288550666,-0.098715269,0.172337414,-0.46025123,0.004469567,-0.169052208,-0.184618694,-0.145716774,-0.333414544,-0.202370115,-0.246961564,-0.282367978,-0.251604456,-0.614822013,-0.118583585,-0.088191761,-0.076987449,-0.287673738,-0.5606975,0.026594987,-0.709182655,-0.31348992,-0.292519569,-0.189136228,-0.166381808,-0.646177351,-0.219812842,-0.691963865,-0.124460205,-0.722487465,-0.165128556,-0.60689531,-0.480352589,0.008777651,-0.122624366,-0.092349873,-0.111718731,-0.287052809,-0.299473546,0.048007967,-0.17811533,0.202267973,-0.464575089,-0.223033012,0.008317523,-0.26260849,-0.433309491,-0.099164677,-0.444938126,-0.575127763,-0.440273077,-0.558366989,-0.093868833,0.239736914,-0.465459384,0.18094764,-0.030436666,-0.04029684,0.141489128,-0.413218203,-0.214298894,-0.650080528,0.134949049,-0.455880496,-0.321806625,-0.225570597,1.189260113,-0.246232907,-0.147760268,-0.266859153,0.02382321,-0.81281016,-0.379618332,-0.159835184,-0.330099642,-0.550625944,-0.432038179,-0.06861245,-0.402398305,-0.379542168,0.017554659,0.083016673,0.370837564,-0.451088548,-0.608775899,-0.25314243,-0.005410917,-0.329891863,-0.3753454,1.718863978,1.106410696,1.613933432,1.539919182,1.271004088,2.218940701,0.361481312,1.531528407,2.028569711,1.751344811,1.83444981,1.774083726,0.888814317,1.468132657,1.78232895,2.021951243,0.574464371,-0.528379832,-0.705522202,-0.39983201,-0.248814815,-0.482060284,-0.004513386,-0.360328067,-0.459872644,-0.635007216,-0.476943014,-0.46792418,-0.645102439,-0.679940221,-0.330809104,-0.436159533,-0.385290401,-0.6465045,-0.379849414,-0.51294711,-0.738659782,-0.62553509,-0.209246188,0.132314276,-0.270936158,-0.417821214,-0.034903805,0.170705821,-0.490333059,0.047547393,0.102108286,-0.171603456,-0.206124756,-0.168788484,-0.524436891,-0.295459161,-0.478959557,-0.060858799,-0.162794492,-0.346728918,0.149414093,-0.446450674
TGFBR2,6,-0.19501801,-0.340085121,-0.137477539,-0.519579574,-0.099458075,-0.15360894,-0.320526755,-0.028555723,-0.272900083,0.410176378,0.01458481,-0.937236449,0.021699882,-0.307916014,0.180470048,-0.298117149,-0.119539143,-0.478039757,-0.145842604,0.012135746,-0.242090575,-0.312534092,-0.313421092,-0.193094119,-0.409416987,0.046221878,0.013376018,-0.378593036,-0.754977007,-0.899022484,-0.285446246,-0.194788126,-0.276575658,0.225197261,-0.281527994,-0.123261488,-0.180995336,-0.150548311,0.29362221,-0.35094946,-0.491686318,-0.201313927,-0.378358028,0.338878932,0.179587446,-0.245284002,-0.429846743,0.270619135,-0.114258704,-0.507317746,-0.213515349,0.102359676,-0.062645866,-0.02617554,0.27276611,0.115383881,-0.429389738,0.206867901,-0.646760724,-0.217008711,0.214190673,-0.250395771,0.599103912,0.593368141,0.852156348,0.376039848,0.342216384,0.203575156,-0.526115054,0.26734648,-0.574121437,-0.281599137,-0.627396297,0.060691413,-0.177918889,-0.639154597,-0.018337008,-0.524734955,-0.212818725,-0.557080595,-0.876038669,-0.203627485,-0.168007218,0.124828232,0.128044397,-0.067593016,-0.115364947,-0.230059065,-0.234722508,0.426083295,0.185849708,-0.318771529,-0.674471719,0.384671205,-0.070459113,-0.421288105,-0.150581183,-0.049675984,-0.613230721,-0.617188816,-0.383566093,-0.356955215,0.038611033,0.128486271,-0.706849103,0.400230261,0.052339888,0.059970511,-0.494025135,-0.608588881,0.025542082,-0.114911189,0.950912035,-0.16033278,0.372291702,-0.393111439,2.00865921,-0.201198877,-0.642643172,-0.618351548,0.563747289,-0.939522552,-0.306746663,-0.562866096,-0.739875439,-0.580965946,-0.40483591,-0.385689436,-0.336646213,0.280008585,-0.100847006,0.760443516,0.61672775,-0.845955319,-0.256767412,-0.245908724,0.74663315,-0.371023303,0.118163462,2.757373151,1.904783029,2.22704851,2.090021374,2.256010522,3.00116405,0.802260235,2.077269343,2.58867411,2.713113344,2.297974438,2.802179628,1.212436263,2.487448056,2.284290981,2.505961098,1.331690271,-0.739129188,-0.976104033,-0.810176266,-1.101416885,-0.829255642,-0.214685869,-0.755932183,-1.039353669,-0.243436309,-0.589850343,-0.796645727,-0.933680208,-0.380024339,-1.107496805,-0.915170882,-0.772920513,-1.153465227,-0.465765835,-0.756027043,-1.496738366,-1.180121727,-0.70061079,-0.780592148,-0.631449266,-1.063696536,-0.382541698,-0.902903097,-0.893914825,-0.319172314,-0.971383755,-1.04461384,-0.413134775,-0.872999532,-0.866813636,-0.889008566,-1.058778413,-0.794341249,-0.367764416,-0.617475448,-0.71250944,-1.125552132
CDH5,6,-0.253732663,-0.405694899,-0.168754478,-0.190372587,-0.522724856,-0.356514633,-0.268413673,-0.274231329,-0.352422069,0.266195377,-0.434099989,-0.438815987,-0.204835441,-0.308991069,0.084512417,0.059505527,-0.205808649,-0.237214545,-0.491841819,-0.307144365,-0.660397233,-0.704031456,-0.258537889,0.203323626,-0.336710097,-0.093996503,0.318234113,-0.589315973,-0.410828067,-0.376046088,-0.666681757,-0.338246522,-0.461093584,0.399353513,-0.141581191,-0.409253014,-0.178682024,0.040367772,-0.342504045,-0.469977465,-0.226287341,-0.279991256,-0.224161147,0.334057479,0.127953717,-0.173237907,-0.279544108,-0.032276698,-0.173336665,-0.478373793,-0.522819995,-0.443952097,-0.103086779,-0.517027468,-0.095400262,-0.50333764,-0.33437251,0.028179131,-0.559692037,-0.204488617,-0.133803018,-0.53348701,0.134259001,-0.446523695,0.087674984,-0.271694579,0.252343498,-0.376383186,-0.464524296,0.037996021,-0.869716509,-0.6063751,-0.443169992,-0.327178276,-0.158691575,-0.768777999,-0.163096755,-0.485153842,-0.233487491,-0.706010155,-0.538390516,-0.821681006,-0.516852595,-0.158747676,-0.153846756,-0.061116847,0.423664733,-0.377742205,-0.062169913,0.565476689,-0.250159828,0.147431026,-0.539375688,0.063407504,-0.069812216,-0.448663892,-0.386797712,0.16554201,-0.452368165,-0.835900494,-0.447599408,-0.698101779,0.354205059,0.687185578,-0.6175463,0.403031576,-0.032510875,0.483763141,0.285382974,-0.382316105,-0.158273103,-0.615265814,0.272222773,-0.24228782,-0.137563215,-0.572852043,1.559682552,-0.53590617,-0.136734241,-0.665913698,0.205545948,-0.973227947,-0.342928318,-0.380784175,-0.121297225,-0.759768228,-0.447879292,-0.217986507,-0.211423915,-0.157519906,0.228912956,0.691984661,0.65538707,-0.808486498,-0.537369585,-0.00750122,0.114995328,-0.213585298,-0.155367362,2.178093627,1.32397793,1.999794817,1.795755431,1.353929452,2.719162025,0.756843324,1.904872913,2.47548577,2.018217144,2.080808049,1.802258853,0.806282688,1.688424569,1.926611107,2.036767539,0.993145265,-0.777210916,-0.942903158,-0.563555871,-0.831186978,-0.925923884,-0.266268448,-0.559013949,-0.587720714,-0.805059182,-0.506914634,-0.86361835,-0.770334153,-0.930950844,-0.289729705,-0.775723934,-0.536257435,-1.169327076,-0.34928077,-0.842295357,-1.069793023,-0.916360965,-0.210809032,0.38393684,-0.340154051,-0.497996288,0.345657712,0.337687354,-0.534886538,0.302508391,-0.466090417,-0.425048952,-0.065684073,-0.251699518,-0.457100345,-0.285920778,-0.593335918,0.236326031,0.159728464,-0.261412343,-0.073985192,-0.374626497
MARCO,6,-0.24397346,-0.23925983,-0.225958726,-0.236402494,0.400271406,-0.096284224,-0.740908999,-0.180273424,0.068035139,0.00670014,-0.558360793,-0.447268177,-0.042303853,0.300008093,0.141548345,-0.383236228,-0.631994271,-0.49360883,0.215208404,-0.397486821,-0.412215867,-0.407254858,-0.083535204,-0.364343704,-0.231098092,-0.478709487,-0.426854905,-0.563793052,-0.546630057,-0.646628059,-0.262754039,-0.414183012,-0.666988329,-0.29462049,-0.162180653,-0.568436668,-0.247044789,-0.041564159,0.472105327,-0.224567483,-0.397281707,0.209577815,-0.435285527,0.373829954,-0.080831488,-0.166414293,0.011123629,-0.039217238,-0.223714722,-0.485809173,-0.121125171,-0.512256358,-0.290286455,0.082838889,-0.140964247,-0.084577429,-0.728598982,-0.564704975,-0.51764137,-0.047334025,-0.402075399,-0.174710727,-0.000712586,0.674715415,-0.103205602,0.324129666,-0.008214007,0.609331831,-0.393221097,0.233761705,-0.490834375,-0.41652192,-0.226494549,-0.235595819,-0.002525556,-0.25535802,0.257066746,-0.58650392,-0.022081995,-0.36694383,-0.44680508,-0.89863819,-0.303792469,-0.488836575,-0.42008999,-0.194117047,-0.205294976,-0.255648966,-0.039941514,0.151766614,-0.12216222,0.165895996,-0.331151634,0.271237696,-0.401086753,-0.331257035,-0.566867711,-0.595932925,-0.508200146,-0.693459357,-0.493016045,0.212296982,0.094344606,0.158606326,-0.56656612,0.300851666,0.006849992,0.098214832,-0.324101965,0.025566028,-0.153848168,0.109729222,0.35868639,-0.045957541,-0.204769118,-0.926474509,1.500522107,-0.47332682,-0.555782635,-0.689348328,-0.291126613,-0.108780234,-0.623404865,-0.575768128,-0.219966069,-0.22216886,-0.177831887,-0.277851923,0.035319223,-0.292870205,-0.196072962,0.06704718,0.638183969,-0.514024764,-0.199663515,-0.470575006,1.103579617,-0.107851351,0.183844327,2.125006544,1.758513474,1.683743695,1.812451414,1.509474458,1.944510359,0.508456909,1.980811617,2.238011026,2.464735094,2.102536819,2.124176296,1.589626784,2.214813891,1.423336274,1.662930923,1.599078972,-0.476704268,-0.282238799,-0.663981837,-0.560415423,-0.182161715,-0.256243044,-0.40361136,-0.683017799,-0.176594813,-0.769955455,-0.271237522,-0.598378606,-0.142607867,-0.689893495,-0.758097492,-0.515698608,-0.711093431,-0.725311482,-0.121813111,-0.576831634,-0.698801257,-0.763189006,-0.308247718,-0.74734109,-0.476217502,-0.355753596,-0.289189783,-0.610669077,-0.732066063,-0.547453972,-0.823931324,-0.365764436,-0.58151821,-0.928958882,-0.865574894,-0.708129999,-0.304216543,-0.832214037,-0.594242923,-0.445794673,-0.872392831
FCN3,6,-0.349201964,-0.34191286,-0.145592273,-0.252126814,-0.062149453,-0.431908271,-0.268366856,-0.439604161,-0.318224985,-0.126358005,-0.377483064,-0.373499367,-0.178361697,-0.387485056,-0.034501304,-0.125968017,-0.214259566,-0.435541051,-0.16952065,-0.180395011,-0.279510766,-0.300149992,-0.385177559,-0.173282112,-0.349516123,-0.079548623,-0.158242185,-0.405801885,-0.411305102,-0.389606638,-0.384634205,-0.344664145,-0.352001652,-0.149442868,-0.182304318,-0.388776444,-0.15511795,-0.254378067,-0.166374513,-0.396887055,-0.150866265,-0.278682644,-0.241421559,0.0244446,-0.221127868,-0.07920515,-0.158796968,-0.013666429,-0.153923804,-0.372409978,-0.369641621,-0.334489449,-0.226091645,-0.267676316,-0.221039842,-0.166984346,-0.400584784,-0.206996776,-0.259004209,-0.339658009,-0.154335499,-0.106650535,-0.321626655,-0.184597321,-0.109652541,-0.130299098,-0.306021594,-0.140376817,-0.422588641,-0.098369944,-0.446757106,-0.418721066,-0.299869346,-0.264609033,-0.164724555,-0.389954708,-0.293228959,-0.386819283,-0.246581303,-0.303573018,-0.212952304,-0.49756921,-0.296458516,-0.132456062,-0.284902496,-0.172172745,-0.307903653,-0.320988886,-0.188878327,0.061628932,-0.208406706,0.07274059,-0.268816889,-0.243754955,-0.090710255,-0.329071413,-0.240819396,-0.182955357,-0.381625194,-0.439107646,-0.352002683,-0.322330164,-0.209753271,0.049903709,-0.414265843,-0.03589141,-0.209361795,0.058527041,-0.12162454,-0.275636919,-0.240791162,-0.320744328,0.184653734,-0.326780359,-0.0371706,-0.34206158,1.535169752,-0.311673254,-0.320042519,-0.42374449,-0.146379612,-0.476713327,-0.419387827,-0.414931201,-0.282179333,-0.37229313,-0.360715506,-0.137404299,-0.143165635,-0.233329726,-0.010075148,0.180493368,0.20298433,-0.370976427,-0.441171452,-0.339323312,0.424269012,-0.33832249,-0.087387794,1.690535514,1.087638241,1.44181522,1.370875398,1.114119391,1.89981929,0.335979449,1.268842831,1.922506812,1.818772541,1.595518172,1.766657913,0.78740609,1.552461734,1.663076444,1.80336016,0.732378173,-0.386295287,-0.426439207,-0.36008478,-0.27170676,-0.385510629,-0.194558429,-0.200605406,-0.376674257,-0.349135288,-0.340543916,-0.425091327,-0.433833865,-0.423115891,-0.267445721,-0.365123049,-0.189771196,-0.473932841,-0.28092645,-0.406248418,-0.432719253,-0.294361416,-0.319326537,-0.087044551,-0.32362619,-0.343952771,-0.221701061,-0.127190405,-0.367306598,-0.207874925,-0.173031955,-0.327180854,-0.279657179,-0.358020834,-0.379862289,-0.376192595,-0.353549505,-0.228071443,-0.304809818,-0.354266483,-0.159073201,-0.365924371
HYAL2,6,-0.250164448,-0.289582898,0.067838269,-0.04714928,0.310564263,-0.179365656,0.036281972,-0.117955733,-0.339669904,0.245902072,-0.2447406,-0.785622131,0.107125993,-0.411132749,0.443886222,-0.452351759,-0.218808561,-0.313490904,-0.354856433,0.093512147,0.157492265,0.017971848,-0.083054755,-0.272049064,-0.041009884,0.303226396,0.172094865,-0.057778378,-0.501657182,-0.787738638,-0.550098288,-0.41087249,0.16163845,0.312398289,0.308920122,-0.309217911,0.102244994,0.195612052,0.468279679,-0.170773671,0.361852396,-0.250130037,-0.125572241,0.422653055,0.03471507,-0.185952202,-0.219863577,-0.108502801,-0.070613954,-0.191029291,-0.341515199,0.210088189,0.417770045,-0.427721532,-0.223105087,-0.19846985,-0.289765432,-0.201729964,-0.435732188,-0.164224335,0.135839557,-0.156149863,0.002929072,-0.476097112,-0.014925138,-0.038242404,0.107576445,-0.157150572,-0.471569234,-0.281766716,-0.505098493,-0.402419509,-0.700022292,-0.126695477,-0.321495328,-0.742727883,0.068797013,-0.433594176,-0.301419588,-0.653116608,-0.38463919,-0.000764915,-0.305100141,0.001583937,0.014562596,-0.100080371,-0.081630008,0.160688949,-0.089018375,-0.349850577,-0.385232102,0.252410605,-0.674577746,0.196933821,0.275538081,-0.251237492,-0.42506597,-0.179496406,-0.295596877,-0.789549295,-0.470835442,-0.469741184,-0.391857357,-0.168409357,-0.747846825,-0.028773278,-0.019544218,-0.137462802,-0.205692073,-0.971497135,-0.547717518,-0.366329753,0.14558749,-0.678439037,0.138410762,0.008545351,1.065513372,0.34366939,-0.298825512,-0.186919444,0.167637517,-0.94825756,-0.253740411,-0.238747287,-0.573441672,-0.392546936,-0.592748466,-0.24577765,-0.52089091,-0.157067061,0.125467041,0.181320604,0.101843963,-0.401427775,-0.415161301,-0.343428715,-0.253211126,-0.622431029,-0.340231429,2.176482738,0.957617899,1.151360996,1.23389595,1.231094166,2.400495884,0.472338213,2.023579519,2.289930714,2.202602127,2.031480418,1.806270359,1.02612059,1.989815719,1.936071962,1.783085133,1.053233858,-0.768761466,-0.97539289,-0.703155522,-0.805628799,-0.993603016,-0.343861395,-0.731093945,-0.544347472,-0.566129631,-0.836607653,-0.84680515,-1.014366597,-0.637680255,-0.563233907,-0.57865512,-0.779459128,-1.244555056,-0.437236252,-1.019840853,-1.156275064,-0.92207628,0.193088276,-0.056252002,0.234784363,-0.446256824,-0.264413566,0.050675963,-0.62587835,0.495965277,-0.058458371,-0.11919297,-0.5271796,-0.032622733,0.216063497,0.273239731,-0.069298079,-0.195223854,0.22922405,-0.612687455,0.017782785,0.135086079
