,index,kME_MM.yellow,kME_MM.brown,kME_MM.blue,kME_MM.turquoise,kME_MM.grey
Gene.1,3,0.39386633,0.340030707,-0.364591504,-0.215776437,0.694061678
Gene.2,5,0.755330288,0.612003837,-0.299766626,0.001647906,0.828503287
Gene.3,3,0.516809381,0.376120488,-0.526482509,-0.314213201,0.885359425
Gene.4,3,0.545117427,0.237232235,-0.493614282,-0.403274567,0.791398616
Gene.5,3,0.478045388,0.448112983,-0.524324649,-0.228102629,0.867328954
Gene.6,3,0.570372603,0.66785653,-0.316468208,0.026247288,0.870864198
Gene.7,3,0.131796687,0.204636281,-0.421535566,-0.191465108,0.514359945
Gene.8,2,0.365604735,0.636898369,-0.165538074,0.097071954,0.660826912
Gene.9,3,0.391543924,0.624481823,-0.217578784,0.129863262,0.674077009
Gene.10,3,0.659249315,0.634566499,-0.069015971,0.083689473,0.740839429
Gene.11,3,0.619650328,0.359775033,-0.635049001,-0.319013664,0.914316282
Gene.12,3,0.58529042,0.418759773,-0.510299116,-0.258305036,0.904700278
Gene.13,2,0.499695524,0.733410533,-0.120127241,0.204490508,0.732027544
Gene.14,5,0.758582673,0.335158387,-0.236493906,-0.122870008,0.624061504
Gene.15,3,0.439483176,0.354270733,-0.330879893,-0.189836074,0.68599251
Gene.16,3,0.271582865,0.249228352,-0.4977726,-0.18262964,0.578467201
Gene.17,3,0.511627864,0.606312471,-0.200112853,0.069031206,0.72090995
Gene.18,3,0.514794858,0.726923306,-0.259761387,0.117162563,0.841609462
Gene.19,3,0.551909671,0.398619405,-0.571342811,-0.297742606,0.900233069
Gene.20,3,0.643362909,0.464357533,-0.482846496,-0.192228888,0.873357556
Gene.21,2,0.417681523,0.752984586,-0.131654158,0.247582612,0.705716803
Gene.22,3,0.722850401,0.246272291,-0.586298764,-0.404292567,0.846618257
Gene.23,3,0.429059056,0.643590531,-0.128660555,0.221562775,0.635049903
Gene.24,2,0.435246467,0.850994209,0.200017223,0.446372587,0.533484059
Gene.25,3,0.628752362,0.336215139,-0.287730416,-0.197605508,0.695074131
Gene.26,3,0.53163235,0.045679616,-0.614147175,-0.53287934,0.751711394
Gene.27,3,0.587280606,0.327704046,-0.572774055,-0.319347992,0.877048247
