,index,kME_MM.blue,kME_MM.turquoise,kME_MM.grey
Gene.1,2,0.290096189,0.447432173,0.267919926
Gene.2,2,0.232163774,0.409217272,0.336053859
Gene.3,2,-0.427453341,-0.06181834,0.773908777
Gene.4,2,0.023267787,-0.053600562,0.057787281
Gene.5,2,-0.181432582,0.098541999,0.569866241
Gene.6,3,0.70199076,0.829901193,0.18225654
Gene.7,2,0.439742693,0.259201422,-0.357629974
Gene.8,2,-0.17932602,0.139452675,0.567858752
Gene.9,2,0.465447056,0.642039143,0.302883947
Gene.10,3,0.482406478,0.703902645,0.481116995
Gene.11,2,-0.010980431,0.250661202,0.419934303
Gene.12,2,-0.37454937,0.017890947,0.850107021
Gene.13,3,0.511442073,0.770586461,0.464999131
Gene.14,3,0.802598038,0.766527706,-0.204582914
Gene.15,2,0.681602668,0.620531889,-0.077645742
Gene.16,2,-0.277100889,0.079604921,0.791004829
Gene.17,3,0.802097957,0.916013874,0.129543495
Gene.18,2,0.242996145,0.56405568,0.627859966
Gene.19,2,-0.132569887,-0.04268558,0.141110395
Gene.20,2,0.376009892,0.38657419,0.061059778
Gene.21,3,0.773116906,0.941834375,0.20415275
Gene.22,2,-0.428072439,-0.167055763,0.642224135
Gene.23,3,0.554634031,0.855702921,0.518752939
Gene.24,3,0.580311233,0.809411119,0.39493362
Gene.25,2,0.155727555,0.204297915,0.289147832
Gene.26,2,-0.521721432,-0.643670104,-0.008974831
Gene.27,2,-0.175603716,0.309205693,0.838730344
Gene.28,2,-0.380300367,-0.026779832,0.715130708
Gene.29,2,0.642402893,0.67369915,-0.037990965
Gene.30,2,-0.361867857,-0.370575665,0.122024085
Gene.31,2,-0.556635838,-0.170286894,0.743528734
Gene.32,3,0.312815591,0.694174418,0.587869563
Gene.33,2,0.236600085,0.141824644,-0.02161629
Gene.34,3,0.714318241,0.929647479,0.298953001
Gene.35,3,0.498195768,0.812679152,0.476263076
Gene.36,2,-0.385732807,-0.577478232,-0.131776809
Gene.37,3,0.525023283,0.882441057,0.533539397
Gene.38,2,-0.428778843,0.014805767,0.880219368
Gene.39,2,-0.261925706,0.094716511,0.809702942
Gene.40,3,0.731686059,0.931531847,0.288465941
Gene.41,3,0.351517313,0.734073813,0.534624329
Gene.42,2,-0.227690674,0.279437643,0.961654892
Gene.43,3,0.736699006,0.975663155,0.313310714
Gene.44,2,0.478979551,0.470222583,0.099967997
Gene.45,3,0.657160806,0.829770835,0.326653025
Gene.46,3,0.531687812,0.847912864,0.489451633
Gene.47,3,0.517417306,0.80723733,0.504391039
Gene.48,2,0.057663686,0.347595379,0.606493917
Gene.49,3,0.263427287,0.706582413,0.687584726
Gene.50,3,0.767487641,0.961433204,0.294598386
Gene.51,2,-0.221972132,0.126770301,0.714940498
Gene.52,2,-0.022156735,0.410947842,0.860827135
Gene.53,2,0.309838133,0.544795078,0.460558483
Gene.54,2,0.404089345,0.639861289,0.329245896
Gene.55,2,0.665267543,0.668490818,-0.017602082
Gene.56,2,0.155082771,0.179964001,0.086005366
Gene.57,3,0.814201327,0.923696913,0.145068932
