,index,kME_MM.turquoise,kME_MM.red,kME_MM.blue,kME_MM.brown,kME_MM.green,kME_MM.yellow,kME_MM.grey
Gene.1,1,-0.161417214,0.32835098,0.975672989,0.844284315,0.725817203,0.683830341,0.266648935
Gene.2,2,-0.153808943,0.599131148,0.932080389,0.924685246,0.864018903,0.709010853,0.408825725
Gene.3,2,-0.321182749,0.57660503,0.931690695,0.976243143,0.814752444,0.589589923,0.272788717
Gene.4,1,-0.272261379,0.469183044,0.968489615,0.933163314,0.775402079,0.631546036,0.307708409
Gene.5,2,-0.416741577,0.687535035,0.815787399,0.937483012,0.728574191,0.451077542,0.239896011
Gene.6,2,-0.140360501,0.61007872,0.942659733,0.944495896,0.904182076,0.715428956,0.222344275
Gene.7,1,-0.179646574,0.282530016,0.974374781,0.844351074,0.727995497,0.665679429,0.155565111
Gene.8,1,-0.140610872,0.488867271,0.931097634,0.862503893,0.819269109,0.68868216,0.164472408
Gene.9,1,-0.088178736,0.57622696,0.939933484,0.892550609,0.867871774,0.742809879,0.292346658
Gene.10,2,-0.130864355,0.683497841,0.922621185,0.935636338,0.874937157,0.719305967,0.432678411
Gene.11,1,-0.196995016,0.465883011,0.965695867,0.919150167,0.825278786,0.680888036,0.272449454
Gene.12,2,-0.363640783,0.67146904,0.895360635,0.991544291,0.798023893,0.547306756,0.33449864
Gene.13,1,0.05812596,0.566837313,0.900685458,0.813713693,0.876565382,0.814291949,0.38506846
Gene.14,1,-0.22080002,0.308564235,0.783898424,0.712405907,0.486000932,0.496885846,0.630699741
Gene.15,1,-0.158141584,0.509188159,0.978184642,0.904108186,0.813765341,0.707737945,0.27373637
Gene.16,1,-0.130844601,0.235806834,0.879047985,0.724131416,0.606134222,0.626887865,0.355058941
Gene.17,1,-0.005030298,0.323343744,0.98417221,0.812866557,0.789566959,0.793413749,0.323127191
Gene.18,2,-0.251551706,0.571704653,0.950065519,0.973484151,0.844694425,0.64780601,0.279675054
Gene.19,2,-0.384842583,0.628811556,0.823953632,0.936612206,0.77792043,0.46874141,0.090767589
Gene.20,2,-0.26791004,0.532749257,0.948315905,0.942122422,0.807403437,0.621444639,0.260687252
Gene.21,1,-0.062858674,0.523942886,0.912149961,0.873660493,0.896743435,0.728388495,0.180265496
Gene.22,2,-0.464611239,0.523436841,0.785966409,0.854629716,0.555281378,0.38150052,0.436940978
Gene.23,1,-0.171635088,0.57687928,0.9671871,0.936516317,0.84967845,0.703628817,0.263810583
Gene.24,3,0.072017648,0.605129843,0.866826449,0.820253817,0.941712255,0.808445888,0.266695386
Gene.25,2,-0.332351107,0.628953002,0.846905739,0.933416338,0.754388537,0.538988383,0.455796589
Gene.26,2,-0.412003311,0.474990434,0.923379948,0.9665363,0.72434065,0.503924182,0.196186958
Gene.27,2,-0.356895515,0.46744448,0.948684577,0.961018891,0.745785437,0.563682914,0.244368854
Gene.28,2,-0.40747545,0.608472416,0.835266335,0.956602884,0.764821447,0.465287111,0.194663903
Gene.29,1,-0.176361676,0.454459038,0.807700017,0.771281577,0.59442327,0.568889317,0.701715093
Gene.30,1,-0.205288383,0.488135677,0.968020907,0.937283903,0.826292192,0.684346042,0.346589423
Gene.31,2,-0.469536128,0.711849932,0.834965895,0.962027989,0.688259767,0.41781365,0.274964227
Gene.32,1,-0.273060523,0.453028122,0.84998887,0.845781718,0.607970321,0.531674212,0.523261411
Gene.33,4,-0.297632721,0.260800008,0.571940936,0.571642154,0.284510367,0.289162913,0.781855613
Gene.34,1,-0.076279407,0.50589933,0.985636911,0.898071899,0.860279203,0.772635372,0.330430671
Gene.35,1,0.017470497,0.445097686,0.957583806,0.852689566,0.87831126,0.819779957,0.351776349
Gene.36,2,-0.577795848,0.517466122,0.838145896,0.93814547,0.559988477,0.333131565,0.341156544
Gene.37,1,0.051993413,0.420150652,0.969733619,0.824303502,0.869303049,0.827407903,0.235647048
Gene.38,2,-0.342970799,0.524170676,0.916226081,0.949653152,0.740001232,0.553300537,0.362809009
Gene.39,2,-0.098274825,0.699536298,0.856186246,0.867017896,0.831390894,0.689205014,0.390499862
Gene.40,7,0.398868931,0.337208261,0.844192363,0.60516272,0.874173361,0.957407009,0.248761945
Gene.41,1,-0.058929615,0.404719841,0.931273386,0.845169116,0.86670328,0.737833045,0.070222178
Gene.42,2,-0.283801319,0.688664718,0.866406179,0.940191304,0.813820594,0.574805539,0.331772678
Gene.43,7,0.424138746,0.353058407,0.833392297,0.621209352,0.918487943,0.977194062,0.312591175
Gene.44,6,-0.370229111,0.462086151,0.500855687,0.607276664,0.28452679,0.202707654,0.794711846
Gene.45,2,-0.08554762,0.73175061,0.749427601,0.825107277,0.759834691,0.635140796,0.737901708
Gene.46,3,0.343522284,0.484944011,0.819540461,0.659178974,0.937801859,0.921723973,0.172524334
Gene.47,1,-0.215914588,0.43294696,0.946084231,0.905347936,0.813352157,0.64548847,0.115763638
Gene.48,2,-0.229219237,0.716997143,0.86609835,0.9044307,0.808473478,0.600029942,0.24528583
Gene.49,1,-0.046472509,0.441818051,0.902332401,0.833526986,0.864855103,0.715685796,0.020632431
Gene.50,3,0.152944765,0.72415947,0.799672901,0.791115227,0.970527064,0.817681825,0.283237499
Gene.51,2,-0.263663883,0.75965793,0.844314239,0.914858211,0.802908464,0.565842786,0.249538485
Gene.52,2,-0.347012018,0.548319184,0.903914116,0.948381907,0.755464326,0.551110758,0.360657866
Gene.53,2,-0.140936965,0.639644706,0.892924065,0.913308687,0.857260575,0.694929212,0.395227689
Gene.54,1,-0.191667033,0.314819179,0.942263929,0.8182071,0.64892367,0.625469777,0.330625053
Gene.55,1,-0.122457589,0.544375035,0.817237978,0.799821261,0.689851898,0.625175414,0.714609437
Gene.56,6,-0.594375836,0.590457881,0.695373491,0.875644792,0.549897128,0.241344359,0.357946735
Gene.57,2,-0.104827973,0.633381691,0.918474003,0.935603179,0.914452144,0.726559106,0.278805582
Gene.58,1,-0.180950739,0.331813409,0.961042416,0.840633339,0.677900005,0.654622673,0.365878587
Gene.59,2,-0.30738996,0.758214964,0.838404765,0.959365369,0.800276845,0.551983889,0.382149648
Gene.60,1,-0.056834231,0.470252392,0.92956968,0.859942887,0.855478281,0.747177413,0.208278893
Gene.61,2,-0.46140357,0.66321966,0.85947882,0.970347183,0.692503056,0.436930956,0.25032361
Gene.62,7,0.418446949,0.35915777,0.848918264,0.621377125,0.877641978,0.974468116,0.352663212
Gene.63,5,-0.207295678,0.870979219,0.702651798,0.843266428,0.754067648,0.522782547,0.456731543
Gene.64,1,0.163362527,0.246936468,0.936585266,0.724828439,0.81524924,0.861254452,0.282385492
