,index,kME_MM.black,kME_MM.green,kME_MM.blue,kME_MM.turquoise,kME_MM.brown,kME_MM.pink,kME_MM.red,kME_MM.yellow,kME_MM.grey
Gene.1,3,0.065694214,0.095452631,0.764774688,0.554647353,0.819698952,0.512385619,0.186950733,-0.059650235,0.558598811
Gene.2,6,-0.463720502,-0.358606729,0.39431691,0.040067213,0.756413046,0.848601677,0.503557611,0.636778435,0.705084502
Gene.3,5,-0.347588933,-0.455990345,0.300341711,-0.0104651,0.650754343,0.671325369,0.516232922,0.260246185,0.784528438
Gene.4,7,-0.673703811,-0.686905531,0.033382606,-0.375044449,0.461525173,0.603826472,0.785708329,0.445579313,0.774097258
Gene.5,7,-0.593431862,-0.622661042,0.211116669,-0.218141701,0.623540667,0.681621071,0.695273727,0.412052858,0.865920066
Gene.6,6,-0.528425619,-0.532390371,0.407503532,-0.023752104,0.798537731,0.84357199,0.708161595,0.467597555,0.869250338
Gene.7,5,-0.15111061,-0.030413361,0.342992319,0.177904019,0.300494687,0.106462979,0.001162139,-0.103901127,0.204039997
Gene.8,3,-0.334198158,-0.215529863,0.530230847,0.220715246,0.794864681,0.608484024,0.422229368,0.246080081,0.675559624
Gene.9,5,-0.253458782,-0.197977617,0.515680387,0.199808691,0.684849525,0.551185489,0.333374016,0.16145392,0.618536348
Gene.10,6,-0.35586265,-0.289482572,0.556726095,0.200985562,0.858850717,0.923115072,0.544504417,0.552443672,0.737497586
Gene.11,5,-0.735148908,-0.713200651,0.122385352,-0.306042115,0.587013426,0.858242136,0.704589872,0.725226038,0.792608609
Gene.12,7,-0.70127702,-0.74736542,0.050302729,-0.380187551,0.537357917,0.826685201,0.809727646,0.682468854,0.819609829
Gene.13,3,-0.048121574,-0.052836064,0.806046907,0.516691687,0.915946092,0.649109109,0.26873098,0.0283279,0.688863711
Gene.14,9,-0.56349106,-0.343497926,-0.384953811,-0.507650021,-0.036412885,0.355424573,0.544674483,0.824497686,0.069836363
Gene.15,5,0.054403609,-0.036219713,0.530471627,0.338159526,0.63984367,0.531546108,0.159986673,0.065696921,0.583795912
Gene.16,6,-0.344019965,-0.379041088,0.462085126,0.114907626,0.742282641,0.792203912,0.418648944,0.380220773,0.748967426
Gene.17,3,-0.28224835,-0.166863027,0.695421006,0.346374259,0.890903623,0.719845738,0.418136532,0.285916915,0.667015027
