MEblue,MEturquoise,MEgrey
X22,X24,X23
0.147974555,-0.409376237,-0.834980309
-0.0799121,-0.029934907,0.115977814
0.520200957,0.489365963,-0.004323492
-0.212253392,-0.172317084,0.125471487
-0.111456632,-0.078804393,-0.015067759
0.361841184,0.377477988,-0.03835962
0.347068107,0.337160312,0.071405941
-0.124095869,-0.127459554,-0.170068879
-0.192201954,-0.089039601,0.266797068
-0.135866888,-0.173412883,-0.060364769
-0.104543406,-0.063085086,0.039511115
0.087469481,0.122090638,-0.018917388
-0.007681279,-0.019556577,0.016268204
-0.17665132,-0.13469503,0.185872756
-0.100138773,-0.016086039,0.215469975
-0.216660727,-0.138664181,0.10731385
0.289892295,0.331123792,0.040024695
-0.333885044,-0.260016383,0.186655304
-0.075153455,-0.043257503,-0.060569366
0.11605426,0.098486763,-0.168116627
