MEblack,MEgreen,MEblue,MEturquoise,MEbrown,MEpink,MEred,MEyellow,MEgrey
X13,X16,X14,X20,X15,X18,X19,X21,X17
0.006979654,-0.0761751,0.004975641,-0.002204302,-0.033862121,0.007183012,-0.078406316,-0.005627103,-0.034525511
-0.095390323,-0.019370689,-0.170652513,-0.159289487,-0.193445529,-0.244937308,0.207634084,-0.069113762,-0.202670889
-0.134370004,-0.236187215,0.107709444,-0.056045518,0.143347027,0.136429231,0.229220079,-0.05251072,0.207749107
0.099471615,0.099455464,0.037597495,0.051007677,-0.062636568,-0.012655431,-0.220518232,0.012376825,-0.154200875
-0.24005638,-0.117817929,-0.237679871,-0.269660831,-0.172592086,-0.188125118,0.101664663,0.041852109,-0.088600677
-0.45754115,-0.338724941,0.090367225,-0.146371233,0.370299178,0.374748095,0.423460803,0.296481533,0.487094119
0.175245916,0.055758235,0.168064479,0.152838687,0.169541938,0.134615855,0.003449871,0.021521485,0.164058881
0.133279611,0.032633774,0.052981763,0.062529997,0.000738117,-0.016705762,-0.143366395,-0.073150892,0.035303303
-0.255187561,-0.231273126,-0.07339169,-0.15214034,0.121883788,0.370711559,0.18011783,0.437286615,0.170499834
0.117469422,0.006386501,0.293728997,0.249318094,0.133009635,0.012406219,-0.20618389,-0.25183244,0.075212896
-0.023666555,0.160686086,-0.16123063,-0.071452175,-0.127516809,0.027281733,-0.094855734,0.28247431,-0.266670502
0.165802494,0.306872374,0.252093878,0.304105904,0.119071977,-0.147128862,-0.166386192,-0.148618587,-0.181688228
-0.244923932,-0.264110862,-0.228479361,-0.290489769,-0.075322495,0.264478118,0.134273339,0.445345744,0.072940817
0.295903662,0.501863956,0.576959934,0.636466324,0.391512115,0.091382771,-0.176772169,-0.159088209,-0.102568117
-0.129541562,-0.167392892,0.00922485,-0.084026606,-0.030058003,-0.104961066,0.140796731,-0.176924596,0.096338167
0.157052112,0.095305957,0.19979367,0.171507651,0.197918449,0.136177953,0.043271662,-0.053255939,0.161101578
-0.075493672,-0.08704311,-0.309497626,-0.249464436,-0.341056693,-0.345819275,-0.106443434,-0.221478336,-0.114718707
-0.05344732,-0.158888844,0.050045738,-0.004955552,0.224596236,0.162702266,0.117650324,-0.085571253,0.329055178
-0.178688988,-0.105067625,-0.147171662,-0.17853816,-0.049464489,0.075533191,0.356397565,0.262933061,0.027326008
0.508813806,0.460988526,-0.218748423,0.166443003,-0.417581975,-0.505358081,-0.488762315,-0.374942677,-0.532229608
0.228289157,0.082101461,-0.29669134,-0.129578929,-0.36838169,-0.227959101,-0.256242273,-0.128157167,-0.148806776
