as.matrix.net.colors.,
grey,2
grey,2
grey,2
grey,2
grey,2
turquoise,3
grey,2
grey,2
grey,2
turquoise,3
grey,2
grey,2
turquoise,3
turquoise,3
grey,2
grey,2
turquoise,3
grey,2
grey,2
grey,2
turquoise,3
grey,2
turquoise,3
turquoise,3
grey,2
grey,2
grey,2
grey,2
grey,2
grey,2
grey,2
turquoise,3
grey,2
turquoise,3
turquoise,3
grey,2
turquoise,3
grey,2
grey,2
turquoise,3
turquoise,3
grey,2
turquoise,3
grey,2
turquoise,3
turquoise,3
turquoise,3
grey,2
turquoise,3
turquoise,3
grey,2
grey,2
grey,2
grey,2
grey,2
grey,2
turquoise,3
grey,2
grey,2
turquoise,3
grey,2
turquoise,3
grey,2
turquoise,3
turquoise,3
grey,2
turquoise,3
grey,2
turquoise,3
turquoise,3
blue,1
grey,2
grey,2
grey,2
grey,2
turquoise,3
grey,2
grey,2
grey,2
turquoise,3
grey,2
grey,2
turquoise,3
grey,2
turquoise,3
turquoise,3
grey,2
grey,2
turquoise,3
turquoise,3
grey,2
grey,2
turquoise,3
grey,2
turquoise,3
grey,2
blue,1
turquoise,3
turquoise,3
grey,2
grey,2
turquoise,3
grey,2
grey,2
grey,2
turquoise,3
grey,2
grey,2
turquoise,3
grey,2
grey,2
turquoise,3
turquoise,3
blue,1
grey,2
turquoise,3
grey,2
turquoise,3
turquoise,3
grey,2
turquoise,3
grey,2
grey,2
turquoise,3
grey,2
grey,2
turquoise,3
grey,2
grey,2
turquoise,3
turquoise,3
grey,2
grey,2
grey,2
grey,2
turquoise,3
turquoise,3
turquoise,3
turquoise,3
grey,2
turquoise,3
grey,2
grey,2
grey,2
grey,2
grey,2
turquoise,3
grey,2
turquoise,3
grey,2
blue,1
grey,2
grey,2
grey,2
turquoise,3
grey,2
grey,2
grey,2
blue,1
turquoise,3
turquoise,3
grey,2
turquoise,3
blue,1
grey,2
grey,2
grey,2
grey,2
turquoise,3
turquoise,3
turquoise,3
turquoise,3
grey,2
turquoise,3
grey,2
grey,2
turquoise,3
grey,2
grey,2
turquoise,3
grey,2
grey,2
grey,2
grey,2
turquoise,3
turquoise,3
grey,2
turquoise,3
blue,1
grey,2
grey,2
grey,2
turquoise,3
grey,2
turquoise,3
grey,2
grey,2
grey,2
grey,2
blue,1
grey,2
turquoise,3
grey,2
turquoise,3
grey,2
turquoise,3
grey,2
grey,2
grey,2
grey,2
turquoise,3
turquoise,3
turquoise,3
grey,2
grey,2
turquoise,3
grey,2
blue,1
grey,2
turquoise,3
grey,2
turquoise,3
grey,2
grey,2
grey,2
grey,2
turquoise,3
grey,2
turquoise,3
turquoise,3
grey,2
turquoise,3
grey,2
turquoise,3
turquoise,3
turquoise,3
blue,1
turquoise,3
turquoise,3
turquoise,3
grey,2
turquoise,3
grey,2
turquoise,3
grey,2
turquoise,3
turquoise,3
turquoise,3
turquoise,3
grey,2
turquoise,3
grey,2
grey,2
turquoise,3
turquoise,3
grey,2
turquoise,3
grey,2
grey,2
turquoise,3
grey,2
grey,2
blue,1
grey,2
turquoise,3
blue,1
blue,1
grey,2
turquoise,3
grey,2
grey,2
blue,1
grey,2
blue,1
grey,2
grey,2
grey,2
turquoise,3
grey,2
turquoise,3
grey,2
turquoise,3
grey,2
blue,1
turquoise,3
turquoise,3
grey,2
blue,1
grey,2
grey,2
turquoise,3
turquoise,3
turquoise,3
grey,2
grey,2
turquoise,3
turquoise,3
grey,2
turquoise,3
grey,2
turquoise,3
blue,1
turquoise,3
grey,2
turquoise,3
grey,2
grey,2
turquoise,3
turquoise,3
turquoise,3
turquoise,3
turquoise,3
grey,2
grey,2
turquoise,3
grey,2
turquoise,3
turquoise,3
turquoise,3
turquoise,3
grey,2
grey,2
turquoise,3
grey,2
turquoise,3
grey,2
turquoise,3
turquoise,3
grey,2
blue,1
turquoise,3
grey,2
turquoise,3
turquoise,3
grey,2
grey,2
grey,2
turquoise,3
grey,2
blue,1
turquoise,3
grey,2
turquoise,3
grey,2
grey,2
grey,2
grey,2
turquoise,3
grey,2
grey,2
turquoise,3
blue,1
turquoise,3
grey,2
turquoise,3
turquoise,3
grey,2
turquoise,3
grey,2
turquoise,3
turquoise,3
grey,2
turquoise,3
turquoise,3
turquoise,3
grey,2
blue,1
turquoise,3
grey,2
grey,2
turquoise,3
turquoise,3
grey,2
turquoise,3
grey,2
turquoise,3
turquoise,3
grey,2
turquoise,3
turquoise,3
turquoise,3
turquoise,3
turquoise,3
turquoise,3
turquoise,3
turquoise,3
blue,1
grey,2
turquoise,3
grey,2
turquoise,3
blue,1
turquoise,3
turquoise,3
blue,1
grey,2
turquoise,3
grey,2
turquoise,3
turquoise,3
turquoise,3
turquoise,3
blue,1
blue,1
grey,2
turquoise,3
grey,2
blue,1
blue,1
turquoise,3
turquoise,3
grey,2
grey,2
turquoise,3
blue,1
turquoise,3
grey,2
turquoise,3
blue,1
turquoise,3
grey,2
turquoise,3
blue,1
turquoise,3
turquoise,3
turquoise,3
grey,2
grey,2
turquoise,3
grey,2
grey,2
turquoise,3
blue,1
turquoise,3
turquoise,3
turquoise,3
grey,2
grey,2
blue,1
turquoise,3
grey,2
turquoise,3
turquoise,3
blue,1
blue,1
grey,2
blue,1
turquoise,3
turquoise,3
turquoise,3
turquoise,3
turquoise,3
grey,2
turquoise,3
turquoise,3
blue,1
grey,2
turquoise,3
blue,1
turquoise,3
turquoise,3
turquoise,3
turquoise,3
grey,2
turquoise,3
turquoise,3
grey,2
turquoise,3
turquoise,3
turquoise,3
turquoise,3
blue,1
grey,2
turquoise,3
blue,1
turquoise,3
blue,1
turquoise,3
turquoise,3
grey,2
turquoise,3
blue,1
turquoise,3
turquoise,3
grey,2
turquoise,3
grey,2
blue,1
grey,2
turquoise,3
turquoise,3
turquoise,3
turquoise,3
grey,2
turquoise,3
grey,2
grey,2
turquoise,3
turquoise,3
turquoise,3
turquoise,3
turquoise,3
turquoise,3
turquoise,3
grey,2
blue,1
grey,2
blue,1
turquoise,3
grey,2
turquoise,3
turquoise,3
grey,2
turquoise,3
turquoise,3
grey,2
turquoise,3
blue,1
turquoise,3
grey,2
grey,2
grey,2
turquoise,3
grey,2
grey,2
grey,2
turquoise,3
turquoise,3
turquoise,3
turquoise,3
turquoise,3
turquoise,3
