"","V1","V2","V3"
"1",0.29253,6.3921e-05,0.0036494
"2",0.31502,0.00020577,0.0040652
"3",0.37977,0.00052158,0.005171
"4",0.408,0.001813,0.0067926
"5",0.36222,0.00029806,0.004735
"6",0.31031,0.00019479,0.0039966
"7",0.44803,0.0046114,0.010048
"8",0.27279,0.00014975,0.0034922
"9",0.30902,8.3251e-05,0.0038706
"10",0.28375,9.8278e-05,0.0035757
"11",0.28766,0.00014958,0.0036743
"12",0.35371,0.00017161,0.0045057
"13",0.36891,0.00067766,0.0051919
"14",0.23738,8.5637e-05,0.0029947
"15",0.36995,0.00037821,0.0049089
"16",0.44183,0.0031662,0.0085439
"17",0.34932,0.00036008,0.0046381
"18",0.37275,0.0013487,0.0059019
"19",0.24078,7.1502e-05,0.0030225
"20",0.45193,0.0044392,0.0099251
"21",0.24944,0.00019621,0.0032518
"22",0.3061,0.0004802,0.0042269
"23",0.37105,0.00067221,0.0052129
"24",0.26302,0.00013578,0.0033586
"25",0.2523,0.00014104,0.0032324
"26",0.30613,0.0003044,0.0040536
"27",0.27605,0.00022513,0.0036066
"28",0.28767,0.000419,0.0039405
"29",0.32837,0.00022686,0.0042497
"30",0.27364,0.00011889,0.0034721
"31",0.29044,0.00013228,0.0036912
"32",0.24684,0.00010432,0.0031292
"33",0.30633,0.00020264,0.0039556
"34",0.31047,8.8335e-05,0.0038934
"35",0.23418,0.00010691,0.0029765
"36",0.22897,7.8169e-05,0.0028843
"37",0.22467,0.00011902,0.0028719
"38",0.20251,0.00015104,0.0026319
"39",0.24892,0.00011111,0.0031614
"40",0.22074,0.00013528,0.0028398
"41",0.36361,0.00057828,0.0050288
"42",0.24667,7.6745e-05,0.0030999
"43",0.4438,0.0033126,0.0087128
"44",0.24448,0.00022052,0.003215
"45",0.22442,0.00010324,0.0028532
"46",0.38766,0.0016971,0.0064287
"47",0.32193,0.00055785,0.0044977
"48",0.38398,0.0014702,0.0061596
"49",0.22035,0.00022642,0.002925
"50",0.36128,0.00058647,0.0050083
"51",0.359,0.00056417,0.0049584
"52",0.29988,0.00022266,0.0038963
"53",0.27326,0.00040517,0.0037502
"54",0.24413,7.0371e-05,0.0030624
"55",0.1915,9.1642e-05,0.0024382
"56",0.36483,0.00058168,0.0050471
"57",0.28388,0.00031541,0.0037917
"58",0.27366,0.00018599,0.0035387
"59",0.41598,0.0037806,0.008834
