"","kME_MM.turquoise","kME_MM.yellow","kME_MM.blue","kME_MM.brown","kME_MM.grey"
"Gene.1",-0.36754982622582,0.519212928763206,0.907846565675031,0.612472015856388,-0.745030272204702
"Gene.2",-0.340103620410979,0.568849444058113,0.925561566670887,0.761442223019823,-0.790177826650937
"Gene.3",-0.436717752694596,0.498757242886965,0.92446482270259,0.624865645434864,-0.832486984018049
"Gene.4",-0.417896075984635,0.415154323925994,0.843367661797405,0.643990014096424,-0.700307364087051
"Gene.5",-0.393380213885353,0.501658830895297,0.869435415303718,0.571735608780408,-0.795708640926902
"Gene.6",-0.303019581380956,0.594121478225054,0.938539378940077,0.645431599451113,-0.785274155813994
"Gene.7",-0.379464686482762,0.458110447020736,0.848464621929476,0.554100500796389,-0.669628442657907
"Gene.8",-0.272937709102645,0.578670872590662,0.88519414872054,0.55052681555221,-0.751863007284035
"Gene.9",-0.208515012671528,0.601373895907586,0.839664124523207,0.551591436756713,-0.679470443051377
"Gene.10",-0.249305730906118,0.603770364854489,0.916343376461029,0.638743365753979,-0.745449604952438
"Gene.11",-0.370358863430935,0.49501314837158,0.880715034937527,0.740265296188068,-0.757190641874883
"Gene.12",-0.357669749130847,0.497720388590883,0.831551413545845,0.506904477870775,-0.814886334865567
"Gene.13",-0.181627257646418,0.654724973477527,0.892104110066746,0.596552485924558,-0.721452508064076
"Gene.14",-0.382195385120792,0.38165703612512,0.733954184991356,0.795818614034099,-0.672984866786965
"Gene.15",-0.380446619328298,0.436975987082477,0.833464098737387,0.556534613614191,-0.691581546261777
"Gene.16",-0.30420679231456,0.497080627120571,0.806767249311485,0.530033919365643,-0.68291661682465
"Gene.17",-0.278164365850351,0.524683763887234,0.820276099797827,0.616313062061639,-0.694734871274936
"Gene.18",-0.283582845939209,0.589978346501712,0.907552918630278,0.560190119957917,-0.757042820730855
"Gene.19",-0.435907928576367,0.448256031349393,0.902795186077305,0.66658092732523,-0.782683054701631
"Gene.20",-0.355581111737556,0.451751114661029,0.80468551820764,0.643311576812674,-0.70829617071794
"Gene.21",-0.222490569819379,0.589806558120159,0.840051315031199,0.590321762505414,-0.718308465211357
"Gene.22",-0.432672084901829,0.402206215990561,0.811295562660471,0.657604838859211,-0.758804121814646
"Gene.23",-0.169193306473442,0.620384154318632,0.844234468406951,0.504258590559136,-0.699771522659454
"Gene.24",-0.0771927020912566,0.634366881324357,0.782042053119386,0.495212591501092,-0.594855470106315
"Gene.25",-0.408990722492705,0.412349309279879,0.828182679582743,0.671043740991199,-0.731419941349971
"Gene.26",-0.53775970242157,0.252177965238739,0.760614812047187,0.603984438581679,-0.694131597942635
"Gene.27",-0.34601027728247,0.520935887927823,0.874159312231189,0.545683019635529,-0.794212902449724
"Gene.28",-0.385305980044387,0.45789975651833,0.814277801128072,0.518058082843503,-0.801678659729868
"Gene.29",-0.379189521394849,0.351051977660078,0.698610088622277,0.845598939643023,-0.653414686478924
"Gene.30",-0.412181410895451,0.372496026375287,0.809777789252518,0.749223408590525,-0.672091106841654
"Gene.31",-0.340096421738693,0.427605949725379,0.72081082720877,0.40347488001952,-0.731049554387122
"Gene.32",-0.20531053974522,0.493901802768311,0.67787390518023,0.553465816667053,-0.67316756299768
"Gene.33",-0.440541647580047,0.244063239805707,0.651535735677526,0.849172089107829,-0.596049605099329
"Gene.34",-0.268114113970288,0.470431096921065,0.741829356540403,0.600041757569721,-0.645061578204504
"Gene.35",-0.113471605623654,0.654190990612766,0.830328969309855,0.665953722857967,-0.682680906322364
"Gene.36",-0.590604613076694,0.211279449889169,0.728092385947587,0.626843229592344,-0.688097169022161
"Gene.37",-0.0978195658065593,0.611843766113689,0.757821548902996,0.373085778701459,-0.612651793179256
"Gene.38",-0.221519208947063,0.481740141758771,0.672116744635399,0.291220515743893,-0.715415235146077
"Gene.39",-0.220471030882608,0.525166193008637,0.791437023726321,0.395086572469826,-0.644205862541341
"Gene.40",0.0487876589817524,0.789938557944067,0.858234242445679,0.521549691267865,-0.6443821089363
"Gene.41",-0.14343184614603,0.63020933183829,0.799347466597506,0.431637497013898,-0.68771192940738
"Gene.42",-0.0764383371065129,0.553327328929882,0.62936316869891,0.192262525432629,-0.667447506410963
"Gene.43",0.136417309495386,0.826637444108101,0.812124897372149,0.525210366498958,-0.621696236249987
"Gene.44",-0.44661617724747,0.266997285286749,0.663519693021178,0.832158683024754,-0.649279212489425
"Gene.45",-0.189588783191346,0.583306342512335,0.800060756190091,0.7328834980202,-0.723561279135673
"Gene.46",0.0240375722000925,0.739381138569353,0.814599636119041,0.469040888307718,-0.629986659980506
"Gene.47",-0.144859711377306,0.581573262782867,0.768360516622457,0.350621038059241,-0.610619479724867
"Gene.48",-0.312894388437918,0.410533516761227,0.74094433344944,0.490975817544884,-0.668824635647785
"Gene.49",-0.126737880410473,0.621733395324529,0.786189270048405,0.433325133523242,-0.690746798057923
"Gene.50",-0.110356259360609,0.644254838708894,0.836543167523652,0.536044732513954,-0.647145407292276
"Gene.51",-0.296406588234653,0.418042732514532,0.732100086273447,0.501287916444741,-0.660768860062768
"Gene.52",-0.180959094675716,0.570108162694627,0.728105596540245,0.342003795444464,-0.693906037527076
"Gene.53",-0.227394142282098,0.507592780465381,0.791706373668857,0.548934941163996,-0.65277814068066
"Gene.54",-0.277483184827064,0.459315128855082,0.692817522160524,0.499237971119954,-0.665797228133219
"Gene.55",-0.329594366459571,0.375118858857698,0.69855295469039,0.838564259265587,-0.657055368457819
"Gene.56",-0.403129660105286,0.316518586554315,0.714084377759493,0.70993882947781,-0.645034378949223
"Gene.57",-0.102513228420245,0.614344828288817,0.792753100440835,0.504905764050618,-0.614563782924837
"Gene.58",-0.404057267156082,0.334122744050994,0.694816283008704,0.637351916931688,-0.63555486681658
"Gene.59",-0.273951918519199,0.486701625723632,0.792850165941426,0.491886164604594,-0.695260341109831
"Gene.60",-0.124853191757766,0.595479058711071,0.786078943369743,0.544155028483445,-0.676786534360692
"Gene.61",-0.401086214921976,0.33427708344032,0.712024472288518,0.342217322066803,-0.689247365194004
"Gene.62",0.0646905299301979,0.722357724659328,0.741939484616951,0.46347739874423,-0.5539137376417
"Gene.63",-0.280402555479337,0.453662478261135,0.732753584487646,0.543536352688924,-0.700143443619053
"Gene.64",-0.0578133784173563,0.593793835984975,0.703564203844661,0.397010142881157,-0.601776967862963
"Gene.65",-0.0101960128058174,0.703274906879663,0.818948262640877,0.522391083756034,-0.645953801761915
"Gene.66",-0.222323474017793,0.511824352443365,0.720829371656943,0.360602701725459,-0.716619989854402
"Gene.67",-0.277241593307859,0.406555491256163,0.694341685785092,0.67200692355605,-0.589824716227256
"Gene.68",-0.236762664314032,0.47587068025307,0.723580240442253,0.850432678722337,-0.688732244428911
"Gene.69",-0.0209300425283432,0.594092094178501,0.69057269779387,0.292166643238196,-0.561041117956531
"Gene.70",-0.0355736357759853,0.587761771475766,0.69018035993673,0.606607449919165,-0.580434125416084
"Gene.71",-0.254091271197973,0.327872034242954,0.59406608928657,0.845757290302507,-0.52394630251893
"Gene.72",-0.310003159386146,0.242785444783989,0.562201418284926,0.37569494634632,-0.432465564186864
"Gene.73",-0.0463723002811447,0.578586124343961,0.700403397000884,0.273090543946469,-0.59044881094878
"Gene.74",-0.557004103521792,0.14609454855495,0.668195337047377,0.797693622183045,-0.609600011398452
"Gene.75",-0.051602792663279,0.542246707235413,0.613997787462399,0.199789814968295,-0.643853183636931
"Gene.76",0.109283207832454,0.779656764726415,0.809423554898934,0.481805180316559,-0.608724629301498
"Gene.77",-0.419322232786685,0.187774970615156,0.601008211515038,0.83190107186059,-0.562360277895679
"Gene.78",-0.222123645709141,0.434358128275937,0.699119951741029,0.520080860001934,-0.58703080021815
"Gene.79",-0.412646728405394,0.153277277280041,0.532649351837217,0.387831245356442,-0.453140961129296
"Gene.80",0.0745117986136641,0.749122389523084,0.774627374469019,0.498683135259411,-0.638790188769898
"Gene.81",-0.0681408063981068,0.506540318081111,0.588890590842033,0.179170508901991,-0.5611290286621
"Gene.82",-0.243197639535673,0.358863985352257,0.584484133449127,0.262637210043772,-0.589106326970998
"Gene.83",0.0270680417756151,0.620743915958558,0.667808764673892,0.288537454070118,-0.540860216113498
"Gene.84",-0.0953769463261907,0.561484632653317,0.680245860686386,0.26756463425514,-0.667386842508115
"Gene.85",-0.00977551030057873,0.597474250029387,0.663628796959309,0.705236501230835,-0.540696596646918
"Gene.86",0.146856883964011,0.67677830402499,0.637124221985073,0.409884717386421,-0.435011149823115
"Gene.87",-0.53137640273786,0.180138161046964,0.638102322620334,0.610781683848176,-0.722320531072924
"Gene.88",-0.337172987642032,0.371821864894993,0.697363145765192,0.430241761363904,-0.60519218598544
"Gene.89",-0.130030192188317,0.47542597518903,0.669646519513874,0.607269295440205,-0.523561343507619
"Gene.90",0.142002857072639,0.74520404818299,0.665534639000015,0.368009782200437,-0.628601968944626
"Gene.91",-0.391955373144155,0.235079075914639,0.577189275021107,0.680965826804462,-0.549664758646309
"Gene.92",-0.226190074679842,0.432412572730245,0.669695948477371,0.355442604422433,-0.601321855862598
"Gene.93",-0.0802560669182352,0.516631665442864,0.619333221165056,0.752073864782823,-0.582930976720942
"Gene.94",-0.323165961174349,0.276085844184313,0.593560676775043,0.609083075289219,-0.503616491681014
"Gene.95",0.119760677605604,0.71367263627026,0.678074541830028,0.380667146573983,-0.604139208816401
"Gene.96",-0.531815234194301,0.0693893144307902,0.592992106981251,0.679710807146711,-0.51317662180539
"Gene.97",-0.299181017485174,0.336123741677339,0.664897954854847,0.732408651663255,-0.580156185850578
"Gene.98",0.0819720666690271,0.63327976477353,0.648086652678883,0.380555583364705,-0.518338168632177
"Gene.99",0.0369850062051036,0.689462796359627,0.766759518967726,0.456198521824848,-0.597758913798103
"Gene.100",-0.26892333192966,0.375695674435032,0.676661898186073,0.585604326741653,-0.545007000412134
"Gene.101",-0.257157446350661,0.339245288182233,0.569226015150554,0.27333071625284,-0.567629751378823
"Gene.102",-0.0185828926191784,0.527661495468037,0.642540624373737,0.463023314302408,-0.407377466597032
"Gene.103",0.00292866294068124,0.431692892778599,0.409963924804527,0.0711982927763755,-0.495021349781431
"Gene.104",-0.350471931934826,0.333834972804336,0.668364386107631,0.605186198020854,-0.596829578885061
"Gene.105",-0.346773630198613,0.300989967331407,0.668516147181367,0.504859946934787,-0.571839933539521
"Gene.106",-0.0675569452241874,0.487823016227007,0.600065719837864,0.756244503603696,-0.488968531919947
"Gene.107",-0.299125576596194,0.240896695273673,0.52327174548631,0.507126126460908,-0.483594659457224
"Gene.108",0.0198983828775938,0.583074026910288,0.626828936341251,0.319162161340261,-0.507566714736947
"Gene.109",-0.177277620199052,0.462113945365557,0.692074009318779,0.550765353690475,-0.54068083583605
"Gene.110",-0.519201189584148,0.0565683972476569,0.53955186327647,0.733658497796812,-0.473614814907216
"Gene.111",-0.325267770597876,0.251745642640913,0.539031676840574,0.319374785153642,-0.482286128526001
"Gene.112",0.317199619442457,0.881135004521878,0.697716522377424,0.325855236682146,-0.524245205851063
"Gene.113",0.192251034510766,0.79803529482698,0.707216753679455,0.350499422476188,-0.584460893699483
"Gene.114",-0.312595596328438,0.24651468204386,0.546199732522457,0.883720659912388,-0.520770855397263
"Gene.115",-0.428268854281661,0.269631450589037,0.650944798563877,0.534993869578076,-0.630503547355284
"Gene.116",-0.156087894532943,0.424488007323541,0.599479529923489,0.771245861037498,-0.530211970087233
"Gene.117",-0.279458358674426,0.402464865072186,0.711953569828105,0.55999895137068,-0.643145707162453
"Gene.118",-0.0948073131554046,0.576427964324618,0.71184231636193,0.430706729635236,-0.63304959377856
"Gene.119",-0.0922200264448359,0.571044604997067,0.73338357591125,0.727522879289576,-0.624390835423245
"Gene.120",-0.394542931158473,0.238032333083524,0.605511823173118,0.484942264599038,-0.597320935576468
"Gene.121",-0.18557095669867,0.479403392621515,0.656316130154685,0.452181869559486,-0.609448310768741
"Gene.122",-0.380170911742448,0.198053602792451,0.539891661511483,0.922722834263762,-0.546184472201024
"Gene.123",-0.101344536131486,0.482513797831445,0.594725895634113,0.287041599483188,-0.622731314747058
"Gene.124",-0.186281136774187,0.495982841533377,0.717055587374787,0.448312929325069,-0.594516536555886
"Gene.125",-0.39459268257896,0.0971839444296709,0.444439558588871,0.837610501705527,-0.459309935134017
"Gene.126",-0.257043873819662,0.368451486548472,0.631392986785907,0.409992701105338,-0.577774336238014
"Gene.127",0.0791943481000216,0.668857665844956,0.716757312515599,0.402242608291299,-0.52348113439742
"Gene.128",-0.215308377796902,0.39000842537508,0.657514563220868,0.461852148141594,-0.554000978721802
"Gene.129",-0.248887596228616,0.37376899453242,0.599059578110169,0.449751910826277,-0.604910367794104
"Gene.130",-0.123429430470651,0.539065562696298,0.668641739440683,0.521084291511997,-0.637510077983022
"Gene.131",0.156765758417781,0.732371671267955,0.676641836938205,0.420838331992135,-0.533885357973737
"Gene.132",-0.278805934489161,0.352059579270272,0.623711202269707,0.582379164602732,-0.585590243812483
"Gene.133",-0.293995479165359,0.306969879264461,0.629978989544244,0.566740642846917,-0.553644749420533
"Gene.134",-0.385925922918428,0.306793814324001,0.681883751897789,0.632428875073062,-0.667318455171787
"Gene.135",-0.305064277155694,0.308495524651751,0.631493179527537,0.441040840267856,-0.527071892859368
"Gene.136",-0.539061768787598,0.0197185637413394,0.488339017212807,0.755402522098612,-0.513283767535539
"Gene.137",0.457320662357298,0.906980758611424,0.620072561245527,0.302893480501539,-0.427129039406684
