"","kME_MM.turquoise","kME_MM.yellow","kME_MM.brown","kME_MM.blue","kME_MM.green","kME_MM.grey"
"Gene.1",-0.415702786642684,-0.609717167863709,0.610180244604076,0.931419579513463,0.726376173167094,-0.75787142107167
"Gene.2",-0.326702666128728,-0.59577140863086,0.691300020294132,0.953340778300751,0.862796768501952,-0.724805582027809
"Gene.3",-0.445824526444113,-0.679757221322922,0.62268059347211,0.966532607746298,0.728505626467899,-0.826751111548607
"Gene.4",-0.514797176297822,-0.651599226183031,0.538432325298191,0.934356611319808,0.788611728312644,-0.750589446438645
"Gene.5",-0.426145018400214,-0.685725575027024,0.634782783687719,0.968586686965488,0.748233042362048,-0.797581304058912
"Gene.6",-0.285654626348088,-0.581771221855,0.738449771558204,0.973226276777786,0.794251589365259,-0.731315843699958
"Gene.7",-0.423134936366415,-0.611529240369743,0.534298674045808,0.883351703764231,0.698078370823663,-0.620323484652972
"Gene.8",-0.291398055543259,-0.565241689128599,0.71249313627766,0.924277475217587,0.688477493025499,-0.801137374359635
"Gene.9",-0.260005271681179,-0.555024318400045,0.731368896770043,0.945048734945414,0.70916470365965,-0.738556463692379
"Gene.10",-0.273379752825061,-0.508885021815096,0.740820868817296,0.950920350213974,0.77772613325176,-0.761083009142294
"Gene.11",-0.436294131204344,-0.70681967652299,0.584543243180063,0.949956740411492,0.86524051304989,-0.662789660958788
"Gene.12",-0.385776816928051,-0.669245417494806,0.650371546266346,0.939144222900192,0.657702782541037,-0.891889470636405
"Gene.13",-0.161556914709922,-0.499067013579649,0.80390808485313,0.948047213928456,0.72854381065713,-0.715163945352226
"Gene.14",-0.394754868875725,-0.562047718092661,0.56828930932633,0.870588305191823,0.874461892753371,-0.678123192802771
"Gene.15",-0.403937405504993,-0.59472011010285,0.618802024277792,0.934676991345228,0.739756608507929,-0.746783711169924
"Gene.16",-0.313302022460113,-0.664647836853979,0.635496456540098,0.900958054396118,0.659140613032937,-0.708641157953338
"Gene.17",-0.294091848732671,-0.545536969995865,0.703655087010227,0.939218788810239,0.763149348194603,-0.729486473094813
"Gene.18",-0.269467346472697,-0.580912438206776,0.756772176027871,0.970030298395634,0.738136809724402,-0.778276706228779
"Gene.19",-0.481616230764298,-0.700580312445077,0.5712470488537,0.951911056199708,0.821706902892806,-0.736522072201035
"Gene.20",-0.428745782843659,-0.656488324074961,0.619738408187486,0.956935227721108,0.825666786729506,-0.760490898493347
"Gene.21",-0.154007464363009,-0.489087489392176,0.799473058158172,0.930974740944813,0.705541340509833,-0.730368807400049
"Gene.22",-0.507072340766089,-0.724008794926184,0.545052983063312,0.942870571051189,0.859044128381305,-0.744507902225314
"Gene.23",-0.169764484218941,-0.513739275911556,0.782163579658863,0.923963455680431,0.659389773945419,-0.777890198200812
"Gene.24",-0.0899962892222484,-0.386911129986694,0.836739883222774,0.896355596907007,0.700169917854934,-0.720840518420262
"Gene.25",-0.429818748374572,-0.58395133054091,0.566365227527084,0.894413372403981,0.829270405629144,-0.685454518779996
